,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,lstm,0.1,0.9,4,5,39,38,47,36,1
1,lstm,0.1,0.9,4,5,39,38,47,36,1
2,lstm,0.1,0.7,4,46,47,2,13,32,3
3,lstm,0.1,0.9,4,8,39,38,36,38,1
4,lstm,0.1,0.7,4,2,22,29,13,36,1
5,lstm,0.1,0.0,2,2,22,29,13,36,1
6,lstm,0.1,0.2,2,28,38,31,14,29,2
7,lstm,0.1,0.0,2,28,38,31,43,8,2
8,lstm,0.1,0.0,2,9,28,30,36,8,2
9,lstm,0.1,0.1,4,2,39,38,36,30,1
10,lstm,0.1,0.0,4,3,13,41,14,10,1
11,lstm,0.1,0.9,2,8,39,38,36,38,1
12,lstm,0.1,0.6,4,2,39,38,36,30,1
13,lstm,0.1,0.6,4,2,39,29,24,30,1
14,lstm,0.1,0.6,3,2,39,29,47,30,1
15,lstm,0.1,0.1,3,46,41,33,30,2,1
16,lstm,0.1,0.0,2,2,28,29,13,8,1
17,lstm,0.1,0.1,3,3,28,33,29,10,1
18,lstm,0.1,0.1,4,41,13,41,14,10,1
19,lstm,0.1,0.1,4,41,12,30,31,29,1
20,lstm,0.1,0.5,3,4,37,48,41,49,1
21,lstm,0.1,0.9,4,36,39,30,36,29,1
