,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632121179.8967283,1632121180.102925,2291.10498046875
1,2,1,1632121180.1031182,1632121180.2346568,2299.90185546875
2,3,1,1632121180.2348344,1632121180.3413389,2290.6533203125
3,4,1,1632121180.3415053,1632121180.615388,2294.70751953125
4,5,1,1632121180.6155958,1632121180.7222672,2295.762451171875
5,6,1,1632121180.722432,1632121180.9912384,2297.978515625
6,7,1,1632121180.991446,1632121181.1936553,2293.989013671875
7,8,1,1632121181.1938522,1632121181.3131557,2337.73486328125
8,9,1,1632121181.313326,1632121181.3924167,2353.84326171875
9,10,1,1632121181.3925762,1632121181.5954268,2300.39013671875
10,11,1,1632121181.5956168,1632121181.863889,2294.779541015625
11,12,1,1632121181.8641,1632121181.9938788,2285.485595703125
12,13,1,1632121181.9940639,1632121182.1189952,2290.627197265625
13,14,1,1632121182.1191657,1632121182.1852186,2584.241455078125
14,15,1,1632121182.185374,1632121182.2464795,2634.4658203125
15,16,1,1632121182.2466352,1632121182.5146923,2302.105712890625
16,17,1,1632121182.514907,1632121182.725414,2296.657958984375
17,18,1,1632121182.725607,1632121182.9243793,2295.1845703125
18,19,1,1632121182.9245687,1632121182.989753,2366.6337890625
19,20,1,1632121182.9899147,1632121183.2694626,2340.781494140625
20,21,2,1632121183.2725317,1632121183.4675899,2296.048095703125
21,22,2,1632121183.467771,1632121183.5958626,2296.43701171875
22,23,2,1632121183.596043,1632121183.7021778,2291.338134765625
23,24,2,1632121183.7023416,1632121183.7804818,2355.181396484375
24,25,2,1632121183.7806396,1632121183.8870492,2372.314697265625
25,26,2,1632121183.887216,1632121183.95313,3688.718994140625
26,27,2,1632121183.9532843,1632121184.044902,2334.3173828125
27,28,2,1632121184.0450666,1632121184.111246,2418.38330078125
28,29,2,1632121184.1114004,1632121184.2186,2299.430908203125
29,30,2,1632121184.218765,1632121184.4212463,2296.3203125
30,31,2,1632121184.4214358,1632121184.551313,2294.68603515625
31,32,2,1632121184.5514867,1632121184.6802692,2307.3115234375
32,33,2,1632121184.680446,1632121184.8053563,2284.33447265625
33,34,2,1632121184.805535,1632121184.992794,2298.578125
34,35,2,1632121184.9929817,1632121185.1194344,2299.207763671875
35,36,2,1632121185.1196055,1632121185.318799,2300.37939453125
36,37,2,1632121185.3189967,1632121185.5312076,2281.02392578125
37,38,2,1632121185.5313978,1632121185.7337248,2297.427978515625
38,39,2,1632121185.7339191,1632121185.8562937,2282.5078125
39,40,2,1632121185.856464,1632121186.1308124,2296.800537109375
40,41,3,1632121186.134117,1632121186.211987,2435.412841796875
41,42,3,1632121186.2121406,1632121186.3426034,2298.468017578125
42,43,3,1632121186.3427763,1632121186.4494474,2296.169921875
43,44,3,1632121186.449611,1632121186.5774064,2291.07177734375
44,45,3,1632121186.5775871,1632121186.6698625,2290.009765625
45,46,3,1632121186.6700249,1632121186.939006,2294.2333984375
46,47,3,1632121186.9392126,1632121187.151528,2290.3203125
47,48,3,1632121187.1517193,1632121187.2843504,2295.694091796875
48,49,3,1632121187.284522,1632121187.3923166,2294.985107421875
49,50,3,1632121187.392482,1632121187.5953603,2291.281494140625
50,51,3,1632121187.5955653,1632121187.70239,2295.516357421875
51,52,3,1632121187.7025564,1632121187.8321953,2292.32373046875
52,53,3,1632121187.8323667,1632121187.9621143,2302.4306640625
53,54,3,1632121187.9622858,1632121188.0287375,6440.18310546875
54,55,3,1632121188.0288985,1632121188.150527,2334.087890625
55,56,3,1632121188.1506965,1632121188.3503368,2292.364990234375
56,57,3,1632121188.3505251,1632121188.5500414,2296.139892578125
57,58,3,1632121188.5502307,1632121188.750342,2295.179931640625
58,59,3,1632121188.7505314,1632121189.0304546,2340.384521484375
59,60,3,1632121189.030662,1632121189.3050926,2320.077392578125
60,61,4,1632121189.308394,1632121189.5050933,2293.81103515625
61,62,4,1632121189.5052755,1632121189.6339743,2293.96435546875
62,63,4,1632121189.634156,1632121189.755236,2342.6298828125
63,64,4,1632121189.7554045,1632121189.8875947,2313.997802734375
