,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632121124.2615063,1632121124.3857822,1841.5428466796875
1,2,1,1632121124.3859751,1632121124.4631639,1846.5208740234375
2,3,1,1632121124.4633336,1632121124.527015,1851.8734130859375
3,4,1,1632121124.5271795,1632121124.6872604,1846.709716796875
4,5,1,1632121124.687464,1632121124.7512035,1852.5667724609375
5,6,1,1632121124.7513638,1632121124.9092033,1845.79541015625
6,7,1,1632121124.9094071,1632121125.028189,1856.8819580078125
7,8,1,1632121125.0283754,1632121125.0993385,1831.60986328125
8,9,1,1632121125.099508,1632121125.1468618,1944.2198486328125
9,10,1,1632121125.1470144,1632121125.2657914,1846.9510498046875
10,11,1,1632121125.265977,1632121125.4232008,1854.5223388671875
11,12,1,1632121125.423404,1632121125.4997172,1779.354736328125
12,13,1,1632121125.4998915,1632121125.5731568,1774.9326171875
13,14,1,1632121125.5733268,1632121125.6128871,1899.732177734375
14,15,1,1632121125.6130357,1632121125.64953,1889.348876953125
15,16,1,1632121125.6496787,1632121125.8070128,1840.9755859375
16,17,1,1632121125.8072214,1632121125.9305587,1842.4998779296875
17,18,1,1632121125.9307458,1632121126.0473392,1846.583740234375
18,19,1,1632121126.047522,1632121126.0864906,1978.66943359375
19,20,1,1632121126.086639,1632121126.250689,1791.8350830078125
20,21,1,1632121126.2508929,1632121126.3145182,1842.7410888671875
21,22,1,1632121126.3146784,1632121126.3839812,1851.2205810546875
22,23,1,1632121126.384153,1632121126.5523655,1820.4769287109375
23,24,1,1632121126.5525703,1632121126.7100334,1845.9771728515625
24,25,1,1632121126.7102423,1632121126.856665,1853.417724609375
25,26,1,1632121126.8568666,1632121126.9805443,1855.6998291015625
26,27,1,1632121126.9807312,1632121127.044404,1830.4189453125
27,28,1,1632121127.0445635,1632121127.2049873,1834.7386474609375
28,29,1,1632121127.2051966,1632121127.2523878,1873.4417724609375
29,30,1,1632121127.2525403,1632121127.3062053,1841.4822998046875
30,31,1,1632121127.3063607,1632121127.3603072,1861.8780517578125
31,32,1,1632121127.3604684,1632121127.3994784,1902.8505859375
32,33,1,1632121127.3996263,1632121127.5089219,1844.6517333984375
33,34,1,1632121127.5091128,1632121127.6278617,1856.3326416015625
34,35,1,1632121127.6280477,1632121127.7025177,1851.1531982421875
35,36,1,1632121127.7027202,1632121127.7542732,1881.2662353515625
36,37,1,1632121127.7544255,1632121127.8293834,1780.3719482421875
37,38,1,1632121127.8295507,1632121127.9067454,1774.3846435546875
38,39,1,1632121127.9069138,1632121128.0241299,1857.069091796875
39,40,1,1632121128.0243251,1632121128.134342,1853.0081787109375
40,41,1,1632121128.1345253,1632121128.1958902,1849.814697265625
41,42,1,1632121128.19605,1632121128.31743,1843.3310546875
42,43,1,1632121128.3176165,1632121128.458488,1790.862060546875
43,44,1,1632121128.4587154,1632121128.5347083,1845.709716796875
44,45,1,1632121128.534874,1632121128.5746627,2086.327392578125
45,46,2,1632121128.5748148,1632121128.6518815,1851.1864013671875
46,47,2,1632121128.6520433,1632121128.7256935,1845.046630859375
47,48,2,1632121128.7258599,1632121128.7802315,1793.7535400390625
48,49,2,1632121128.780387,1632121128.856302,1854.0753173828125
49,50,2,1632121128.8564694,1632121128.904048,1863.8323974609375
50,51,2,1632121128.904997,1632121128.9809253,1778.65673828125
51,52,2,1632121128.9813662,1632121129.057211,1774.7591552734375
52,53,2,1632121129.0576203,1632121129.1332643,1826.134521484375
53,54,2,1632121129.1336656,1632121129.209549,1777.771484375
54,55,2,1632121129.2099433,1632121129.2857323,1785.9232177734375
55,56,2,1632121129.2861416,1632121129.3619645,1789.9442138671875
56,57,2,1632121129.3623674,1632121129.4391565,1776.665771484375
57,58,2,1632121129.4395626,1632121129.5139704,1781.6534423828125
58,59,2,1632121129.5143766,1632121129.5911956,1781.568603515625
59,60,2,1632121129.5915911,1632121129.6671875,1790.6533203125
60,61,2,1632121129.6675835,1632121129.7432253,1784.7652587890625
61,62,2,1632121129.7436259,1632121129.8192332,1787.5
62,63,2,1632121129.8196287,1632121129.8952723,1783.60595703125
63,64,2,1632121129.895759,1632121129.971527,1789.9019775390625
64,65,2,1632121129.9719229,1632121130.0480022,1779.3297119140625
65,66,2,1632121130.0484045,1632121130.123992,1790.82373046875
66,67,2,1632121130.1243908,1632121130.2002861,1776.3050537109375
67,68,2,1632121130.200682,1632121130.2770433,1785.5152587890625
68,69,2,1632121130.2774441,1632121130.35345,1784.5201416015625
69,70,2,1632121130.3538492,1632121130.4297953,1787.841552734375
70,71,2,1632121130.4304292,1632121130.506437,1774.9088134765625
71,72,2,1632121130.5068307,1632121130.5824544,1783.6512451171875
72,73,2,1632121130.5828514,1632121130.6585712,1778.685302734375
73,74,2,1632121130.658964,1632121130.735871,1772.260986328125
74,75,2,1632121130.7362816,1632121130.8127568,1781.1893310546875
75,76,2,1632121130.8131554,1632121130.888898,1784.8109130859375
76,77,2,1632121130.8893023,1632121130.9640002,1789.2095947265625
77,78,2,1632121130.964402,1632121131.0401597,1777.1082763671875
78,79,2,1632121131.0405662,1632121131.11763,1777.230224609375
79,80,2,1632121131.118033,1632121131.1944985,1777.87353515625
80,81,2,1632121131.194892,1632121131.2707164,1786.8084716796875
81,82,2,1632121131.2711291,1632121131.3469224,1787.6336669921875
82,83,2,1632121131.3473248,1632121131.423879,1781.5826416015625
83,84,2,1632121131.4242787,1632121131.5015452,1812.1845703125
84,85,2,1632121131.501951,1632121131.5778556,1775.531005859375
85,86,2,1632121131.57826,1632121131.6539125,1797.06787109375
86,87,2,1632121131.654315,1632121131.73031,1781.1690673828125
87,88,2,1632121131.7307203,1632121131.8070648,1778.4139404296875
88,89,2,1632121131.8074815,1632121131.9544482,1784.20751953125
89,90,2,1632121131.954949,1632121132.0311837,1787.7532958984375
90,91,3,1632121132.03164,1632121132.1081223,1786.3131103515625
91,92,3,1632121132.1085155,1632121132.184262,1785.363037109375
92,93,3,1632121132.1846702,1632121132.2606788,1776.0386962890625
93,94,3,1632121132.2610817,1632121132.3367734,1786.0919189453125
94,95,3,1632121132.3371754,1632121132.412764,1766.634521484375
95,96,3,1632121132.413166,1632121132.4884238,1780.8770751953125
96,97,3,1632121132.4889653,1632121132.5645502,1789.790771484375
97,98,3,1632121132.5649476,1632121132.6406138,1789.3011474609375
98,99,3,1632121132.6410093,1632121132.7167614,1790.80712890625
99,100,3,1632121132.7171676,1632121132.7927606,1779.5057373046875
100,101,3,1632121132.7931652,1632121132.8692482,1785.190185546875
101,102,3,1632121132.8696601,1632121132.9463365,1783.9342041015625
102,103,3,1632121132.946735,1632121133.0231957,1785.8863525390625
103,104,3,1632121133.0235932,1632121133.099805,1782.726806640625
104,105,3,1632121133.1002097,1632121133.176369,1795.5032958984375
105,106,3,1632121133.1767683,1632121133.252516,1782.339111328125
106,107,3,1632121133.2529118,1632121133.3285532,1771.741943359375
107,108,3,1632121133.3289595,1632121133.4057145,1778.99658203125
108,109,3,1632121133.4061174,1632121133.4822302,1776.2413330078125
109,110,3,1632121133.4829957,1632121133.5586526,1783.2681884765625
110,111,3,1632121133.5590537,1632121133.6349113,1785.7987060546875
111,112,3,1632121133.6353152,1632121133.7109492,1780.8271484375
112,113,3,1632121133.711353,1632121133.7874,1781.4375
113,114,3,1632121133.7878065,1632121133.8634272,1776.7607421875
114,115,3,1632121133.8638215,1632121133.9404738,1785.7852783203125
115,116,3,1632121133.940871,1632121134.0152695,1771.644775390625
116,117,3,1632121134.015667,1632121134.0928981,1779.7420654296875
117,118,3,1632121134.093305,1632121134.1688588,1789.90185546875
118,119,3,1632121134.1692593,1632121134.2448902,1787.4581298828125
119,120,3,1632121134.2452915,1632121134.3208268,1786.8828125
120,121,3,1632121134.3212407,1632121134.397038,1786.564697265625
121,122,3,1632121134.3974373,1632121134.4735467,1781.4390869140625
122,123,3,1632121134.4739408,1632121134.5509536,1782.1986083984375
123,124,3,1632121134.5513554,1632121134.6277518,1785.18701171875
124,125,3,1632121134.628157,1632121134.7055423,1783.6259765625
125,126,3,1632121134.7059488,1632121134.7821565,1786.4222412109375
126,127,3,1632121134.7825532,1632121134.859916,1779.7911376953125
127,128,3,1632121134.860318,1632121134.9362028,1793.707763671875
128,129,3,1632121134.936608,1632121135.0122197,1782.6014404296875
129,130,3,1632121135.0129883,1632121135.0890992,1786.5716552734375
130,131,3,1632121135.0895102,1632121135.1656764,1778.7705078125
131,132,3,1632121135.1660802,1632121135.2419004,1774.0760498046875
132,133,3,1632121135.24231,1632121135.3188581,1780.2261962890625
133,134,3,1632121135.319266,1632121135.3957405,1782.7330322265625
134,135,3,1632121135.3961494,1632121135.4722352,1778.669921875
135,136,4,1632121135.4726415,1632121135.5485206,1785.7755126953125
136,137,4,1632121135.5489173,1632121135.6233795,1774.4412841796875
137,138,4,1632121135.6237879,1632121135.7010007,1778.6309814453125
138,139,4,1632121135.7014143,1632121135.777746,1770.6650390625
139,140,4,1632121135.7781546,1632121135.8539286,1777.845947265625
140,141,4,1632121135.8543358,1632121135.930442,1778.3634033203125
141,142,4,1632121135.9308457,1632121136.0068328,1782.7821044921875
142,143,4,1632121136.007243,1632121136.0830188,1789.80224609375
143,144,4,1632121136.0834281,1632121136.160206,1781.5196533203125
144,145,4,1632121136.16061,1632121136.2367153,1784.6156005859375
145,146,4,1632121136.2371213,1632121136.3144588,1784.6888427734375
146,147,4,1632121136.314861,1632121136.3918872,1765.3519287109375
147,148,4,1632121136.3922992,1632121136.467991,1789.9906005859375
148,149,4,1632121136.4684033,1632121136.544397,1783.562255859375
149,150,4,1632121136.544833,1632121136.621048,1780.9029541015625
150,151,4,1632121136.6214585,1632121136.6969454,1786.0908203125
151,152,4,1632121136.6973517,1632121136.7735617,1777.001708984375
152,153,4,1632121136.7739646,1632121136.8500845,1781.84130859375
153,154,4,1632121136.8504934,1632121136.9267428,1778.2017822265625
154,155,4,1632121136.927151,1632121137.002788,1774.3612060546875
155,156,4,1632121137.0031989,1632121137.0794542,1785.5975341796875
156,157,4,1632121137.0798578,1632121137.155657,1784.236328125
157,158,4,1632121137.1560597,1632121137.2325616,1782.1014404296875
158,159,4,1632121137.232962,1632121137.3086855,1786.9049072265625
159,160,4,1632121137.3090878,1632121137.3848364,1787.6031494140625
160,161,4,1632121137.3852465,1632121137.4608698,1788.8878173828125
161,162,4,1632121137.4612792,1632121137.5370514,1779.056640625
162,163,4,1632121137.5374591,1632121137.6131706,1776.41455078125
163,164,4,1632121137.6135721,1632121137.6891744,1785.0947265625
164,165,4,1632121137.6895764,1632121137.7655568,1782.91748046875
165,166,4,1632121137.7659569,1632121137.8415306,1795.3681640625
166,167,4,1632121137.8419328,1632121137.9184377,1787.6307373046875
167,168,4,1632121137.918843,1632121137.9954162,1786.3819580078125
168,169,4,1632121137.9958177,1632121138.0721345,1779.1224365234375
169,170,4,1632121138.073005,1632121138.1485686,1782.2357177734375
170,171,4,1632121138.1489716,1632121138.2247481,1781.83935546875
171,172,4,1632121138.225155,1632121138.3007565,1784.8985595703125
172,173,4,1632121138.3011625,1632121138.3768225,1779.7979736328125
173,174,4,1632121138.37723,1632121138.4534783,1779.0140380859375
174,175,4,1632121138.4538803,1632121138.5305266,1784.8135986328125
175,176,4,1632121138.5309289,1632121138.6073499,1785.3607177734375
176,177,4,1632121138.607751,1632121138.6824498,1780.6268310546875
177,178,4,1632121138.68285,1632121138.7588902,1774.317626953125
178,179,4,1632121138.7592993,1632121138.834797,1786.6962890625
179,180,4,1632121138.8352032,1632121138.9116163,1788.93994140625
