,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632121151.1292858,1632121151.3331733,2294.16943359375
1,2,1,1632121151.333363,1632121151.4645526,2295.1298828125
2,3,1,1632121151.4647243,1632121151.5712807,2299.5712890625
3,4,1,1632121151.5714436,1632121151.8453102,2291.4970703125
4,5,1,1632121151.8455157,1632121151.952163,2281.638671875
5,6,1,1632121151.952335,1632121152.220794,2296.554443359375
6,7,1,1632121152.221021,1632121152.4236367,2297.93896484375
7,8,1,1632121152.4238334,1632121152.5431778,2392.142822265625
8,9,1,1632121152.5433452,1632121152.6229885,2342.510009765625
9,10,1,1632121152.6231468,1632121152.8256238,2296.9072265625
10,11,1,1632121152.8258123,1632121153.0946581,2293.761962890625
11,12,1,1632121153.094875,1632121153.2240298,2301.084228515625
12,13,1,1632121153.2242017,1632121153.349461,2275.188720703125
13,14,1,1632121153.3496385,1632121153.4159522,2457.354248046875
14,15,1,1632121153.4161084,1632121153.47729,2648.26806640625
15,16,1,1632121153.4774425,1632121153.7460697,2294.191650390625
16,17,1,1632121153.746277,1632121153.9571037,2294.355224609375
17,18,1,1632121153.9572964,1632121154.1565406,2296.96826171875
18,19,1,1632121154.1567278,1632121154.2222755,2877.6005859375
19,20,1,1632121154.2224283,1632121154.5033243,2300.043701171875
20,21,1,1632121154.503532,1632121154.610593,2287.45751953125
21,22,1,1632121154.6107583,1632121154.7294114,2291.45751953125
22,23,1,1632121154.7295806,1632121155.0155072,2273.731201171875
23,24,1,1632121155.015714,1632121155.284877,2298.628662109375
24,25,1,1632121155.2850854,1632121155.5339239,2289.675537109375
25,26,1,1632121155.534135,1632121155.7453878,2293.614501953125
26,27,1,1632121155.745578,1632121155.8530915,2265.4892578125
27,28,1,1632121155.8532608,1632121156.1272037,2281.43408203125
28,29,1,1632121156.1274102,1632121156.2070148,2376.349365234375
29,30,1,1632121156.2071726,1632121156.2971075,2301.199951171875
30,31,1,1632121156.2972682,1632121156.3876204,2294.98095703125
31,32,1,1632121156.3877788,1632121156.45315,2464.063232421875
32,33,1,1632121156.4533038,1632121156.639886,2296.56201171875
33,34,1,1632121156.6400847,1632121156.8425248,2298.930419921875
34,35,1,1632121156.8427148,1632121156.9628856,2291.0751953125
35,36,1,1632121156.9630556,1632121157.0417774,2301.734375
36,37,1,1632121157.04194,1632121157.169704,2281.6611328125
37,38,1,1632121157.1698816,1632121157.2988815,2288.388671875
38,39,1,1632121157.299054,1632121157.4976668,2300.1650390625
39,40,1,1632121157.4978626,1632121157.683703,2293.5283203125
40,41,1,1632121157.683905,1632121157.7864034,2293.472900390625
41,42,1,1632121157.786567,1632121157.9927416,2296.299072265625
42,43,1,1632121157.9929373,1632121158.2333698,2275.041748046875
43,44,1,1632121158.233579,1632121158.3600311,2290.437744140625
44,45,1,1632121158.3602028,1632121158.4268408,4787.09912109375
45,46,2,1632121158.4269984,1632121158.5589223,2298.023193359375
46,47,2,1632121158.5590885,1632121158.6839564,2299.2109375
47,48,2,1632121158.684128,1632121158.7753541,2370.370849609375
48,49,2,1632121158.7755122,1632121158.9038491,2301.140869140625
49,50,2,1632121158.90402,1632121158.9838014,2323.5234375
50,51,2,1632121158.9847388,1632121159.0925484,2308.40478515625
51,52,2,1632121159.092975,1632121159.2995925,2291.79443359375
52,53,2,1632121159.3000305,1632121159.4075184,2306.3515625
53,54,2,1632121159.407918,1632121159.5151372,2299.044189453125
54,55,2,1632121159.515528,1632121159.6230285,2294.974365234375
55,56,2,1632121159.623422,1632121159.7310593,2298.24755859375
56,57,2,1632121159.7314506,1632121159.8505068,2297.6845703125
57,58,2,1632121159.8509073,1632121159.94311,2322.775634765625
58,59,2,1632121159.9434977,1632121160.0515127,2282.8076171875
59,60,2,1632121160.0519147,1632121160.1589851,2290.666748046875
60,61,2,1632121160.1593764,1632121160.2675936,2317.39111328125
61,62,2,1632121160.267996,1632121160.3748443,2301.808349609375
62,63,2,1632121160.3752365,1632121160.4830546,2299.034912109375
63,64,2,1632121160.4834495,1632121160.5902028,2294.61962890625
64,65,2,1632121160.5905898,1632121160.698847,2302.0166015625
65,66,2,1632121160.6992815,1632121160.8061564,2296.2509765625
66,67,2,1632121160.8065464,1632121160.9138043,2300.7724609375
67,68,2,1632121160.9142,1632121161.0214815,2297.61865234375
68,69,2,1632121161.021878,1632121161.1294732,2287.902099609375
69,70,2,1632121161.129873,1632121161.2374673,2296.906494140625
70,71,2,1632121161.2380896,1632121161.445334,2293.764404296875
71,72,2,1632121161.4458554,1632121161.553291,2293.550537109375
72,73,2,1632121161.5536823,1632121161.661261,2296.907958984375
73,74,2,1632121161.6616542,1632121161.768959,2296.813232421875
74,75,2,1632121161.769352,1632121161.8768194,2284.958984375
75,76,2,1632121161.8772194,1632121161.9846187,2296.59423828125
76,77,2,1632121161.985017,1632121162.0772564,2346.99609375
77,78,2,1632121162.077646,1632121162.1852612,2297.63720703125
78,79,2,1632121162.1856503,1632121162.292679,2297.574951171875
79,80,2,1632121162.2930758,1632121162.4010441,2265.858154296875
80,81,2,1632121162.4014409,1632121162.509188,2301.279541015625
81,82,2,1632121162.5095797,1632121162.6178691,2297.802001953125
82,83,2,1632121162.618264,1632121162.725888,2297.7861328125
83,84,2,1632121162.7262816,1632121162.8344083,2301.26416015625
84,85,2,1632121162.8348048,1632121162.9422846,2300.96630859375
85,86,2,1632121162.942679,1632121163.0508692,2300.439208984375
86,87,2,1632121163.0512695,1632121163.1590388,2301.84716796875
87,88,2,1632121163.1594312,1632121163.2670069,2314.2568359375
88,89,2,1632121163.2673986,1632121163.3748908,2287.3818359375
89,90,2,1632121163.3752918,1632121163.4831223,2305.04638671875
90,91,3,1632121163.4837813,1632121163.5914795,2284.37353515625
91,92,3,1632121163.5918746,1632121163.7993047,2294.206298828125
92,93,3,1632121163.7997444,1632121163.9074833,2298.1689453125
93,94,3,1632121163.907886,1632121164.0155106,2299.016357421875
94,95,3,1632121164.015907,1632121164.1244736,2298.87109375
95,96,3,1632121164.1248705,1632121164.2320924,2293.189453125
96,97,3,1632121164.2324903,1632121164.3400981,2288.13623046875
