,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,lstm,0.0001,0.6,1,40,19,46,11,18,1
1,lstm,1e-05,0.8,2,26,28,28,49,36,2
2,lstm,1e-05,0.7,3,29,48,11,23,32,1
3,lstm,0.1,0.0,3,6,33,31,8,47,1
4,lstm,0.1,0.7,4,14,17,39,22,15,3
5,mlp,0.1,0.2,1,14,32,4,16,12,3
6,lstm,0.0001,0.8,3,32,24,42,4,27,3
7,mlp,0.0001,0.3,5,12,23,50,21,2,3
8,lstm,0.001,0.9,5,42,34,31,42,27,1
9,mlp,0.1,0.4,3,28,46,28,46,47,1
10,mlp,0.0001,0.1,5,25,18,7,13,49,2
11,lstm,0.01,0.1,3,6,29,16,43,2,2
12,mlp,0.01,0.9,1,14,8,42,28,22,3
13,mlp,0.0001,0.7,1,25,41,30,15,39,1
14,lstm,0.001,0.1,2,25,40,48,26,48,2
15,lstm,1e-05,0.5,2,49,24,14,50,33,2
16,lstm,0.001,0.6,1,34,4,37,29,5,3
17,lstm,0.01,0.6,2,23,43,31,2,15,1
18,lstm,0.001,0.2,1,13,44,14,18,17,1
19,mlp,0.001,0.1,4,14,12,7,3,46,1
20,mlp,0.1,0.5,5,21,49,11,10,24,3
21,mlp,1e-05,0.7,5,23,12,41,41,31,2
22,lstm,0.01,0.1,3,9,14,27,38,49,1
23,lstm,0.1,0.0,1,26,9,18,8,23,1
24,lstm,0.1,0.8,4,18,3,3,22,40,3
25,mlp,1e-05,0.0,3,35,25,17,22,37,1
26,lstm,0.01,0.0,2,42,29,43,34,14,3
27,lstm,0.0001,0.9,1,7,10,48,36,4,3
28,lstm,0.1,0.9,4,18,25,50,16,18,2
29,mlp,1e-05,0.4,4,40,5,48,25,27,3
30,mlp,0.1,0.8,5,27,9,50,10,33,3
31,mlp,0.01,0.1,4,18,8,3,2,48,2
32,mlp,0.1,0.4,1,44,27,41,45,8,1
33,lstm,0.001,0.8,4,41,11,20,41,47,2
34,mlp,0.0001,0.7,1,39,35,2,29,18,2
35,mlp,0.0001,0.5,1,35,49,46,4,2,2
36,lstm,0.01,0.0,3,17,48,8,12,12,1
37,lstm,0.01,0.7,2,20,41,22,32,16,1
38,mlp,0.0001,0.3,2,7,44,22,45,6,3
39,mlp,0.001,0.9,5,4,47,4,48,44,1
40,lstm,0.01,0.4,5,32,29,44,17,46,1
41,mlp,0.0001,0.3,2,37,31,25,10,7,2
42,mlp,0.001,0.8,2,45,20,15,40,11,2
43,lstm,0.0001,0.9,1,19,19,44,10,11,1
44,lstm,0.1,0.0,1,3,31,25,12,8,2
45,mlp,0.01,0.7,3,18,49,18,8,37,1
46,mlp,0.1,0.2,3,7,7,31,27,15,2
47,mlp,0.001,0.3,2,43,50,10,30,27,2
48,mlp,0.001,0.4,1,44,13,15,15,19,1
49,lstm,0.01,0.2,3,3,13,50,48,31,3
50,lstm,0.0001,0.8,4,3,29,34,38,49,3
51,mlp,1e-05,0.9,2,34,27,29,42,47,1
52,lstm,0.001,0.2,1,10,32,11,45,2,2
53,mlp,0.001,0.5,4,26,45,28,36,2,2
54,mlp,1e-05,0.7,3,27,45,15,31,13,2
55,mlp,0.1,0.8,2,16,23,37,10,27,2
56,mlp,0.001,0.4,3,37,22,5,49,40,3
57,lstm,0.01,0.0,3,3,34,32,41,36,1
58,lstm,0.1,0.5,2,38,49,9,15,39,3
59,lstm,1e-05,0.3,4,46,29,27,25,19,1
60,mlp,0.001,0.6,3,6,5,44,24,9,2
61,mlp,0.0001,0.1,3,6,18,45,21,27,1
62,lstm,0.01,0.1,4,48,2,14,21,14,2
63,lstm,1e-05,0.1,5,18,26,32,15,43,2
64,mlp,1e-05,0.4,4,4,14,33,20,25,3
65,mlp,0.1,0.4,2,23,23,9,33,11,2
66,lstm,1e-05,0.9,4,40,40,27,2,18,3
67,mlp,0.0001,0.3,5,26,44,20,37,35,2
68,mlp,1e-05,0.5,1,36,42,40,28,37,2
69,mlp,0.0001,0.4,2,26,33,16,16,32,3
70,mlp,0.001,0.9,5,47,39,8,33,35,2
71,mlp,0.001,0.7,2,49,17,6,45,31,2
72,mlp,0.01,0.9,1,13,34,31,38,36,3
73,lstm,0.01,0.0,2,48,34,39,7,37,1
74,lstm,0.1,0.9,4,48,17,50,21,28,1
75,lstm,0.1,0.6,2,46,17,20,18,2,2
76,lstm,0.001,0.4,2,43,25,49,9,32,1
77,mlp,0.0001,0.5,5,22,27,26,28,4,1
78,mlp,0.0001,0.6,2,27,14,15,30,22,1
79,mlp,0.001,0.2,5,3,23,4,3,13,3
80,mlp,0.001,0.2,4,39,6,18,12,22,2
81,mlp,0.0001,0.7,1,2,3,9,2,31,3
82,mlp,0.01,0.3,4,7,6,16,2,23,2
83,mlp,0.001,0.0,4,34,4,37,5,48,1
84,lstm,0.01,0.8,5,34,5,35,42,48,2
85,mlp,0.01,0.3,5,41,33,42,44,11,2
86,mlp,0.001,0.1,2,37,50,46,15,22,3
87,lstm,0.01,0.8,5,10,20,50,50,47,2
88,lstm,0.1,0.3,4,6,45,32,13,36,2
89,mlp,0.001,0.8,4,28,37,45,30,4,3
90,mlp,0.01,0.8,2,32,10,36,35,4,2
91,mlp,1e-05,0.5,5,4,7,26,28,36,2
92,mlp,1e-05,0.6,1,46,35,35,47,49,3
93,mlp,0.01,0.2,4,40,17,25,12,20,1
94,mlp,0.001,0.0,1,39,29,5,40,41,1
95,mlp,0.001,0.6,5,49,8,24,11,28,3
96,mlp,0.0001,0.1,1,30,4,12,34,34,2
97,mlp,1e-05,0.2,4,15,39,6,44,39,1
98,mlp,1e-05,0.8,5,44,39,35,35,24,3
99,mlp,1e-05,0.8,4,32,18,32,49,6,3
100,mlp,0.0001,0.5,3,47,7,10,49,44,2
101,lstm,0.01,0.7,4,20,18,34,16,16,2
102,mlp,0.01,0.6,1,13,41,29,15,10,3
103,mlp,0.0001,0.8,4,3,12,22,42,24,2
104,lstm,0.01,0.2,5,14,41,36,4,7,1
105,mlp,0.01,0.6,1,20,25,30,2,8,2
106,mlp,0.001,0.0,3,47,39,10,43,21,2
107,lstm,0.001,0.4,2,7,4,44,46,43,1
108,mlp,0.01,0.9,3,11,3,48,40,16,1
109,lstm,0.0001,0.9,2,3,34,49,23,13,2
110,lstm,0.01,0.9,1,32,10,49,50,43,2
111,lstm,0.0001,0.8,1,34,42,25,11,43,2
112,lstm,0.0001,0.7,5,21,50,50,28,42,2
113,lstm,0.001,0.3,4,41,25,39,14,2,1
114,mlp,0.0001,0.6,5,29,35,31,25,20,3
115,lstm,0.1,0.1,4,31,24,12,9,11,1
116,lstm,0.0001,0.5,2,15,22,36,44,34,2
117,lstm,1e-05,0.2,5,31,15,5,15,2,3
118,mlp,0.01,0.8,3,18,2,31,12,33,3
119,mlp,1e-05,0.9,5,34,7,42,5,34,3
120,mlp,0.1,0.6,4,10,50,46,42,46,3
121,lstm,0.1,0.7,3,22,18,19,19,13,2
122,mlp,0.1,0.1,1,6,2,27,12,32,3
123,lstm,0.001,0.8,4,6,9,26,13,21,2
124,lstm,0.001,0.4,5,41,28,17,19,14,3
125,lstm,0.001,0.1,2,26,15,44,50,12,2
126,mlp,0.1,0.6,5,41,21,35,33,2,3
127,lstm,0.01,0.5,3,14,36,28,38,46,2
128,mlp,0.01,0.3,1,12,43,23,34,35,1
129,lstm,0.0001,0.6,2,32,3,42,39,36,1
130,mlp,0.0001,0.1,2,33,6,21,49,50,2
131,lstm,0.001,0.9,1,23,19,4,48,14,2
132,lstm,0.1,0.0,2,2,31,38,16,19,3
133,mlp,0.01,0.0,3,44,43,32,8,36,1
134,mlp,0.1,0.9,5,27,15,6,2,48,3
135,lstm,1e-05,0.8,3,9,7,37,2,10,1
