,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632121084.8125312,1632121084.964169,1852.9609375
1,2,2,1632121084.9643073,1632121085.102537,1845.0296630859375
2,3,3,1632121085.1026676,1632121085.1766648,1853.092041015625
3,4,4,1632121085.1767716,1632121085.2508185,1778.9049072265625
4,5,5,1632121085.250922,1632121085.4144945,1781.8060302734375
5,6,6,1632121085.4146383,1632121085.4670227,2299.53173828125
6,7,7,1632121085.467105,1632121085.6276612,1855.8082275390625
7,8,8,1632121085.6277933,1632121085.7630348,1843.6790771484375
8,9,9,1632121085.7631342,1632121085.8412106,1848.14990234375
9,10,10,1632121085.841315,1632121085.89768,1833.3541259765625
10,11,11,1632121085.8977687,1632121085.9692876,1857.5743408203125
11,12,12,1632121085.9693823,1632121086.0890315,1828.523681640625
12,13,13,1632121086.0891714,1632121086.1290073,2062.775146484375
13,14,14,1632121086.129091,1632121086.1690097,2030.5001220703125
14,15,15,1632121086.1690931,1632121086.2862244,1848.0130615234375
15,16,16,1632121086.2863553,1632121086.4036646,1846.2979736328125
16,17,17,1632121086.403783,1632121086.5515583,1845.66064453125
17,18,18,1632121086.5517,1632121086.625678,1828.8499755859375
18,19,19,1632121086.62578,1632121086.6955616,1864.6685791015625
19,20,20,1632121086.695665,1632121086.7579184,1846.5263671875
20,21,21,1632121086.7580092,1632121086.829553,2043.59228515625
21,22,22,1632121086.8296459,1632121086.9021719,1846.83349609375
22,23,23,1632121086.9022713,1632121086.9774718,1834.7291259765625
23,24,24,1632121086.977573,1632121087.0473459,1789.2786865234375
24,25,25,1632121087.0474524,1632121087.213822,1789.129150390625
25,26,26,1632121087.2139702,1632121087.2673154,1846.8983154296875
26,27,27,1632121087.2674108,1632121087.4227004,1830.916748046875
27,28,28,1632121087.4228346,1632121087.5699875,1842.63720703125
28,29,29,1632121087.5701263,1632121087.6933427,1795.61572265625
29,30,30,1632121087.6934612,1632121087.7580829,1847.419677734375
30,31,31,1632121087.7581816,1632121087.8298368,1909.0372314453125
31,32,32,1632121087.8299358,1632121087.8918998,1787.5968017578125
32,33,33,1632121087.89199,1632121087.9324412,2346.805908203125
33,34,34,1632121087.932526,1632121088.0543845,1851.4576416015625
34,35,35,1632121088.0545037,1632121088.0947669,2207.142333984375
35,36,36,1632121088.0948508,1632121088.135137,1873.184814453125
36,37,37,1632121088.1352272,1632121088.2101357,1836.7579345703125
37,38,38,1632121088.2102392,1632121088.2841241,1840.89794921875
38,39,39,1632121088.2842271,1632121088.3320878,1827.4169921875
39,40,40,1632121088.3321805,1632121088.4038806,1858.2220458984375
40,41,41,1632121088.4039726,1632121088.4815593,1826.1318359375
41,42,42,1632121088.481667,1632121088.5305831,1803.50341796875
42,43,43,1632121088.5306718,1632121088.5789194,1920.6925048828125
43,44,44,1632121088.5790083,1632121088.6488428,1850.184326171875
44,45,45,1632121088.6489499,1632121088.7559452,1789.605224609375
45,46,46,1632121088.7560694,1632121088.811888,1813.4971923828125
46,47,47,1632121088.811979,1632121088.8665988,1818.0733642578125
47,48,48,1632121088.8666902,1632121088.9160266,1903.8907470703125
48,49,49,1632121088.9161203,1632121088.9564943,1894.4605712890625
49,50,50,1632121088.9565804,1632121089.118368,1824.3443603515625
50,51,51,1632121089.1185064,1632121089.2832832,1852.082275390625
51,52,52,1632121089.2834182,1632121089.3316119,1972.87939453125
52,53,53,1632121089.3316987,1632121089.4418406,1849.989990234375
53,54,54,1632121089.4419599,1632121089.5076008,1833.87548828125
54,55,55,1632121089.5076926,1632121089.5635757,1850.02197265625
55,56,56,1632121089.563665,1632121089.6112149,2660.094970703125
56,57,57,1632121089.6113021,1632121089.6663258,1876.3714599609375
57,58,58,1632121089.6664157,1632121089.7416608,1832.1961669921875
58,59,59,1632121089.7417634,1632121089.9005117,1791.212890625
59,60,60,1632121089.9006484,1632121089.9771495,1855.924072265625
60,61,61,1632121089.9772515,1632121090.0320845,1842.88623046875
61,62,62,1632121090.032181,1632121090.0877767,1846.12646484375
62,63,63,1632121090.087866,1632121090.2095847,1815.683837890625
63,64,64,1632121090.2097044,1632121090.3347785,1854.7041015625
64,65,65,1632121090.3349054,1632121090.3985302,1851.942626953125
65,66,66,1632121090.3986251,1632121090.4464633,1889.3363037109375
66,67,67,1632121090.4465497,1632121090.6117313,1851.782958984375
67,68,68,1632121090.611877,1632121090.6846673,1848.843505859375
68,69,69,1632121090.684761,1632121090.724951,2142.110595703125
69,70,70,1632121090.7250354,1632121090.7729163,1822.9405517578125
70,71,71,1632121090.7730024,1632121090.8459575,1842.84521484375
71,72,72,1632121090.8460488,1632121090.894712,1811.7801513671875
72,73,73,1632121090.8948102,1632121090.9344985,1906.7303466796875
73,74,74,1632121090.9345827,1632121091.0086408,1825.2435302734375
74,75,75,1632121091.0087416,1632121091.0850527,1787.1805419921875
75,76,76,1632121091.0851626,1632121091.203271,1781.826904296875
76,77,77,1632121091.2033987,1632121091.2776396,1846.965087890625
77,78,78,1632121091.2777429,1632121091.3488145,1845.9075927734375
78,79,79,1632121091.3489068,1632121091.3964818,1868.3426513671875
79,80,80,1632121091.396569,1632121091.4688206,1851.63330078125
80,81,81,1632121091.4689212,1632121091.5325515,1846.8953857421875
81,82,82,1632121091.5326447,1632121091.571644,1844.74169921875
82,83,83,1632121091.571728,1632121091.633748,1902.971923828125
83,84,84,1632121091.6338398,1632121091.6947272,1846.327880859375
84,85,85,1632121091.6948204,1632121091.8202114,1812.682861328125
85,86,86,1632121091.8203435,1632121091.8936663,1977.2640380859375
86,87,87,1632121091.8937588,1632121091.9428508,1840.853515625
87,88,88,1632121091.9429388,1632121092.067845,1821.3515625
88,89,89,1632121092.0679631,1632121092.1912658,1796.610595703125
89,90,90,1632121092.1913881,1632121092.2573044,1874.3094482421875
90,91,91,1632121092.2573972,1632121092.3050184,1818.2010498046875
91,92,92,1632121092.305105,1632121092.3763905,1850.03466796875
92,93,93,1632121092.376483,1632121092.4168935,2164.70654296875
93,94,94,1632121092.4169772,1632121092.480869,2421.830810546875
94,95,95,1632121092.4809585,1632121092.5191865,1989.6248779296875
95,96,96,1632121092.519271,1632121092.590489,1852.240234375
96,97,97,1632121092.590584,1632121092.6306782,2042.620361328125
97,98,98,1632121092.6307645,1632121092.6948688,1852.259765625
98,99,99,1632121092.694961,1632121092.7682335,1846.045166015625
99,100,100,1632121092.768329,1632121092.833292,1859.221923828125
100,101,101,1632121092.833386,1632121092.888414,1855.2205810546875
101,102,102,1632121092.888504,1632121093.0109174,1820.9510498046875
102,103,103,1632121093.0110364,1632121093.0508227,1814.5958251953125
103,104,104,1632121093.0509162,1632121093.114492,1860.3753662109375
104,105,105,1632121093.1145825,1632121093.1923647,1830.4002685546875
105,106,106,1632121093.1924698,1632121093.232314,1915.4349365234375
106,107,107,1632121093.2323976,1632121093.2862544,1826.535400390625
107,108,108,1632121093.2863464,1632121093.3607435,1844.4918212890625
108,109,109,1632121093.3608465,1632121093.4155335,1827.6181640625
109,110,110,1632121093.4156215,1632121093.5332644,1860.0672607421875
110,111,111,1632121093.5333872,1632121093.6438837,1848.0126953125
111,112,112,1632121093.6440036,1632121093.754592,1859.5736083984375
112,113,113,1632121093.7547197,1632121093.879859,1846.44287109375
113,114,114,1632121093.8799877,1632121093.956592,1852.45947265625
114,115,115,1632121093.956695,1632121094.0288801,1851.5599365234375
115,116,116,1632121094.0289772,1632121094.1054118,1784.9912109375
116,117,117,1632121094.1055188,1632121094.223542,1858.156005859375
117,118,118,1632121094.2236629,1632121094.3930695,1845.124755859375
118,119,119,1632121094.3932142,1632121094.4479337,1812.4996337890625
119,120,120,1632121094.4480228,1632121094.5194676,1853.802490234375
120,121,121,1632121094.5195615,1632121094.5860002,2051.695556640625
121,122,122,1632121094.5860934,1632121094.7066422,1783.087890625
122,123,123,1632121094.7067688,1632121094.7463326,2714.078125
123,124,124,1632121094.7464178,1632121094.8689246,1843.6065673828125
124,125,125,1632121094.869046,1632121095.0379848,1843.96728515625
125,126,126,1632121095.0381289,1632121095.156103,1843.6082763671875
126,127,127,1632121095.1562426,1632121095.228446,1816.2283935546875
127,128,128,1632121095.2285848,1632121095.3490345,1831.7254638671875
128,129,129,1632121095.3491638,1632121095.389025,2055.043701171875
129,130,130,1632121095.3891165,1632121095.4637957,1855.667236328125
130,131,131,1632121095.4639,1632121095.5115404,1852.7705078125
131,132,132,1632121095.5116277,1632121095.6224875,1853.4427490234375
132,133,133,1632121095.6226075,1632121095.7787974,1781.11865234375
133,134,134,1632121095.7789338,1632121095.835086,3233.485107421875
134,135,135,1632121095.8351939,1632121095.9061801,1948.60595703125
135,136,136,1632121095.9062765,1632121095.9820917,1852.3302001953125
136,137,137,1632121095.982201,1632121096.0404737,1867.3577880859375
137,138,138,1632121096.0406618,1632121096.1193285,1823.2744140625
138,139,139,1632121096.1194322,1632121096.190127,1792.5628662109375
139,140,140,1632121096.190234,1632121096.2377715,1871.65380859375
140,141,141,1632121096.237859,1632121096.36362,1800.9388427734375
141,142,142,1632121096.363743,1632121096.4835386,1852.6033935546875
142,143,143,1632121096.4836593,1632121096.5313108,1919.1627197265625
143,144,144,1632121096.5313995,1632121096.6920147,1838.54736328125
144,145,145,1632121096.692163,1632121096.8400173,1853.6962890625
145,146,146,1632121096.8401594,1632121096.9146054,1773.0640869140625
146,147,147,1632121096.914714,1632121097.0378911,1846.3231201171875
147,148,148,1632121097.0380108,1632121097.2007785,1800.0262451171875
148,149,149,1632121097.2009287,1632121097.2492318,1862.4017333984375
149,150,150,1632121097.2493289,1632121097.2886133,1795.123046875
150,151,151,1632121097.2887075,1632121097.4528804,1824.6483154296875
151,152,152,1632121097.4530184,1632121097.6231751,1809.685302734375
