,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,mlp,0.001,0.0,5,17,44,21,13,38,1
1,mlp,0.001,0.3,4,6,29,27,9,37,2
2,mlp,0.001,0.3,1,23,8,4,50,35,1
3,lstm,1e-05,0.8,3,11,30,40,37,38,3
4,mlp,0.001,0.5,2,16,36,22,18,40,1
5,mlp,0.0001,0.2,5,24,23,43,20,41,3
6,mlp,0.001,0.8,2,20,25,47,18,5,1
7,lstm,0.01,0.3,4,23,32,16,2,40,3
8,mlp,0.001,0.4,4,38,16,33,43,13,1
9,lstm,0.001,0.8,4,31,6,4,11,44,1
10,mlp,0.0001,0.7,1,34,9,36,28,37,1
11,lstm,0.01,0.4,2,48,36,16,25,9,2
12,mlp,1e-05,0.3,2,32,23,5,35,40,3
13,lstm,0.01,0.5,5,23,44,11,37,43,3
14,mlp,1e-05,0.9,2,7,16,50,22,37,2
15,lstm,0.0001,0.0,2,37,48,41,8,17,3
16,lstm,1e-05,0.1,4,31,31,42,23,49,2
17,mlp,0.01,0.7,2,22,29,49,31,45,3
18,mlp,1e-05,0.9,3,44,20,20,19,14,3
19,mlp,0.001,0.9,4,15,45,45,4,21,3
20,mlp,0.01,0.3,4,11,33,37,25,40,2
21,mlp,1e-05,0.6,4,6,2,46,46,10,3
22,lstm,0.1,0.9,5,23,15,36,32,2,2
23,lstm,0.01,0.0,5,17,27,10,40,12,3
24,mlp,0.001,0.2,4,50,43,20,46,27,1
25,mlp,0.0001,0.3,3,19,17,9,10,36,1
26,lstm,1e-05,0.7,5,13,31,9,24,42,1
27,lstm,0.1,0.6,5,39,17,8,40,34,3
28,mlp,0.0001,0.7,4,42,33,24,12,45,1
29,mlp,0.01,0.8,3,42,20,14,24,3,2
30,mlp,1e-05,0.6,5,36,42,13,2,46,2
31,mlp,0.01,0.3,1,34,30,19,38,3,3
32,mlp,0.01,0.2,1,49,46,39,48,38,3
33,mlp,0.01,0.8,5,29,24,35,10,33,3
34,lstm,1e-05,0.4,1,38,13,8,33,49,2
35,lstm,1e-05,0.3,1,6,50,26,29,38,3
36,lstm,0.001,0.2,2,17,8,3,12,40,1
37,lstm,0.1,0.9,4,7,5,35,35,35,1
38,mlp,1e-05,0.6,5,47,31,48,16,31,3
39,mlp,0.001,0.6,2,26,45,6,6,19,1
40,mlp,1e-05,0.9,1,29,2,49,23,2,3
41,lstm,0.001,0.4,5,26,17,37,4,30,2
42,lstm,1e-05,0.8,2,35,20,39,50,14,3
43,mlp,0.0001,0.3,1,21,42,33,38,45,3
44,mlp,0.01,0.7,2,27,36,49,4,9,2
45,mlp,0.0001,0.6,4,42,22,36,15,36,1
46,lstm,0.01,0.8,1,25,46,27,41,44,2
47,lstm,1e-05,0.4,3,4,38,10,31,5,1
48,mlp,0.0001,0.7,1,36,33,38,26,8,1
49,lstm,1e-05,0.0,2,48,41,13,20,39,3
50,mlp,0.1,0.3,4,5,36,40,20,41,3
51,lstm,0.0001,0.4,5,31,10,49,19,15,1
52,mlp,0.01,0.7,4,37,20,49,6,11,3
53,mlp,0.1,0.2,4,9,19,35,31,49,3
54,lstm,0.001,0.0,4,17,5,11,25,5,3
55,mlp,0.0001,0.6,3,25,35,15,31,39,2
56,lstm,0.1,0.7,1,46,2,25,41,9,2
57,mlp,0.001,0.4,1,30,45,50,8,42,1
58,lstm,0.1,0.8,3,5,16,30,13,46,2
59,lstm,0.1,0.1,2,46,41,2,40,25,1
60,lstm,0.0001,0.2,3,47,46,14,33,38,1
61,mlp,0.1,0.0,3,2,23,6,17,7,3
62,mlp,0.001,0.7,1,40,15,19,27,18,3
63,lstm,0.0001,0.5,3,48,9,2,16,4,3
64,lstm,0.01,0.5,5,13,8,37,50,49,2
65,lstm,1e-05,0.9,5,11,21,6,26,15,1
66,lstm,0.0001,0.3,5,9,29,30,40,23,3
67,lstm,0.001,0.6,5,10,14,25,42,31,3
68,mlp,0.0001,0.2,3,12,10,2,31,27,2
69,lstm,1e-05,0.1,4,46,42,9,24,13,1
70,mlp,0.0001,0.1,3,14,21,14,21,27,2
71,lstm,0.001,0.0,2,38,37,14,28,42,1
72,lstm,0.001,0.0,5,11,35,22,20,17,2
73,lstm,0.1,0.2,3,13,19,3,45,26,2
74,mlp,0.1,0.9,4,8,15,2,10,34,1
