,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632121080.8207946,1632121081.1321487,159.0565948486328
1,2,2,1632121081.132498,1632121081.1848752,163.99310302734375
2,3,3,1632121081.1849735,1632121081.2067287,158.44740295410156
3,4,4,1632121081.206814,1632121081.325019,163.50259399414062
4,5,5,1632121081.325161,1632121081.3491192,132.13372802734375
5,6,6,1632121081.3492017,1632121081.3850658,166.23086547851562
6,7,7,1632121081.3851511,1632121081.4087784,136.5975341796875
7,8,8,1632121081.4088562,1632121081.4903643,155.5869140625
8,9,9,1632121081.4904997,1632121081.5224943,134.94386291503906
9,10,10,1632121081.522578,1632121081.6152,172.82485961914062
10,11,11,1632121081.6152956,1632121081.6353562,227.20814514160156
11,12,12,1632121081.6354332,1632121081.6934733,147.80487060546875
12,13,13,1632121081.6935859,1632121081.7174695,172.95132446289062
13,14,14,1632121081.7175488,1632121081.8012755,136.55068969726562
14,15,15,1632121081.8014011,1632121081.8248205,181.66966247558594
15,16,16,1632121081.8248987,1632121081.9018557,164.64845275878906
16,17,17,1632121081.90198,1632121081.9618795,173.0611572265625
17,18,18,1632121081.9619896,1632121081.985756,114.46720886230469
18,19,19,1632121081.985835,1632121082.0132937,166.8478240966797
19,20,20,1632121082.0133767,1632121082.045576,168.9824676513672
20,21,21,1632121082.0456605,1632121082.0777783,104.69226837158203
21,22,22,1632121082.0778608,1632121082.1096747,168.42535400390625
22,23,23,1632121082.1097639,1632121082.1715114,101.87501525878906
23,24,24,1632121082.1716216,1632121082.2538085,145.9454345703125
24,25,25,1632121082.253934,1632121082.2867894,120.56730651855469
25,26,26,1632121082.286877,1632121082.3139021,169.93934631347656
26,27,27,1632121082.3139904,1632121082.3524945,173.0675048828125
27,28,28,1632121082.352588,1632121082.4365754,102.23646545410156
28,29,29,1632121082.4367156,1632121082.4690745,164.6374969482422
29,30,30,1632121082.4691582,1632121082.4970121,120.05091094970703
30,31,31,1632121082.497093,1632121082.5327263,166.8649139404297
31,32,32,1632121082.532817,1632121082.552705,104.13368225097656
32,33,33,1632121082.552781,1632121082.5728436,111.48112487792969
33,34,34,1632121082.5729191,1632121082.6084309,106.60276794433594
34,35,35,1632121082.6085212,1632121082.6771288,173.9072265625
35,36,36,1632121082.6772447,1632121082.751089,158.05111694335938
36,37,37,1632121082.7512388,1632121082.7887275,170.20181274414062
37,38,38,1632121082.7888236,1632121082.8272278,97.54733276367188
38,39,39,1632121082.8273282,1632121082.8644915,165.4408721923828
39,40,40,1632121082.864579,1632121082.8890715,114.52302551269531
40,41,41,1632121082.8891554,1632121082.9095144,208.16485595703125
41,42,42,1632121082.9095938,1632121082.9720964,169.32357788085938
42,43,43,1632121082.972225,1632121083.0519934,166.42184448242188
43,44,44,1632121083.0521216,1632121083.0725038,142.08065795898438
44,45,45,1632121083.0725832,1632121083.0970244,112.22322845458984
45,46,46,1632121083.0971055,1632121083.1295815,159.2510986328125
46,47,47,1632121083.129667,1632121083.1850789,172.67723083496094
47,48,48,1632121083.1851916,1632121083.2229962,169.27825927734375
48,49,49,1632121083.2230916,1632121083.2435143,155.83279418945312
49,50,50,1632121083.2435987,1632121083.3219254,174.8385009765625
50,51,51,1632121083.3220549,1632121083.3549078,108.5690689086914
51,52,52,1632121083.3550067,1632121083.3943224,166.57334899902344
52,53,53,1632121083.3944197,1632121083.4269967,113.1518783569336
53,54,54,1632121083.4270868,1632121083.4597273,107.42700958251953
54,55,55,1632121083.4598124,1632121083.5444334,169.9228515625
55,56,56,1632121083.5445902,1632121083.574381,159.75086975097656
56,57,57,1632121083.5744755,1632121083.6328437,109.78105926513672
57,58,58,1632121083.6329706,1632121083.6545062,114.72572326660156
58,59,59,1632121083.6545892,1632121083.718132,98.38475036621094
59,60,60,1632121083.7182548,1632121083.7577047,99.62147521972656
60,61,61,1632121083.7578056,1632121083.7976213,174.00552368164062
61,62,62,1632121083.7977223,1632121083.825592,105.35334014892578
62,63,63,1632121083.82568,1632121083.8470898,134.1550750732422
63,64,64,1632121083.8471723,1632121083.9328392,172.5120391845703
64,65,65,1632121083.932974,1632121083.9992328,145.1309051513672
65,66,66,1632121083.999353,1632121084.0405586,158.79251098632812
66,67,67,1632121084.0406613,1632121084.1300824,171.1863250732422
67,68,68,1632121084.1302195,1632121084.2173028,169.04156494140625
68,69,69,1632121084.217435,1632121084.244675,171.60067749023438
69,70,70,1632121084.2447586,1632121084.2831638,167.0212860107422
70,71,71,1632121084.28326,1632121084.311008,171.4251251220703
71,72,72,1632121084.3110936,1632121084.3486762,164.0950469970703
72,73,73,1632121084.3488371,1632121084.4105387,161.1492462158203
73,74,74,1632121084.4106557,1632121084.470647,101.04254150390625
74,75,75,1632121084.47076,1632121084.5023801,129.6374969482422
75,76,76,1632121084.5024743,1632121084.5417483,98.1957015991211
76,77,77,1632121084.5418463,1632121084.5809593,160.22450256347656
77,78,78,1632121084.5810556,1632121084.660716,164.44227600097656
78,79,79,1632121084.6608593,1632121084.6806765,161.50238037109375
79,80,80,1632121084.6807554,1632121084.701013,152.27938842773438
80,81,81,1632121084.7010915,1632121084.7609217,163.6873321533203
81,82,82,1632121084.7610357,1632121084.7927067,102.441650390625
82,83,83,1632121084.7927923,1632121084.8758147,170.45066833496094
83,84,84,1632121084.875946,1632121084.9032135,167.6795196533203
84,85,85,1632121084.9032972,1632121084.9857707,171.6597137451172
