,iteration,start_time,end_time,val_mse
0,1,1632127947.7499216,1632127950.59851,98.68803405761719
1,2,1632127950.6021726,1632127953.163821,99.33760070800781
2,3,1632127953.1672523,1632127955.8106225,97.10836791992188
3,4,1632127955.8139546,1632127959.0921516,98.07599639892578
4,5,1632127959.0955179,1632127962.0948844,97.95536804199219
5,6,1632127962.098258,1632127964.430066,97.75607299804688
6,7,1632127964.4334137,1632127966.7413929,97.82154846191406
7,8,1632127966.744756,1632127969.3824527,97.39322662353516
8,9,1632127969.3858004,1632127971.8236547,97.92332458496094
9,10,1632127971.8270378,1632127974.6355684,97.8109359741211
10,11,1632127974.6389017,1632127977.6958315,97.50592041015625
11,12,1632127977.6991992,1632127980.2856953,97.88726806640625
12,13,1632127980.289665,1632127983.1597714,97.5751724243164
13,14,1632127983.163119,1632127986.3832047,97.34483337402344
14,15,1632127986.3865674,1632127989.463123,97.5970230102539
15,16,1632127989.4664774,1632127992.481537,97.7717514038086
16,17,1632127992.484791,1632127995.3567326,97.53754425048828
17,18,1632127995.3600779,1632127998.475695,97.50556182861328
18,19,1632127998.479099,1632128001.5060258,97.39363861083984
19,20,1632128001.509362,1632128004.4510028,97.39170837402344
20,21,1632128004.4542248,1632128007.800337,97.87684631347656
21,22,1632128007.8034816,1632128011.1602943,97.42855072021484
22,23,1632128011.1642656,1632128014.1098065,97.60335540771484
23,24,1632128014.1130319,1632128016.8851845,97.40657043457031
24,25,1632128016.888575,1632128019.8906672,97.45777130126953
25,26,1632128019.8938787,1632128022.7708514,97.577392578125
26,27,1632128022.7741039,1632128025.5493498,97.48072052001953
