,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632127947.7499216,1632127947.9479926,165.63369750976562
1,2,1,1632127947.9481976,1632127948.069026,162.12216186523438
2,3,1,1632127948.0692368,1632127948.1303089,163.3734893798828
3,4,1,1632127948.1304727,1632127948.3685153,168.56329345703125
4,5,1,1632127948.368758,1632127948.4304173,166.63372802734375
5,6,1,1632127948.430582,1632127948.6250422,169.01547241210938
6,7,1,1632127948.6252623,1632127948.8230345,163.30908203125
7,8,1,1632127948.8232565,1632127948.8925712,106.12063598632812
8,9,1,1632127948.8927317,1632127948.9389312,155.69007873535156
9,10,1,1632127948.9390802,1632127949.1395004,165.3891143798828
10,11,1,1632127949.1399605,1632127949.373652,159.35086059570312
11,12,1,1632127949.3738902,1632127949.4921777,101.7965316772461
12,13,1,1632127949.4923863,1632127949.6447203,98.68803405761719
13,14,1,1632127949.6449401,1632127949.6837194,171.51828002929688
14,15,1,1632127949.6838653,1632127949.719703,104.09204864501953
15,16,1,1632127949.719848,1632127949.953321,162.6501922607422
16,17,1,1632127949.9535642,1632127950.1609976,165.7976531982422
17,18,1,1632127950.1612177,1632127950.3165157,168.67620849609375
18,19,1,1632127950.316717,1632127950.3550563,115.04093170166016
19,20,1,1632127950.355201,1632127950.59851,101.94891357421875
20,21,2,1632127950.6021726,1632127950.791531,164.99192810058594
21,22,2,1632127950.7917364,1632127950.9098136,167.00709533691406
22,23,2,1632127950.9099965,1632127950.9705832,168.8323974609375
23,24,2,1632127950.9707394,1632127951.016653,151.60174560546875
24,25,2,1632127951.01681,1632127951.0780993,118.67780303955078
25,26,2,1632127951.0782592,1632127951.116614,113.8781509399414
26,27,2,1632127951.116765,1632127951.3143868,170.49034118652344
27,28,2,1632127951.314612,1632127951.353487,151.04580688476562
28,29,2,1632127951.3536377,1632127951.4153283,162.53334045410156
29,30,2,1632127951.415491,1632127951.6133738,166.97312927246094
30,31,2,1632127951.6135993,1632127951.731346,164.81381225585938
31,32,2,1632127951.7315352,1632127951.8497112,102.00154876708984
32,33,2,1632127951.8498921,1632127952.0018816,99.33760070800781
33,34,2,1632127952.00208,1632127952.1816154,174.18898010253906
34,35,2,1632127952.1818318,1632127952.2957444,156.8722381591797
35,36,2,1632127952.2959268,1632127952.490103,176.1505584716797
36,37,2,1632127952.490322,1632127952.6978595,100.73915100097656
37,38,2,1632127952.6980796,1632127952.855304,176.1433868408203
38,39,2,1632127952.8555336,1632127952.926192,104.73611450195312
39,40,2,1632127952.9263527,1632127953.163821,99.3586654663086
40,41,3,1632127953.1672523,1632127953.3567677,171.11508178710938
41,42,3,1632127953.3569763,1632127953.4776556,168.74111938476562
42,43,3,1632127953.4778426,1632127953.5393279,168.44017028808594
43,44,3,1632127953.5394878,1632127953.7727513,163.4601593017578
44,45,3,1632127953.772986,1632127953.818444,131.78042602539062
45,46,3,1632127953.8186064,1632127953.9627817,97.52222442626953
46,47,3,1632127953.9629827,1632127954.1628652,102.47240447998047
47,48,3,1632127954.1630878,1632127954.2011127,97.13218688964844
48,49,3,1632127954.201265,1632127954.2473392,179.5543670654297
49,50,3,1632127954.2474954,1632127954.4897687,168.9586639404297
50,51,3,1632127954.4900064,1632127954.7230682,165.87655639648438
51,52,3,1632127954.7233067,1632127954.7620194,118.0113754272461
52,53,3,1632127954.7621655,1632127954.8769283,99.63777923583984
53,54,3,1632127954.8771267,1632127954.9158442,109.11219787597656
54,55,3,1632127954.915989,1632127954.9871154,97.10836791992188
55,56,3,1632127954.9872725,1632127955.2204635,98.89849090576172
56,57,3,1632127955.220705,1632127955.4281876,101.16230010986328
57,58,3,1632127955.4284093,1632127955.618391,168.23355102539062
58,59,3,1632127955.6186152,1632127955.6896694,101.73825073242188
59,60,3,1632127955.6898339,1632127955.8106225,169.3778076171875
60,61,4,1632127955.8139546,1632127955.8577316,127.85287475585938
61,62,4,1632127955.8578773,1632127956.0602002,169.81961059570312
62,63,4,1632127956.0604265,1632127956.178512,102.02030944824219
63,64,4,1632127956.1786962,1632127956.4120166,159.71192932128906
64,65,4,1632127956.4122548,1632127956.6541398,165.99061584472656
65,66,4,1632127956.6543767,1632127956.8694904,98.1635971069336
66,67,4,1632127956.8697205,1632127957.0682542,98.54546356201172
67,68,4,1632127957.0684795,1632127957.1066227,109.0937271118164
68,69,4,1632127957.1067681,1632127957.3010516,176.08023071289062
69,70,4,1632127957.3012695,1632127957.4955578,173.50881958007812
70,71,4,1632127957.4958055,1632127957.7451751,169.64125061035156
71,72,4,1632127957.745412,1632127957.8637643,101.44140625
72,73,4,1632127957.8639457,1632127958.015736,168.44546508789062
73,74,4,1632127958.0159369,1632127958.0619335,117.16587829589844
74,75,4,1632127958.0620828,1632127958.1333885,129.3858642578125
75,76,4,1632127958.1335554,1632127958.3841503,101.67184448242188
76,77,4,1632127958.3844845,1632127958.5924106,101.14147186279297
