,iteration,start_time,end_time,val_mse
0,1,1632127436.9953218,1632127437.4699953,1855.8109130859375
1,2,1632127437.4701736,1632127437.8978505,1783.24462890625
2,3,1632127437.89801,1632127437.9743526,1854.079833984375
3,4,1632127437.9744499,1632127438.0515158,2063.398193359375
4,5,1632127438.0516036,1632127438.1736374,2821.277587890625
5,6,1632127438.1737306,1632127438.4879582,1850.881103515625
6,7,1632127438.4881117,1632127438.6108863,1842.8798828125
7,8,1632127438.6109788,1632127438.7196589,1842.4893798828125
8,9,1632127438.719749,1632127438.8116667,1850.7117919921875
9,10,1632127438.8117537,1632127438.9524608,1799.1163330078125
10,11,1632127438.9525568,1632127439.365203,1849.2093505859375
11,12,1632127439.3653517,1632127439.5055506,1807.1934814453125
12,13,1632127439.5056448,1632127439.9767025,1860.0262451171875
13,14,1632127439.976864,1632127440.0834053,1917.1890869140625
14,15,1632127440.083544,1632127440.1718695,1873.1519775390625
15,16,1632127440.171957,1632127440.2473638,2394.060546875
16,17,1632127440.2474525,1632127440.575195,1846.6470947265625
17,18,1632127440.5753272,1632127440.6836607,1860.1966552734375
18,19,1632127440.6837494,1632127440.7603364,1908.455322265625
19,20,1632127440.7604249,1632127441.2276561,1857.504150390625
20,21,1632127441.2278187,1632127441.5493782,1849.12841796875
21,22,1632127441.5495172,1632127441.6262503,1896.941650390625
22,23,1632127441.6263335,1632127442.0148587,1858.2620849609375
23,24,1632127442.0150092,1632127442.3292682,1845.1492919921875
24,25,1632127442.3294013,1632127442.464458,1841.4189453125
25,26,1632127442.4645505,1632127442.5881162,1842.8349609375
26,27,1632127442.588207,1632127442.9092977,1842.2872314453125
27,28,1632127442.9094348,1632127443.0159109,1852.0238037109375
28,29,1632127443.016005,1632127443.3607097,1784.611083984375
29,30,1632127443.3608618,1632127443.4670393,1921.9642333984375
30,31,1632127443.4671266,1632127443.6027179,1827.419921875
31,32,1632127443.602814,1632127443.8901567,1820.355224609375
32,33,1632127443.8902867,1632127444.12212,1842.8480224609375
33,34,1632127444.1222348,1632127444.3596585,1844.558837890625
34,35,1632127444.3597734,1632127444.7540286,1800.3199462890625
35,36,1632127444.754226,1632127445.2416778,1891.2449951171875
36,37,1632127445.2418447,1632127445.3445072,1787.904052734375
37,38,1632127445.3445938,1632127445.4670925,1850.309814453125
38,39,1632127445.4671824,1632127445.6074882,1821.8731689453125
39,40,1632127445.6075816,1632127446.0738978,1853.81982421875
40,41,1632127446.0740585,1632127446.4616976,1847.7965087890625
41,42,1632127446.4618437,1632127446.539261,2276.985595703125
42,43,1632127446.5393429,1632127446.7747452,1803.591064453125
43,44,1632127446.7748625,1632127447.170182,1809.2115478515625
44,45,1632127447.1703281,1632127447.5578446,1851.7030029296875
45,46,1632127447.557993,1632127447.8866165,1799.6895751953125
46,47,1632127447.8867476,1632127448.2991378,1843.928466796875
47,48,1632127448.2992861,1632127448.5399315,1853.6781005859375
48,49,1632127448.5400476,1632127448.6460443,1828.099853515625
49,50,1632127448.6461308,1632127449.1116664,1844.0728759765625
50,51,1632127449.1118267,1632127449.1881874,1888.1124267578125
51,52,1632127449.1882703,1632127449.2968328,3117.10595703125
52,53,1632127449.2969196,1632127449.4027288,1855.67431640625
53,54,1632127449.4028165,1632127449.7175183,1848.32373046875
54,55,1632127449.7176492,1632127449.7957144,1986.3936767578125
55,56,1632127449.795795,1632127449.93687,1854.61376953125
56,57,1632127449.936961,1632127450.0303514,1804.7755126953125
57,58,1632127450.0304418,1632127450.4960806,1845.7652587890625
58,59,1632127450.4962573,1632127450.9809191,1855.583984375
59,60,1632127450.9810812,1632127451.3939602,1934.3563232421875
60,61,1632127451.3941064,1632127451.6074412,1850.6075439453125
61,62,1632127451.6075573,1632127451.9941504,1852.3289794921875
62,63,1632127451.9942968,1632127452.1317372,1851.089599609375
63,64,1632127452.1318285,1632127452.4900188,1837.1282958984375
64,65,1632127452.4901643,1632127452.8839614,1846.669189453125
65,66,1632127452.884106,1632127453.0091035,1836.3963623046875
66,67,1632127453.009192,1632127453.086536,2056.232666015625
67,68,1632127453.0866196,1632127453.1794236,1958.6640625
68,69,1632127453.1795084,1632127453.6756904,1845.4794921875
69,70,1632127453.6758525,1632127453.8176394,1839.1109619140625
70,71,1632127453.8177311,1632127454.2109075,1841.0225830078125
71,72,1632127454.2110534,1632127454.5692415,1784.0712890625
72,73,1632127454.5693855,1632127454.8037486,1850.7093505859375
73,74,1632127454.803866,1632127454.8813899,2702.178466796875
74,75,1632127454.8814783,1632127455.2944021,1852.971435546875
75,76,1632127455.294554,1632127455.434992,1957.454345703125
76,77,1632127455.4350843,1632127455.910345,1842.5269775390625
77,78,1632127455.9105122,1632127456.2388103,1848.9180908203125
78,79,1632127456.2389426,1632127456.4686887,1849.890625
79,80,1632127456.4688041,1632127456.7965455,1846.5364990234375
80,81,1632127456.7966769,1632127457.1098895,1806.8184814453125
81,82,1632127457.1100318,1632127457.201697,2422.845947265625
82,83,1632127457.201782,1632127457.6571178,1852.933837890625
83,84,1632127457.6572788,1632127457.7942886,1816.411376953125
84,85,1632127457.794378,1632127457.8856108,1845.8114013671875
85,86,1632127457.885695,1632127458.1197135,1846.4879150390625
86,87,1632127458.119828,1632127458.4345975,1849.42822265625
87,88,1632127458.4347277,1632127458.910084,1894.443115234375
88,89,1632127458.9102628,1632127459.0317986,2737.90673828125
89,90,1632127459.0318878,1632127459.3201554,1784.78564453125
90,91,1632127459.3202846,1632127459.4436958,1965.427001953125
91,92,1632127459.443786,1632127459.686786,1909.57080078125
