,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,mlp,0.001,0.7,1,9,25,25,22,21,2
1,lstm,0.1,0.7,2,50,11,27,22,18,4
2,lstm,0.001,0.2,3,46,47,7,34,20,4
3,lstm,0.1,0.2,5,2,12,20,2,10,3
4,mlp,0.001,0.4,2,38,49,31,46,16,3
5,lstm,1e-05,0.2,5,20,8,2,30,44,2
6,mlp,0.01,0.9,3,5,40,36,18,13,2
7,lstm,0.0001,0.8,1,12,9,40,5,10,4
8,mlp,0.01,0.9,3,15,27,13,48,9,2
9,mlp,0.001,0.7,3,8,46,35,36,9,2
10,mlp,0.0001,0.3,2,26,36,21,42,36,2
11,lstm,0.01,0.4,3,48,26,6,31,11,5
12,lstm,0.01,0.1,3,38,29,18,38,18,4
13,lstm,0.1,0.0,3,9,8,28,27,40,4
14,mlp,0.1,0.8,1,42,43,27,10,9,5
15,lstm,0.0001,0.8,3,50,13,25,29,2,3
16,lstm,0.001,0.2,2,3,25,46,38,5,5
17,mlp,0.01,0.0,5,47,19,41,15,12,5
18,mlp,0.01,0.8,3,49,18,23,34,21,2
19,mlp,0.1,0.2,1,19,42,18,40,35,3
20,mlp,0.001,0.3,2,4,36,50,50,21,4
21,mlp,0.01,0.9,4,37,15,5,27,32,5
22,mlp,0.1,0.8,2,7,14,26,19,23,5
23,mlp,1e-05,0.9,3,4,30,40,14,30,2
24,lstm,0.1,0.5,3,48,2,11,33,3,4
25,mlp,0.0001,0.3,2,35,18,34,40,14,3
26,mlp,0.1,0.4,3,43,19,32,32,22,2
27,mlp,0.01,0.8,2,20,4,25,26,40,3
28,mlp,0.001,0.1,2,49,21,48,10,44,5
29,lstm,0.1,0.9,1,9,37,27,2,50,3
30,lstm,1e-05,0.9,5,33,20,26,14,42,4
31,mlp,1e-05,0.9,5,21,36,8,36,36,3
32,lstm,0.001,0.5,4,21,50,36,44,19,5
33,lstm,0.001,0.4,2,34,40,18,35,12,4
34,lstm,0.1,0.4,3,40,12,9,23,31,4
35,mlp,0.1,0.1,4,38,28,49,29,5,4
36,lstm,0.01,0.3,1,43,3,42,26,20,4
37,lstm,0.1,0.6,2,4,15,13,6,17,3
38,lstm,0.001,0.4,1,36,27,8,46,32,3
39,lstm,0.0001,0.8,5,8,22,15,31,30,3
40,lstm,1e-05,0.4,4,8,29,10,37,44,4
41,lstm,0.01,0.7,3,3,2,17,34,39,3
42,mlp,0.0001,0.2,5,4,42,13,36,29,5
43,lstm,0.0001,0.6,1,44,29,47,10,22,2
44,lstm,0.001,0.2,2,14,2,12,43,14,5
45,mlp,0.1,0.2,4,45,45,50,7,36,4
46,lstm,0.0001,0.5,2,28,42,38,3,15,5
47,lstm,0.001,0.2,3,6,23,12,10,21,3
48,lstm,0.01,0.1,2,50,20,39,6,10,4
49,mlp,0.0001,0.5,4,27,34,45,31,10,2
50,lstm,1e-05,0.3,4,38,45,49,28,8,2
51,mlp,0.1,0.9,2,18,31,48,40,2,2
52,lstm,0.0001,0.3,4,4,49,6,50,10,2
53,mlp,1e-05,0.8,5,26,48,50,13,12,4
54,mlp,0.01,0.6,5,42,9,20,37,45,2
55,lstm,0.01,0.5,2,13,37,39,41,35,4
56,mlp,0.001,0.7,1,19,25,39,25,9,2
57,mlp,0.0001,0.2,2,46,16,50,48,12,3
58,mlp,1e-05,0.7,1,13,30,8,36,26,5
59,lstm,0.0001,0.9,1,18,31,30,47,41,3
60,lstm,0.0001,0.1,1,49,40,5,14,9,2
61,mlp,0.001,0.4,2,5,35,50,42,49,4
62,mlp,1e-05,0.7,2,30,41,35,10,25,3
63,lstm,0.1,0.8,3,15,48,48,48,45,4
64,mlp,0.1,0.4,2,11,37,6,25,32,3
65,lstm,1e-05,0.4,3,26,50,48,9,12,2
66,mlp,0.0001,0.8,5,21,39,16,2,35,3
67,lstm,0.01,0.3,3,23,38,48,18,42,2
68,mlp,0.0001,0.1,5,49,45,7,7,8,2
69,mlp,0.01,0.7,4,3,27,12,42,8,4
70,mlp,0.001,0.6,3,27,42,23,27,28,3
71,lstm,1e-05,0.1,2,42,28,20,16,25,5
72,mlp,0.01,0.5,5,28,45,9,35,28,2
73,lstm,0.1,0.6,3,11,40,4,50,38,5
74,lstm,0.0001,0.8,3,47,15,18,50,49,2
75,mlp,0.1,0.2,4,11,39,32,13,21,3
76,lstm,0.1,0.9,1,31,34,44,17,13,3
77,lstm,0.0001,0.9,3,18,46,8,15,47,5
78,lstm,0.01,0.6,1,37,15,36,36,39,3
79,lstm,0.001,0.1,1,6,32,45,47,8,5
80,mlp,0.01,0.3,1,47,33,5,47,26,4
81,mlp,0.01,0.8,3,43,36,20,46,25,3
82,lstm,1e-05,0.7,1,13,42,48,45,12,2
83,lstm,0.1,0.2,2,44,40,3,29,23,5
84,mlp,0.01,0.3,2,4,8,30,50,48,5
85,lstm,0.001,0.7,3,12,16,3,29,10,4
86,mlp,0.1,0.4,2,43,16,9,35,4,3
87,mlp,0.01,0.0,1,22,5,32,41,22,3
88,lstm,0.1,0.4,5,17,27,27,33,20,3
89,lstm,0.01,0.9,5,49,7,20,40,14,5
90,lstm,0.1,0.2,5,5,5,50,32,16,4
91,lstm,0.01,0.1,2,25,34,47,40,16,5
92,mlp,0.0001,0.6,1,42,27,8,8,42,2
93,lstm,1e-05,0.4,2,17,28,46,45,10,2
94,lstm,0.1,0.3,1,40,9,8,26,26,2
95,mlp,0.01,0.9,4,15,40,47,13,48,4
96,mlp,0.1,0.8,4,28,26,5,17,22,2
97,lstm,0.001,0.4,4,26,29,42,32,36,5
98,mlp,0.0001,0.7,5,39,36,28,28,47,5
99,lstm,0.1,0.8,1,8,15,31,50,27,3
100,lstm,0.0001,0.3,4,37,41,23,44,50,3
101,mlp,1e-05,0.0,5,16,15,30,43,40,2
102,lstm,0.01,0.3,1,38,41,25,25,3,2
103,mlp,1e-05,0.1,5,2,49,34,44,32,5
104,lstm,0.001,0.5,1,50,18,12,16,3,2
105,lstm,1e-05,0.7,1,40,36,9,23,26,4
106,mlp,0.1,0.1,5,25,38,44,11,38,4
107,lstm,0.001,0.5,1,11,19,8,15,20,3
108,mlp,0.01,0.3,3,25,32,22,41,3,2
109,mlp,0.0001,0.6,5,12,19,15,4,25,3
110,mlp,0.0001,0.0,5,30,33,48,6,17,2
111,mlp,0.01,0.0,2,47,47,13,40,47,4
112,lstm,0.0001,0.5,1,3,38,24,44,13,4
113,lstm,1e-05,0.5,5,30,18,48,30,40,3
114,lstm,0.1,0.1,3,14,6,22,40,38,3
115,lstm,0.01,0.9,2,6,46,49,44,41,5
116,mlp,0.01,0.9,4,26,48,20,7,41,2
117,lstm,0.001,0.3,4,50,39,37,38,49,3
118,mlp,0.001,0.6,2,45,50,14,38,33,4
119,mlp,0.01,0.1,3,24,28,48,5,6,3
120,mlp,1e-05,0.1,5,14,19,7,23,45,3
121,mlp,0.0001,0.4,4,30,38,50,12,31,3
122,lstm,0.01,0.7,3,19,40,18,3,8,4
123,mlp,0.01,0.9,5,6,34,43,11,39,5
124,mlp,1e-05,0.5,1,21,42,24,16,18,5
125,lstm,0.01,0.7,3,50,6,43,50,20,3
126,lstm,0.0001,0.4,4,12,33,32,21,40,4
127,mlp,0.001,0.0,1,47,39,36,18,29,4
128,mlp,0.0001,0.2,4,44,4,2,15,39,5
129,lstm,0.001,0.5,5,18,10,41,36,20,4
130,mlp,0.001,0.9,4,8,29,28,50,17,4
131,mlp,0.01,0.1,3,31,45,23,33,14,5
132,mlp,0.001,0.4,1,47,21,44,31,13,3
133,lstm,0.01,0.4,4,26,15,37,33,34,3
134,mlp,0.01,0.2,4,22,17,19,15,5,3
135,lstm,1e-05,0.9,1,8,48,17,45,11,4
136,mlp,0.001,0.6,3,45,36,9,28,32,4
137,lstm,1e-05,0.1,2,31,31,50,17,5,4
138,mlp,1e-05,0.1,1,42,33,21,40,7,4
139,mlp,0.01,0.4,3,4,16,22,44,5,2
140,lstm,0.001,0.0,4,36,29,10,45,10,4
141,mlp,0.001,0.8,4,34,19,27,47,38,2
142,mlp,0.001,0.2,4,43,48,3,41,28,4
143,mlp,0.0001,0.4,2,31,22,48,8,26,2
