,iteration,start_time,end_time,val_mse
0,1,1632128804.9824376,1632128819.124147,1826.987060546875
1,2,1632128819.1271915,1632128831.9077256,1810.0496826171875
2,3,1632128831.9116828,1632128845.3474686,1817.8758544921875
3,4,1632128845.3507977,1632128859.81768,1820.7078857421875
4,5,1632128859.8209617,1632128875.3895705,1784.5618896484375
5,6,1632128875.39322,1632128891.885594,1820.3480224609375
6,7,1632128891.8895767,1632128907.7593288,1781.362548828125
7,8,1632128907.762632,1632128925.148858,1781.390380859375
8,9,1632128925.1528213,1632128942.7723646,1782.4107666015625
9,10,1632128942.775736,1632128960.378368,1781.6849365234375
10,11,1632128960.3823075,1632128978.7007916,1781.464599609375
11,12,1632128978.704104,1632128993.2633631,1781.4974365234375
12,13,1632128993.267294,1632129009.2062902,1742.961181640625
13,14,1632129009.2099223,1632129022.8177419,1758.0228271484375
14,15,1632129022.8216734,1632129037.5292535,1778.9876708984375
15,16,1632129037.5326118,1632129051.4710855,1744.629150390625
16,17,1632129051.4750915,1632129065.7484155,1773.70458984375
17,18,1632129065.7517571,1632129081.5177617,1778.2503662109375
18,19,1632129081.5216613,1632129096.4508677,1777.948974609375
19,20,1632129096.4541328,1632129113.2720344,1779.59130859375
20,21,1632129113.2760987,1632129129.7202628,1780.1536865234375
21,22,1632129129.7234313,1632129144.3101175,1777.9814453125
22,23,1632129144.313888,1632129159.2375958,1775.4688720703125
23,24,1632129159.2408497,1632129172.958452,1761.4906005859375
24,25,1632129172.9624374,1632129185.6708946,1777.0589599609375
25,26,1632129185.674056,1632129197.9914947,1779.2576904296875
26,27,1632129197.9953978,1632129212.248566,1775.8074951171875
