,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632128804.9824376,1632128805.9363315,1853.5123291015625
1,2,1,1632128805.9365559,1632128806.5327513,1847.9334716796875
2,3,1,1632128806.5329523,1632128806.8353424,1853.2620849609375
3,4,1,1632128806.8355076,1632128808.0327737,1837.65087890625
4,5,1,1632128808.0330124,1632128808.3363373,1828.8309326171875
5,6,1,1632128808.3365104,1632128809.308661,1839.6107177734375
6,7,1,1632128809.3088892,1632128810.2989225,1840.51708984375
7,8,1,1632128810.299149,1632128810.6416297,2033.9197998046875
8,9,1,1632128810.6417994,1632128810.8675187,1861.23876953125
9,10,1,1632128810.8676765,1632128811.8565118,1847.7822265625
10,11,1,1632128811.8567345,1632128813.0257714,1840.8463134765625
11,12,1,1632128813.026021,1632128813.6173615,1994.06689453125
12,13,1,1632128813.6175632,1632128814.375581,1958.62255859375
13,14,1,1632128814.375787,1632128814.565352,2045.612060546875
14,15,1,1632128814.5655048,1632128814.740282,2511.873046875
15,16,1,1632128814.740434,1632128815.9115596,1847.9228515625
16,17,1,1632128815.9118004,1632128816.945047,1826.987060546875
17,18,1,1632128816.9452715,1632128817.7178943,1846.7042236328125
18,19,1,1632128817.7181,1632128817.9046648,2140.833251953125
19,20,1,1632128817.904818,1632128819.124147,2031.8865966796875
20,21,2,1632128819.1271915,1632128820.0740888,1843.7415771484375
21,22,2,1632128820.074298,1632128820.661743,1844.6502685546875
22,23,2,1632128820.661936,1632128820.964292,1859.7017822265625
23,24,2,1632128820.964457,1632128821.1875591,1929.3057861328125
24,25,2,1632128821.187715,1632128821.4932156,1810.0496826171875
25,26,2,1632128821.4933825,1632128821.6811628,4315.12353515625
26,27,2,1632128821.6813152,1632128822.6729362,1859.0003662109375
27,28,2,1632128822.6731596,1632128822.862496,1850.704345703125
28,29,2,1632128822.8626497,1632128823.1681137,1824.2694091796875
29,30,2,1632128823.1682835,1632128824.1604087,1853.179443359375
30,31,2,1632128824.1606321,1632128824.7475939,1831.8267822265625
31,32,2,1632128824.7477808,1632128825.334949,2035.8428955078125
32,33,2,1632128825.3351367,1632128826.0954576,1878.619384765625
33,34,2,1632128826.0956614,1632128826.9944446,1840.286865234375
34,35,2,1632128826.994665,1632128827.5593238,1846.6231689453125
35,36,2,1632128827.5595112,1632128828.5332043,1854.01611328125
36,37,2,1632128828.5334258,1632128829.5743098,2019.2969970703125
37,38,2,1632128829.5745325,1632128830.3604949,1855.24951171875
38,39,2,1632128830.3609338,1632128830.7132094,1990.49658203125
39,40,2,1632128830.7133799,1632128831.9077256,2004.6490478515625
40,41,3,1632128831.9116828,1632128832.4782104,1845.938720703125
41,42,3,1632128832.4783905,1632128833.0120368,1857.5096435546875
42,43,3,1632128833.0122235,1632128833.3181424,1848.86474609375
43,44,3,1632128833.3183064,1632128834.1046484,1840.3272705078125
44,45,3,1632128834.1049838,1632128834.3691733,1934.1845703125
45,46,3,1632128834.3693345,1632128835.3427594,1961.8057861328125
46,47,3,1632128835.3429875,1632128836.377224,1828.5247802734375
47,48,3,1632128836.3774464,1632128836.8984013,1856.7479248046875
48,49,3,1632128836.898589,1632128837.208823,1847.8692626953125
49,50,3,1632128837.2089944,1632128838.2017775,1845.0941162109375
50,51,3,1632128838.2020035,1632128838.5053596,2191.239501953125
51,52,3,1632128838.5055232,1632128839.0933738,1830.9298095703125
52,53,3,1632128839.0935636,1632128839.6762166,1817.8758544921875
53,54,3,1632128839.6764107,1632128839.8659046,1904.85498046875
54,55,3,1632128839.8660583,1632128840.2168489,2805.185791015625
55,56,3,1632128840.2170181,1632128841.1895726,1842.9912109375
56,57,3,1632128841.1897938,1632128842.1622877,1846.1153564453125
57,58,3,1632128842.1625116,1632128842.9350007,1843.6802978515625
58,59,3,1632128842.9352055,1632128844.1537132,2031.60400390625
59,60,3,1632128844.153961,1632128845.3474686,2009.579833984375
60,61,4,1632128845.3507977,1632128846.322755,1856.0067138671875
61,62,4,1632128846.3229709,1632128846.911842,1845.2113037109375
62,63,4,1632128846.9120398,1632128847.2141302,1889.2847900390625
63,64,4,1632128847.2142935,1632128848.4105604,1837.35498046875
64,65,4,1632128848.4107952,1632128848.635492,1896.955810546875
65,66,4,1632128848.6356525,1632128849.2062688,1855.8201904296875
66,67,4,1632128849.2064552,1632128850.2417624,1820.7078857421875
67,68,4,1632128850.2419956,1632128850.431296,1909.66748046875
68,69,4,1632128850.4314485,1632128850.6983385,1865.217041015625
69,70,4,1632128850.6985,1632128851.8931193,1842.47607421875
70,71,4,1632128851.8933594,1632128852.4797013,1841.853271484375
71,72,4,1632128852.4798942,1632128853.490316,1834.6480712890625
72,73,4,1632128853.4905403,1632128854.264218,1908.7882080078125
73,74,4,1632128854.2644422,1632128855.1638982,1842.6600341796875
74,75,4,1632128855.1641204,1632128856.0279818,1849.658203125
75,76,4,1632128856.0282052,1632128856.5965667,1843.3267822265625
