,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,lstm,0.001,0.6,5,9,2,5,25,31,4
1,lstm,0.001,0.2,4,7,32,46,16,35,2
2,lstm,0.001,0.5,5,9,2,5,14,31,4
3,lstm,0.001,0.5,5,9,2,5,14,31,4
4,lstm,0.01,0.2,2,44,4,2,9,30,2
5,lstm,0.01,0.9,1,40,4,2,9,30,2
6,lstm,0.01,0.0,1,44,49,26,21,43,4
7,lstm,0.01,0.5,1,9,4,2,14,30,4
8,lstm,0.01,0.2,1,46,4,2,6,30,2
9,lstm,0.01,0.2,2,2,28,46,8,19,2
10,lstm,0.01,0.8,1,40,8,2,9,29,2
11,lstm,0.01,0.8,1,40,7,44,9,29,2
12,lstm,0.01,0.2,1,8,45,26,21,20,2
13,lstm,0.01,0.2,5,9,28,2,8,49,2
14,lstm,0.01,0.8,1,40,8,2,9,29,2
15,lstm,0.01,0.2,1,40,4,2,7,16,2
16,lstm,0.01,0.0,1,9,20,2,48,9,2
17,lstm,0.01,0.1,1,40,4,48,7,16,4
18,lstm,0.01,0.8,1,40,8,3,14,17,2
19,lstm,0.01,0.2,1,21,28,33,3,14,2
20,lstm,0.01,0.2,1,40,28,36,9,14,2
21,lstm,0.01,0.2,5,4,28,49,7,31,2
22,lstm,0.01,0.2,1,6,21,2,9,30,2
23,lstm,0.01,0.2,1,21,28,33,3,14,2
24,lstm,0.01,0.8,1,9,7,6,48,9,2
25,lstm,0.01,0.1,1,40,29,33,3,14,2
26,lstm,0.01,0.2,1,7,4,3,8,30,4
