,iteration,start_time,end_time,val_mse
0,1,1632127574.849057,1632127598.7344558,2279.80712890625
1,2,1632127598.7381086,1632127620.3147333,2283.498046875
2,3,1632127620.3181438,1632127642.4039204,2278.49560546875
3,4,1632127642.4077642,1632127667.9902885,2278.110107421875
4,5,1632127667.994153,1632127691.8639348,2273.70263671875
5,6,1632127691.8677144,1632127716.6316345,2272.12451171875
6,7,1632127716.6357899,1632127736.299084,2273.593505859375
7,8,1632127736.3023412,1632127760.1561835,2271.861572265625
8,9,1632127760.1600866,1632127784.9689782,2272.66259765625
9,10,1632127784.9728816,1632127810.7361104,2273.9892578125
10,11,1632127810.7402647,1632127834.5577798,2270.88623046875
11,12,1632127834.5611632,1632127860.3736045,2272.690673828125
12,13,1632127860.3775995,1632127883.5093513,2271.821533203125
13,14,1632127883.5133057,1632127904.9693055,2270.74072265625
14,15,1632127904.9730787,1632127925.925935,2272.1162109375
15,16,1632127925.9291317,1632127946.9989438,2270.7138671875
16,17,1632127947.002759,1632127967.8032658,2271.8466796875
17,18,1632127967.807161,1632127986.4027035,2271.840087890625
18,19,1632127986.4059348,1632128005.7507615,2271.987548828125
19,20,1632128005.7544813,1632128025.456035,2272.071044921875
20,21,1632128025.4598746,1632128044.2329748,2271.82763671875
21,22,1632128044.2362447,1632128063.6264749,2270.765625
22,23,1632128063.6303122,1632128085.149965,2271.8056640625
23,24,1632128085.1538203,1632128104.799885,2272.032958984375
24,25,1632128104.8032882,1632128125.000784,2271.87548828125
25,26,1632128125.0046976,1632128145.2738853,2271.844482421875
26,27,1632128145.2778049,1632128166.3223312,2271.7705078125
