,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
0,lstm,0.1,0.0,2,44,28,29,43,8,3
1,mlp,0.1,0.1,5,21,41,47,33,38,5
2,lstm,0.1,0.7,1,44,41,29,9,30,3
3,lstm,0.1,0.3,1,44,38,6,21,36,2
4,mlp,0.1,0.5,2,7,13,41,16,31,2
5,mlp,0.1,0.6,2,9,2,5,43,29,3
6,lstm,0.1,0.4,1,44,41,29,36,30,5
7,lstm,0.1,0.0,1,5,34,29,26,8,4
8,lstm,0.1,0.7,2,7,13,41,16,31,2
9,mlp,0.1,0.6,2,9,2,5,43,29,3
10,mlp,0.1,0.6,2,9,2,5,43,29,3
11,lstm,0.1,0.5,1,21,2,47,36,29,4
12,mlp,0.1,0.7,1,4,13,5,43,31,5
13,mlp,0.1,0.7,1,4,13,5,43,31,5
14,lstm,0.1,0.6,1,44,41,29,36,30,3
15,lstm,0.1,0.4,1,7,34,5,14,8,3
16,mlp,0.1,0.6,1,3,49,5,35,25,3
17,mlp,0.1,0.2,2,8,2,29,34,29,3
18,mlp,0.1,0.6,2,19,2,14,36,34,3
19,mlp,0.1,0.7,1,4,2,47,36,29,4
20,lstm,0.1,0.2,1,44,41,29,34,30,5
21,mlp,0.1,0.6,1,2,48,47,36,29,2
22,mlp,0.1,0.7,1,35,38,47,36,29,4
23,lstm,0.1,0.2,1,13,49,2,35,5,4
24,mlp,0.1,0.6,1,3,13,5,35,25,3
25,mlp,0.1,0.6,2,9,38,4,48,30,3
26,mlp,0.1,0.6,1,35,13,5,48,2,3
