,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632129383.5203953,1632129383.997937,164.72164916992188
1,2,1,1632129383.9981546,1632129384.3016493,164.98733520507812
2,3,1,1632129384.3018394,1632129384.4566898,166.42526245117188
3,4,1,1632129384.4571164,1632129385.0582628,163.8889617919922
4,5,1,1632129385.0584981,1632129385.2125163,164.38897705078125
5,6,1,1632129385.212675,1632129385.701196,173.6388397216797
6,7,1,1632129385.7014148,1632129386.1988444,161.08302307128906
7,8,1,1632129386.1990702,1632129386.3732655,108.03483581542969
8,9,1,1632129386.373432,1632129386.4890661,146.6703643798828
9,10,1,1632129386.4892173,1632129386.9865031,173.64688110351562
10,11,1,1632129386.986722,1632129387.5765347,169.88795471191406
11,12,1,1632129387.5767734,1632129387.8729932,100.63111877441406
12,13,1,1632129387.873182,1632129388.2534356,100.59587860107422
13,14,1,1632129388.253634,1632129388.350848,190.2730712890625
14,15,1,1632129388.3509967,1632129388.4415252,109.67771911621094
15,16,1,1632129388.4416711,1632129389.0308516,175.63218688964844
16,17,1,1632129389.031088,1632129389.5515356,150.7716522216797
17,18,1,1632129389.5517607,1632129389.940191,163.49478149414062
18,19,1,1632129389.94039,1632129390.0361733,126.64381408691406
19,20,1,1632129390.0363193,1632129390.646742,100.60752868652344
20,21,1,1632129390.6470249,1632129390.8031466,129.82456970214844
21,22,1,1632129390.8033047,1632129391.0723374,178.17100524902344
22,23,1,1632129391.0725217,1632129391.6997006,100.85212707519531
23,24,1,1632129391.6999426,1632129392.2883866,165.64535522460938
24,25,1,1632129392.2886267,1632129392.83159,163.09219360351562
25,26,1,1632129392.8318326,1632129393.352095,165.81320190429688
26,27,1,1632129393.352314,1632129393.5088456,171.09597778320312
27,28,1,1632129393.509017,1632129394.108657,110.49862670898438
28,29,1,1632129394.1089005,1632129394.224335,164.37962341308594
29,30,1,1632129394.224486,1632129394.355419,156.16957092285156
30,31,1,1632129394.3555727,1632129394.487359,171.53778076171875
31,32,1,1632129394.4875128,1632129394.5837061,228.12042236328125
32,33,1,1632129394.5838633,1632129395.0353906,160.61984252929688
33,34,1,1632129395.0356095,1632129395.5330403,172.67665100097656
34,35,1,1632129395.5332587,1632129395.7087286,165.9731903076172
35,36,1,1632129395.7088962,1632129395.823976,148.6679229736328
36,37,1,1632129395.824137,1632129396.1169755,100.7574234008789
37,38,1,1632129396.1171582,1632129396.4123049,100.60953521728516
38,39,1,1632129396.4124863,1632129396.901671,153.61526489257812
39,40,1,1632129396.9018948,1632129397.3532712,159.2469024658203
40,41,1,1632129397.3534913,1632129397.5022497,167.96461486816406
41,42,1,1632129397.5024068,1632129398.0082147,162.93984985351562
42,43,1,1632129398.0084372,1632129398.4430907,100.41527557373047
43,44,1,1632129398.4433024,1632129398.7344813,165.70526123046875
44,45,1,1632129398.7346628,1632129398.8318315,112.36274719238281
45,46,2,1632129398.8319824,1632129399.1352835,162.78688049316406
46,47,2,1632129399.1354582,1632129399.5244167,164.69000244140625
47,48,2,1632129399.5246165,1632129399.6574538,99.7035140991211
48,49,2,1632129399.6576152,1632129400.0597343,172.3182373046875
49,50,2,1632129400.0599399,1632129400.1760912,160.2179718017578
50,51,2,1632129400.1770236,1632129400.3097024,101.01481628417969
51,52,2,1632129400.310107,1632129400.8076656,110.31206512451172
52,53,2,1632129400.8081193,1632129400.9410017,103.77925109863281
53,54,2,1632129400.9413922,1632129401.0741742,103.30889892578125
54,55,2,1632129401.0745504,1632129401.207443,107.2608871459961
55,56,2,1632129401.2078195,1632129401.3406947,161.4512939453125
56,57,2,1632129401.3410757,1632129401.4986885,101.98084259033203
57,58,2,1632129401.4990795,1632129401.6130102,105.78897857666016
58,59,2,1632129401.6133854,1632129401.7469704,151.5128936767578
59,60,2,1632129401.7473524,1632129401.880084,129.93267822265625
60,61,2,1632129401.880463,1632129402.0152092,189.50799560546875
61,62,2,1632129402.015594,1632129402.1482954,190.9230499267578
62,63,2,1632129402.1486769,1632129402.2842832,102.59370422363281
63,64,2,1632129402.2851617,1632129402.4181273,103.42367553710938
64,65,2,1632129402.4185092,1632129402.5520742,169.64840698242188
65,66,2,1632129402.552461,1632129402.6853302,136.60879516601562
