,iteration,start_time,end_time,val_mse
0,1,1632126843.136264,1632126843.6849477,2942.236328125
1,2,1632126843.6853013,1632126844.016726,2340.640380859375
2,3,1632126844.0168216,1632126844.402073,2387.976806640625
3,4,1632126844.4021666,1632126846.1370049,2324.485595703125
4,5,1632126846.1371572,1632126846.6601064,2293.633544921875
5,6,1632126846.6601982,1632126846.9821608,2638.5166015625
6,7,1632126846.9822452,1632126848.6260839,2293.757080078125
7,8,1632126848.6262352,1632126849.0629473,2296.328369140625
8,9,1632126849.0630374,1632126849.9867225,2300.931640625
9,10,1632126849.9868493,1632126850.562042,2823.510986328125
10,11,1632126850.5621386,1632126852.6476436,2298.93994140625
11,12,1632126852.6478195,1632126853.2235105,2439.999267578125
12,13,1632126853.2236075,1632126853.6689837,2516.46044921875
13,14,1632126853.6690774,1632126854.658818,2297.728515625
14,15,1632126854.6589468,1632126856.317709,2297.820068359375
15,16,1632126856.317991,1632126858.3181803,2297.993408203125
16,17,1632126858.31837,1632126859.6073754,2290.0673828125
17,18,1632126859.607529,1632126861.3772235,2280.248779296875
18,19,1632126861.3773956,1632126863.0615668,2280.7275390625
19,20,1632126863.0617223,1632126863.4338634,2428.77978515625
20,21,1632126863.4339561,1632126863.8229167,2319.725341796875
21,22,1632126863.8230085,1632126865.4830244,2378.58837890625
22,23,1632126865.483202,1632126865.8666139,2320.820068359375
23,24,1632126865.8667047,1632126866.8593626,2292.821044921875
24,25,1632126866.859494,1632126868.8576183,2300.888671875
25,26,1632126868.857802,1632126870.9008136,2298.165771484375
26,27,1632126870.9010186,1632126871.2680953,2569.087158203125
27,28,1632126871.2681868,1632126872.6392746,2287.192626953125
28,29,1632126872.6394129,1632126873.2144496,2790.455810546875
29,30,1632126873.214547,1632126873.7265494,2315.389892578125
30,31,1632126873.7266457,1632126875.4160223,2296.962158203125
31,32,1632126875.416199,1632126876.326964,2300.61767578125
32,33,1632126876.3270926,1632126877.6447823,2292.274658203125
33,34,1632126877.6449256,1632126879.0595431,2280.350341796875
34,35,1632126879.0597703,1632126879.382259,2291.261962890625
35,36,1632126879.3823478,1632126880.2936022,2301.02392578125
36,37,1632126880.2937357,1632126882.379135,2298.6416015625
37,38,1632126882.379308,1632126882.7641783,2310.59619140625
38,39,1632126882.7642684,1632126883.3507218,2312.329833984375
39,40,1632126883.3508198,1632126885.08073,2297.3994140625
40,41,1632126885.080895,1632126885.992173,2298.16650390625
41,42,1632126885.9922957,1632126886.5744586,2343.4013671875
42,43,1632126886.5745616,1632126887.0327537,3375.212158203125
43,44,1632126887.0328534,1632126888.060672,2304.926025390625
44,45,1632126888.0607946,1632126888.3828075,2528.4833984375
45,46,1632126888.3829026,1632126888.7090578,2447.281005859375
46,47,1632126888.7091463,1632126890.5535312,2272.031005859375
47,48,1632126890.5537024,1632126890.9434755,2403.9453125
48,49,1632126890.9435666,1632126891.4493937,2315.521728515625
49,50,1632126891.4494936,1632126892.4250612,2296.126220703125
50,51,1632126892.425184,1632126892.733467,2424.27783203125
51,52,1632126892.7335567,1632126893.0547142,2370.9375
52,53,1632126893.0548007,1632126893.442455,2290.85009765625
53,54,1632126893.442545,1632126894.7943099,2384.009765625
54,55,1632126894.7944608,1632126895.179333,2745.468994140625
55,56,1632126895.179423,1632126896.4034855,2298.012451171875
