,iteration,start_time,end_time,val_mse
0,1,1632129215.567403,1632129216.1672645,169.72010803222656
1,2,1632129216.1674254,1632129216.7098422,100.54295349121094
2,3,1632129216.7100043,1632129216.8065495,129.96067810058594
3,4,1632129216.8066344,1632129216.903746,111.9035873413086
4,5,1632129216.9038293,1632129217.0584707,100.19065856933594
5,6,1632129217.058557,1632129217.4534657,155.06378173828125
6,7,1632129217.4535918,1632129217.6089659,146.87303161621094
7,8,1632129217.6090517,1632129217.7461026,119.2669906616211
8,9,1632129217.7461874,1632129217.8625798,170.46084594726562
9,10,1632129217.8626623,1632129218.0404937,109.43199157714844
10,11,1632129218.0405834,1632129218.5676613,100.62236785888672
11,12,1632129218.5678046,1632129218.7455091,122.7511978149414
12,13,1632129218.7455986,1632129219.3412914,160.0653839111328
13,14,1632129219.3414493,1632129219.476014,110.79290008544922
14,15,1632129219.476098,1632129219.5872688,177.1595001220703
15,16,1632129219.587352,1632129219.6826825,102.7380599975586
16,17,1632129219.6827612,1632129220.0972192,163.81106567382812
17,18,1632129220.097352,1632129220.2346857,170.08377075195312
18,19,1632129220.2347693,1632129220.3321428,122.14189147949219
19,20,1632129220.3322215,1632129220.9233532,160.97662353515625
20,21,1632129220.9235115,1632129221.328083,100.60501098632812
21,22,1632129221.3282104,1632129221.4254076,112.18891906738281
22,23,1632129221.4254863,1632129221.9178746,164.86476135253906
23,24,1632129221.9181032,1632129222.386919,166.46754455566406
24,25,1632129222.3871484,1632129222.5591042,127.2533187866211
25,26,1632129222.5591948,1632129222.7159054,171.35568237304688
26,27,1632129222.7159946,1632129223.1206663,161.61407470703125
27,28,1632129223.120794,1632129223.2554972,141.69735717773438
28,29,1632129223.2555814,1632129223.6915295,100.55033874511719
29,30,1632129223.6916678,1632129223.8263276,164.77447509765625
30,31,1632129223.8264117,1632129223.99731,145.7542724609375
31,32,1632129223.997398,1632129224.3606718,132.53204345703125
32,33,1632129224.3608165,1632129224.6531687,154.94410705566406
33,34,1632129224.653281,1632129224.952859,155.71829223632812
34,35,1632129224.9529712,1632129225.3581867,106.14920043945312
35,36,1632129225.3583162,1632129225.972452,100.60989379882812
36,37,1632129225.9726748,1632129226.1030037,106.90064239501953
37,38,1632129226.1030855,1632129226.2584927,163.3048553466797
38,39,1632129226.2585776,1632129226.4356878,134.19512939453125
39,40,1632129226.4357748,1632129227.0282764,154.67068481445312
40,41,1632129227.0284355,1632129227.5194561,167.21751403808594
41,42,1632129227.5195985,1632129227.6182163,120.73423767089844
42,43,1632129227.6182947,1632129227.9152882,100.63742065429688
43,44,1632129227.9154003,1632129228.4168017,100.63719177246094
44,45,1632129228.4169524,1632129228.9079413,162.15924072265625
45,46,1632129228.9080856,1632129229.3233478,101.42010498046875
46,47,1632129229.323476,1632129229.8471282,160.47540283203125
47,48,1632129229.847283,1632129230.1515923,171.03863525390625
48,49,1632129230.151704,1632129230.2858913,108.21251678466797
49,50,1632129230.2859762,1632129230.8772352,168.6020050048828
50,51,1632129230.8773932,1632129230.9745877,122.84172058105469
51,52,1632129230.9746668,1632129231.1126199,152.16796875
52,53,1632129231.1127038,1632129231.2469525,158.69175720214844
53,54,1632129231.247036,1632129231.6445622,169.0403594970703
54,55,1632129231.6446888,1632129231.7427177,208.30276489257812
55,56,1632129231.742796,1632129231.9215724,143.95860290527344
56,57,1632129231.9216604,1632129232.0404217,145.90036010742188
57,58,1632129232.0405035,1632129232.63252,161.1297607421875
58,59,1632129232.6326828,1632129233.2475443,168.24423217773438
59,60,1632129233.2477136,1632129233.7766757,100.62555694580078
60,61,1632129233.7768195,1632129234.0471108,166.40756225585938
61,62,1632129234.047243,1632129234.5388634,160.20236206054688
62,63,1632129234.5390086,1632129234.7139306,163.90965270996094
63,64,1632129234.7140193,1632129235.168608,158.28570556640625
64,65,1632129235.1687496,1632129235.6701128,100.63862609863281
65,66,1632129235.6702785,1632129235.830457,99.56583404541016
66,67,1632129235.830543,1632129235.9289808,234.9101104736328
67,68,1632129235.9290607,1632129236.0473516,190.70407104492188
68,69,1632129236.047433,1632129236.6807122,164.27108764648438
69,70,1632129236.6808789,1632129236.862282,142.60781860351562
70,71,1632129236.8623772,1632129237.3617063,158.43905639648438
71,72,1632129237.3618548,1632129237.817256,100.57842254638672
72,73,1632129237.8173964,1632129238.1148481,168.46875
73,74,1632129238.1149626,1632129238.2139497,97.50689697265625
74,75,1632129238.2140303,1632129238.7393181,166.65750122070312
75,76,1632129238.7394834,1632129238.917619,96.45946502685547
76,77,1632129238.9177074,1632129239.5222142,169.26548767089844
77,78,1632129239.5223732,1632129239.9388514,165.62403869628906
78,79,1632129239.93899,1632129240.2320724,160.8065948486328
79,80,1632129240.2321854,1632129240.6495895,171.23043823242188
80,81,1632129240.6497278,1632129241.0480232,109.49386596679688
81,82,1632129241.0481672,1632129241.164526,124.35992431640625
82,83,1632129241.1646073,1632129241.7434504,166.2593994140625
83,84,1632129241.743608,1632129241.9176435,108.61991882324219
84,85,1632129241.917731,1632129242.03349,153.86868286132812
85,86,1632129242.0335703,1632129242.3268595,169.6378631591797
86,87,1632129242.326972,1632129242.7270072,100.65459442138672
87,88,1632129242.7271464,1632129243.3276234,100.64000701904297
88,89,1632129243.3278046,1632129243.4831228,104.31671142578125
89,90,1632129243.4832091,1632129243.8482125,97.58320617675781
90,91,1632129243.8483405,1632129244.0068917,115.950439453125
91,92,1632129244.0069788,1632129244.3140078,101.48672485351562
92,93,1632129244.3141253,1632129244.4933705,167.9773712158203
93,94,1632129244.4934587,1632129244.62623,163.13339233398438
94,95,1632129244.6263123,1632129244.9328523,111.74467468261719
95,96,1632129244.9329782,1632129245.5322297,162.10630798339844
96,97,1632129245.5324023,1632129246.0800781,163.40762329101562
97,98,1632129246.0802374,1632129246.3684454,171.8792266845703
98,99,1632129246.3685565,1632129246.544464,109.7764663696289
99,100,1632129246.5445528,1632129246.8498127,100.69506072998047
100,101,1632129246.8499346,1632129246.985895,147.2474365234375
101,102,1632129246.9859798,1632129247.4410622,168.22625732421875
102,103,1632129247.4412134,1632129247.5819826,119.22600555419922
103,104,1632129247.5820677,1632129248.1850796,160.41107177734375
