,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632063746.6450186,1632063746.908525,2293.603515625
1,2,1,1632063746.9089324,1632063746.9260442,2363.673095703125
2,3,1,1632063746.926199,1632063747.4430196,2271.793212890625
3,4,1,1632063747.4438286,1632063747.9944034,2277.1025390625
4,5,1,1632063747.9954295,1632063748.0193675,2296.768798828125
5,6,1,1632063748.0195346,1632063748.25152,2293.587158203125
6,7,1,1632063748.2520354,1632063749.0132904,2279.699951171875
7,8,1,1632063749.0147326,1632063749.8383958,2272.493408203125
8,9,1,1632063749.8396773,1632063750.9916124,2294.222412109375
9,10,1,1632063750.9935815,1632063751.0112977,2364.85986328125
10,11,1,1632063751.0114605,1632063751.6405911,2292.99169921875
11,12,1,1632063751.6416612,1632063751.668352,2306.603515625
12,13,1,1632063751.668525,1632063751.6830575,2521.903564453125
13,14,1,1632063751.6832094,1632063751.6970756,2452.82763671875
14,15,1,1632063751.6972253,1632063751.7150998,2296.716064453125
15,16,1,1632063751.7152545,1632063753.0670683,2294.439697265625
16,17,1,1632063753.0688877,1632063754.086959,2279.420654296875
17,18,1,1632063754.0882578,1632063754.8374155,2289.62646484375
18,19,1,1632063754.838843,1632063754.8527954,2576.564697265625
19,20,1,1632063754.8529465,1632063754.8733473,2326.631591796875
20,21,1,1632063754.873512,1632063754.8875613,2463.84912109375
21,22,1,1632063754.8877132,1632063754.9121659,2352.49267578125
22,23,1,1632063754.912334,1632063754.9331086,2278.994873046875
23,24,1,1632063754.933266,1632063754.9504876,2543.583251953125
24,25,1,1632063754.950644,1632063755.2204158,2303.960205078125
25,26,1,1632063755.2209084,1632063755.248146,2291.0712890625
26,27,1,1632063755.2483118,1632063755.9950356,2294.453857421875
27,28,1,1632063755.99606,1632063756.546536,2296.600830078125
28,29,1,1632063756.5475547,1632063757.468143,2296.965087890625
29,30,1,1632063757.469553,1632063757.4960485,2293.46630859375
30,31,1,1632063757.496217,1632063758.8810987,2294.5380859375
31,32,1,1632063758.8832119,1632063758.9073946,2303.751953125
32,33,1,1632063758.9075696,1632063758.9306357,2287.171142578125
33,34,1,1632063758.9307976,1632063760.4680207,2297.104736328125
34,35,1,1632063760.4701247,1632063761.7421567,2292.4892578125
35,36,1,1632063761.7442982,1632063762.9771647,2295.904541015625
36,37,1,1632063762.9791558,1632063763.0029666,2291.471923828125
37,38,1,1632063763.0031335,1632063763.020412,2315.455810546875
38,39,1,1632063763.0205734,1632063763.0439284,2303.5703125
39,40,1,1632063763.04409,1632063763.0686626,2346.4091796875
40,41,1,1632063763.0688248,1632063764.453138,2273.441650390625
41,42,1,1632063764.4552243,1632063765.387111,2292.0693359375
42,43,1,1632063765.388876,1632063765.4088225,2290.2353515625
43,44,1,1632063765.4089835,1632063766.5334237,2280.27001953125
44,45,1,1632063766.5356746,1632063767.9152973,2294.15234375
45,46,2,1632063767.9231465,1632063767.9409418,2319.308349609375
46,47,2,1632063767.9410954,1632063767.9580266,2426.111083984375
47,48,2,1632063767.9581823,1632063769.1805544,2299.76318359375
