,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632064429.2783213,1632064429.5342624,2301.243896484375
1,2,1,1632064429.5346751,1632064429.5518203,2354.851318359375
2,3,1,1632064429.5519753,1632064430.072598,2273.10009765625
3,4,1,1632064430.0736737,1632064430.6245162,2281.800537109375
4,5,1,1632064430.6255133,1632064430.6494155,2294.654052734375
5,6,1,1632064430.6495893,1632064430.8810837,2293.2763671875
6,7,1,1632064430.8815076,1632064431.6425676,2283.55517578125
7,8,1,1632064431.6439865,1632064432.4627106,2274.652587890625
8,9,1,1632064432.4640217,1632064433.6167295,2291.7763671875
9,10,1,1632064433.618716,1632064433.6365223,2315.596435546875
10,11,1,1632064433.6366816,1632064434.2674677,2293.5302734375
11,12,1,1632064434.2684739,1632064434.29537,2365.014404296875
12,13,1,1632064434.2955477,1632064434.31013,2701.42333984375
13,14,1,1632064434.3102808,1632064434.3241172,2311.735595703125
14,15,1,1632064434.3242679,1632064434.3421953,2274.166015625
15,16,1,1632064434.3423495,1632064435.6950607,2295.385986328125
16,17,1,1632064435.6968708,1632064436.7151482,2271.907958984375
17,18,1,1632064436.716358,1632064437.4653378,2293.00439453125
18,19,1,1632064437.4668033,1632064437.4807413,2548.541015625
19,20,1,1632064437.4808934,1632064437.5012093,2338.728515625
20,21,1,1632064437.501367,1632064437.515408,2473.12939453125
21,22,1,1632064437.5155656,1632064437.539993,2336.56591796875
22,23,1,1632064437.5401566,1632064437.5609276,2263.80224609375
23,24,1,1632064437.5612483,1632064437.5785365,2811.9111328125
24,25,1,1632064437.578693,1632064437.8484838,2300.360107421875
25,26,1,1632064437.8489692,1632064437.8763945,2303.3798828125
26,27,1,1632064437.8765657,1632064438.633343,2300.50927734375
27,28,1,1632064438.6343656,1632064439.1838837,2297.093505859375
28,29,1,1632064439.1848795,1632064440.1058102,2298.384765625
29,30,1,1632064440.1071787,1632064440.1336923,2294.89208984375
30,31,1,1632064440.1338644,1632064441.5186813,2295.6943359375
31,32,1,1632064441.5209246,1632064441.545009,2333.971435546875
32,33,1,1632064441.5451796,1632064441.5685406,2265.473388671875
33,34,1,1632064441.5687063,1632064443.130162,2293.230712890625
34,35,1,1632064443.1322308,1632064444.4016254,2293.15380859375
35,36,1,1632064444.4037497,1632064445.6381536,2291.875732421875
36,37,1,1632064445.6400144,1632064445.6645954,2297.15966796875
37,38,1,1632064445.6647637,1632064445.682081,2278.85693359375
38,39,1,1632064445.6822374,1632064445.7056777,2291.525634765625
39,40,1,1632064445.7058406,1632064445.730538,2335.4423828125
40,41,1,1632064445.7307012,1632064447.1121986,2282.51513671875
41,42,1,1632064447.1144865,1632064448.041092,2289.636962890625
42,43,1,1632064448.042763,1632064448.062932,2286.2119140625
43,44,1,1632064448.0630922,1632064449.1840405,2278.604248046875
44,45,1,1632064449.1858358,1632064450.5612416,2295.175537109375
45,46,2,1632064450.5689518,1632064450.8193886,2300.58740234375
46,47,2,1632064450.8198035,1632064450.8439577,2299.130615234375
47,48,2,1632064450.8441548,1632064451.3606205,2272.08935546875
48,49,2,1632064451.3614225,1632064451.3757823,2411.967529296875
49,50,2,1632064451.3759317,1632064452.0169923,2286.2138671875
50,51,2,1632064452.0180006,1632064452.0421455,2293.417724609375
51,52,2,1632064452.042309,1632064452.7993174,2283.387451171875
52,53,2,1632064452.800726,1632064453.6877646,2296.62744140625
53,54,2,1632064453.6890097,1632064453.7064793,2331.1650390625
54,55,2,1632064453.706636,1632064455.2443757,2297.837158203125
55,56,2,1632064455.2464578,1632064456.6445656,2295.06982421875
56,57,2,1632064456.6466534,1632064457.52986,2272.527099609375
57,58,2,1632064457.5311968,1632064458.646335,2275.45166015625
58,59,2,1632064458.6481733,1632064458.6743922,2286.088623046875
59,60,2,1632064458.6745715,1632064458.6921644,2511.30810546875
60,61,2,1632064458.6923192,1632064459.3714232,2292.42626953125
61,62,2,1632064459.3725061,1632064459.919887,2290.65087890625
62,63,2,1632064459.9208734,1632064461.0722842,2293.058837890625
63,64,2,1632064461.0748014,1632064461.6312208,2284.821044921875
64,65,2,1632064461.6322272,1632064462.1485753,2273.425537109375
65,66,2,1632064462.149421,1632064462.8742204,2295.480224609375
66,67,2,1632064462.8754532,1632064462.8961837,2352.787353515625
67,68,2,1632064462.896343,1632064462.9102764,2343.81298828125
68,69,2,1632064462.9104264,1632064462.9276783,2322.4306640625
69,70,2,1632064462.9278352,1632064463.878498,2291.5126953125
70,71,2,1632064463.88018,1632064463.9033701,2306.921875
71,72,2,1632064463.9035454,1632064464.8044684,2294.31884765625
72,73,2,1632064464.805754,1632064464.829818,2297.6904296875
73,74,2,1632064464.8299863,1632064465.7469594,2299.028564453125
74,75,2,1632064465.7483501,1632064467.1257148,2272.3623046875
75,76,2,1632064467.1278045,1632064468.5056205,2288.275146484375
76,77,2,1632064468.5079062,1632064468.6842299,2295.2998046875
77,78,2,1632064468.6846,1632064468.698879,2516.34130859375
78,79,2,1632064468.6990335,1632064468.7169187,2320.307373046875
79,80,2,1632064468.7170742,1632064469.4612353,2292.867919921875
80,81,2,1632064469.4625082,1632064469.4766788,2301.989013671875
81,82,2,1632064469.4768326,1632064469.4907637,2364.8544921875
82,83,2,1632064469.4909146,1632064471.0405095,2295.35107421875
83,84,2,1632064471.042599,1632064471.0597706,2391.154296875
84,85,2,1632064471.0599432,1632064471.9777417,2294.5654296875
85,86,2,1632064471.979175,1632064471.996937,2362.948486328125
86,87,2,1632064471.9970965,1632064472.9275992,2293.30078125
87,88,2,1632064472.929356,1632064472.9493845,2286.993408203125
88,89,2,1632064472.9495509,1632064472.9726627,2296.21142578125
89,90,2,1632064472.9728248,1632064474.1435642,2290.22900390625
90,91,3,1632064474.1524537,1632064474.4025402,2299.437744140625
91,92,3,1632064474.4029677,1632064474.4256089,2296.904052734375
92,93,3,1632064474.4258149,1632064475.2624593,2271.916015625
93,94,3,1632064475.263505,1632064476.385816,2295.80322265625
94,95,3,1632064476.3873649,1632064477.0693803,2299.904541015625
95,96,3,1632064477.0705738,1632064477.606443,2278.59716796875
96,97,3,1632064477.6074326,1632064478.560172,2293.733154296875
97,98,3,1632064478.561858,1632064479.8433547,2271.93408203125
98,99,3,1632064479.8451352,1632064481.3831754,2295.035888671875
99,100,3,1632064481.385252,1632064481.6343844,2298.484375
100,101,3,1632064481.6348357,1632064482.7831748,2302.447265625
