,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632068439.666914,1632068439.9178476,2301.5185546875
1,2,1,1632068439.9182622,1632068439.9353797,2443.365234375
2,3,1,1632068439.9355397,1632068440.4507709,2280.62939453125
3,4,1,1632068440.4515772,1632068441.0015836,2287.585205078125
4,5,1,1632068441.002586,1632068441.0265257,2298.945068359375
5,6,1,1632068441.0266893,1632068441.2585676,2298.252685546875
6,7,1,1632068441.2589853,1632068442.0181105,2282.115478515625
7,8,1,1632068442.0195382,1632068442.839591,2272.5986328125
8,9,1,1632068442.8408034,1632068443.9910135,2294.168212890625
9,10,1,1632068443.992987,1632068444.010757,2302.631591796875
10,11,1,1632068444.0109136,1632068444.6407475,2294.955810546875
11,12,1,1632068444.6417358,1632068444.668754,2313.2353515625
12,13,1,1632068444.6689186,1632068444.6835518,2403.867431640625
13,14,1,1632068444.6837041,1632068444.6975548,2366.85986328125
14,15,1,1632068444.6977057,1632068444.7156131,2295.81201171875
15,16,1,1632068444.7157683,1632068446.0647218,2298.21923828125
16,17,1,1632068446.0665512,1632068447.0850046,2271.8994140625
17,18,1,1632068447.086382,1632068447.8344119,2300.2744140625
18,19,1,1632068447.8356903,1632068447.8498063,2429.618896484375
19,20,1,1632068447.8499584,1632068447.870377,2317.6328125
20,21,1,1632068447.8705392,1632068447.8845584,2536.3984375
21,22,1,1632068447.8847094,1632068447.9090555,2348.389892578125
22,23,1,1632068447.9092176,1632068447.9299097,2342.556396484375
23,24,1,1632068447.930066,1632068447.947187,2463.311279296875
24,25,1,1632068447.9473405,1632068448.2164967,2296.282470703125
25,26,1,1632068448.216985,1632068448.244201,2295.94873046875
26,27,1,1632068448.244365,1632068448.9894354,2296.011474609375
27,28,1,1632068448.990465,1632068449.5407786,2299.686767578125
28,29,1,1632068449.541782,1632068450.4633942,2297.1533203125
29,30,1,1632068450.4648528,1632068450.4917262,2299.11083984375
30,31,1,1632068450.4919007,1632068451.875486,2292.0400390625
31,32,1,1632068451.877797,1632068451.90171,2290.14111328125
32,33,1,1632068451.9018853,1632068451.9247992,2286.589111328125
33,34,1,1632068451.9249632,1632068453.4749353,2294.57470703125
34,35,1,1632068453.4770217,1632068454.7483466,2297.731201171875
35,36,1,1632068454.750357,1632068455.98855,2301.1787109375
36,37,1,1632068455.9905512,1632068456.0143127,2284.87841796875
37,38,1,1632068456.0144882,1632068456.0316093,2321.0126953125
38,39,1,1632068456.0317664,1632068456.0549839,2294.767578125
39,40,1,1632068456.055145,1632068456.079654,2317.295654296875
40,41,1,1632068456.0798151,1632068457.4633355,2274.34033203125
41,42,1,1632068457.465733,1632068458.3954268,2295.138671875
42,43,1,1632068458.3970814,1632068458.4172919,2280.54443359375
43,44,1,1632068458.4174638,1632068459.5372558,2273.4326171875
44,45,1,1632068459.5390751,1632068460.917054,2295.537841796875
45,46,2,1632068460.9254625,1632068460.943355,2329.5400390625
46,47,2,1632068460.9435186,1632068460.9672778,2263.824951171875
47,48,2,1632068460.967439,1632068462.1909342,2290.138671875
48,49,2,1632068462.1931653,1632068462.742531,2287.5654296875
49,50,2,1632068462.7436025,1632068463.291051,2278.56396484375
50,51,2,1632068463.292046,1632068463.3169682,2292.79541015625
51,52,2,1632068463.3171313,1632068464.0534554,2292.14208984375
52,53,2,1632068464.054478,1632068464.072577,2292.953857421875
53,54,2,1632068464.0727322,1632068464.089972,2403.500732421875
54,55,2,1632068464.0901253,1632068465.6328745,2293.11083984375
55,56,2,1632068465.6349611,1632068467.007094,2301.071044921875
56,57,2,1632068467.0093837,1632068467.9168303,2279.639404296875
57,58,2,1632068467.9180543,1632068469.0340707,2283.768798828125
58,59,2,1632068469.0358748,1632068469.0614743,2304.306396484375
59,60,2,1632068469.0616448,1632068469.0885015,2311.844482421875
60,61,2,1632068469.0886686,1632068469.1154144,2285.6337890625
61,62,2,1632068469.1155872,1632068469.6633554,2294.629150390625
62,63,2,1632068469.6643515,1632068470.8112648,2295.8369140625
63,64,2,1632068470.8132522,1632068471.3616762,2276.982177734375
64,65,2,1632068471.3627384,1632068471.8775313,2273.78173828125
65,66,2,1632068471.8783805,1632068471.8925872,2389.583740234375
66,67,2,1632068471.8927414,1632068473.1493344,2293.95751953125
67,68,2,1632068473.1511292,1632068473.1653063,2418.832763671875
68,69,2,1632068473.1654665,1632068473.1827376,2656.431396484375
69,70,2,1632068473.1828916,1632068474.455352,2294.925048828125
70,71,2,1632068474.4570243,1632068474.4849825,2296.970947265625
71,72,2,1632068474.485155,1632068474.508228,2299.383544921875
72,73,2,1632068474.5083895,1632068475.056014,2297.877685546875
73,74,2,1632068475.057012,1632068476.5906198,2300.15771484375
74,75,2,1632068476.5927083,1632068477.9723983,2276.557373046875
75,76,2,1632068477.9747345,1632068477.9895768,2517.760498046875
76,77,2,1632068477.9898179,1632068478.165907,2295.427490234375
77,78,2,1632068478.1662698,1632068478.1804762,2387.07861328125
78,79,2,1632068478.1806297,1632068478.1985595,2301.961669921875
79,80,2,1632068478.1987154,1632068478.9442515,2301.72314453125
80,81,2,1632068478.94553,1632068478.9596763,2434.619384765625
81,82,2,1632068478.9598289,1632068478.97369,2331.388916015625
82,83,2,1632068478.9738405,1632068480.519933,2293.9296875
83,84,2,1632068480.5220408,1632068480.5456386,2297.087158203125
84,85,2,1632068480.5458245,1632068480.5704355,2313.153564453125
85,86,2,1632068480.5706115,1632068480.590856,2312.218994140625
86,87,2,1632068480.591014,1632068480.6143003,2291.807861328125
87,88,2,1632068480.6144674,1632068480.6389394,2336.57421875
88,89,2,1632068480.6391015,1632068480.6622381,2296.633544921875
89,90,2,1632068480.6623986,1632068481.8100376,2295.845458984375
90,91,3,1632068481.8183527,1632068482.5590506,2295.6162109375
91,92,3,1632068482.5599666,1632068483.0740037,2280.671142578125
92,93,3,1632068483.0748959,1632068484.3439767,2299.327880859375
93,94,3,1632068484.34579,1632068485.2636492,2295.18798828125
94,95,3,1632068485.265009,1632068485.288931,2309.10205078125
95,96,3,1632068485.2891026,1632068486.408089,2278.48388671875
96,97,3,1632068486.4098747,1632068487.6393814,2292.949462890625
97,98,3,1632068487.6412776,1632068487.6661325,2366.76806640625
98,99,3,1632068487.6662974,1632068489.2054327,2298.333984375
99,100,3,1632068489.2075524,1632068490.7497714,2295.587158203125
100,101,3,1632068490.7519028,1632068492.2267478,2274.497314453125
101,102,3,1632068492.2290347,1632068492.2560327,2284.145263671875
102,103,3,1632068492.2562273,1632068492.2736702,2485.472412109375
103,104,3,1632068492.2738314,1632068492.2989917,2294.182861328125
104,105,3,1632068492.2991657,1632068492.3222299,2300.0546875
105,106,3,1632068492.3223917,1632068493.4580846,2299.716064453125
106,107,3,1632068493.4601057,1632068494.840154,2272.9365234375
107,108,3,1632068494.8423476,1632068496.0880003,2298.07861328125
108,109,3,1632068496.09009,1632068496.1097136,2285.906982421875
109,110,3,1632068496.1098816,1632068496.6237695,2273.29150390625
110,111,3,1632068496.6246216,1632068497.1726704,2289.627685546875
111,112,3,1632068497.173678,1632068498.430026,2292.114501953125
112,113,3,1632068498.4320197,1632068499.2656653,2276.909423828125
113,114,3,1632068499.2668707,1632068499.2908716,2321.049072265625
114,115,3,1632068499.2910457,1632068499.3141327,2294.977783203125
115,116,3,1632068499.314296,1632068499.3368287,2295.695068359375
116,117,3,1632068499.3369908,1632068499.3597207,2304.947998046875
117,118,3,1632068499.3598824,1632068499.3863535,2291.3466796875
118,119,3,1632068499.3865237,1632068500.920545,2295.942626953125
119,120,3,1632068500.922725,1632068502.1852386,2294.40576171875
120,121,3,1632068502.187089,1632068502.2126415,2290.90087890625
121,122,3,1632068502.2128181,1632068503.5629768,2296.81884765625
122,123,3,1632068503.5650759,1632068503.5919538,2311.010009765625
123,124,3,1632068503.592128,1632068504.7620704,2278.058349609375
124,125,3,1632068504.7637694,1632068504.7884362,2298.5224609375
125,126,3,1632068504.7886105,1632068504.8019354,2422.63330078125
126,127,3,1632068504.802087,1632068505.0518837,2297.385009765625
127,128,3,1632068505.052445,1632068505.566153,2273.52783203125
128,129,3,1632068505.5669973,1632068507.1113548,2295.990478515625
129,130,3,1632068507.1135228,1632068508.3415177,2273.43994140625
130,131,3,1632068508.34353,1632068508.8579443,2271.890625
131,132,3,1632068508.8590353,1632068509.4073062,2276.132080078125
132,133,3,1632068509.4083202,1632068509.42829,2371.2265625
133,134,3,1632068509.4284554,1632068510.9681554,2295.81787109375
134,135,3,1632068510.970238,1632068510.9936142,2307.37109375
135,136,4,1632068510.999848,1632068511.7492392,2299.486083984375
136,137,4,1632068511.7501662,1632068513.1549225,2276.861328125
137,138,4,1632068513.1570053,1632068513.4979906,2272.037841796875
138,139,4,1632068513.498736,1632068513.9685595,2298.8974609375
139,140,4,1632068513.9693754,1632068514.9177878,2271.8740234375
140,141,4,1632068514.9190252,1632068515.46672,2277.751220703125
141,142,4,1632068515.4677305,1632068516.016192,2280.725341796875
142,143,4,1632068516.0171983,1632068516.5317538,2273.433837890625
143,144,4,1632068516.53261,1632068517.6837454,2292.824462890625
144,145,4,1632068517.6857467,1632068518.589265,2300.462890625
145,146,4,1632068518.5909007,1632068519.592435,2278.232421875
146,147,4,1632068519.594207,1632068520.1087208,2271.70947265625
147,148,4,1632068520.109665,1632068520.9475777,2277.9111328125
148,149,4,1632068520.949007,1632068521.7612157,2272.351318359375
149,150,4,1632068521.7623863,1632068522.4852064,2294.4541015625
