,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632069103.7470536,1632069104.0030746,2298.70849609375
1,2,1,1632069104.0034897,1632069104.0206313,2336.331298828125
2,3,1,1632069104.020787,1632069104.536623,2271.947509765625
3,4,1,1632069104.5374298,1632069105.0869677,2280.34423828125
4,5,1,1632069105.0879803,1632069105.111813,2298.402587890625
5,6,1,1632069105.1119764,1632069105.3434973,2295.891845703125
6,7,1,1632069105.3439147,1632069106.1051648,2280.6201171875
7,8,1,1632069106.1065822,1632069106.927613,2271.789794921875
8,9,1,1632069106.9287326,1632069108.0802176,2290.020263671875
9,10,1,1632069108.0822077,1632069108.1000264,2340.23681640625
10,11,1,1632069108.100186,1632069108.7244587,2298.278076171875
11,12,1,1632069108.7254598,1632069108.7523546,2324.93212890625
12,13,1,1632069108.7525265,1632069108.7671034,2425.732421875
13,14,1,1632069108.7672539,1632069108.781089,2498.582275390625
14,15,1,1632069108.7812374,1632069108.7991369,2382.783203125
15,16,1,1632069108.7992902,1632069110.1467934,2298.306640625
16,17,1,1632069110.1486485,1632069111.1610217,2275.3525390625
17,18,1,1632069111.1624436,1632069111.9094799,2298.86376953125
18,19,1,1632069111.910753,1632069111.924908,2364.300537109375
19,20,1,1632069111.925062,1632069111.9453952,2297.904541015625
20,21,1,1632069111.945558,1632069111.9596076,2726.858642578125
21,22,1,1632069111.9597576,1632069111.9842315,2359.748046875
22,23,1,1632069111.984392,1632069112.005086,2315.659912109375
23,24,1,1632069112.0052416,1632069112.02249,2364.408935546875
24,25,1,1632069112.0226645,1632069112.292709,2299.135498046875
25,26,1,1632069112.2931983,1632069112.3205118,2291.389404296875
26,27,1,1632069112.320678,1632069113.0580518,2299.809814453125
27,28,1,1632069113.0591125,1632069113.6087098,2292.7998046875
28,29,1,1632069113.6097078,1632069114.5303857,2294.561279296875
29,30,1,1632069114.5317976,1632069114.558209,2290.091552734375
30,31,1,1632069114.5583801,1632069115.9410553,2295.9296875
31,32,1,1632069115.9431713,1632069115.967434,2310.015625
32,33,1,1632069115.9676144,1632069115.9906325,2289.693359375
33,34,1,1632069115.9907966,1632069117.550613,2297.205810546875
34,35,1,1632069117.5526965,1632069118.8222582,2296.621337890625
35,36,1,1632069118.8243182,1632069120.0613377,2296.7255859375
36,37,1,1632069120.0632408,1632069120.0873096,2291.1875
37,38,1,1632069120.087483,1632069120.1047246,2356.48486328125
38,39,1,1632069120.1048818,1632069120.1281326,2285.13623046875
39,40,1,1632069120.1282928,1632069120.1529374,2337.17626953125
40,41,1,1632069120.1530976,1632069121.5348022,2271.834228515625
41,42,1,1632069121.5368865,1632069122.4690022,2294.612060546875
42,43,1,1632069122.4707992,1632069122.4912713,2555.126220703125
43,44,1,1632069122.491433,1632069123.6146004,2278.15673828125
44,45,1,1632069123.6166387,1632069124.9921563,2298.8134765625
45,46,1,1632069124.9943948,1632069125.0087392,2587.4794921875
46,47,1,1632069125.0089025,1632069125.0294375,2340.20166015625
47,48,1,1632069125.0296087,1632069125.992036,2291.748046875
48,49,1,1632069125.9937255,1632069127.2767556,2297.41748046875
49,50,1,1632069127.2788827,1632069128.8213058,2294.927734375
50,51,1,1632069128.8233836,1632069129.9024427,2295.977783203125
51,52,1,1632069129.9041753,1632069130.2717419,2281.37451171875
52,53,1,1632069130.2725198,1632069130.2898314,2351.46533203125
53,54,1,1632069130.2899873,1632069130.3079658,2298.389892578125
54,55,1,1632069130.3081188,1632069131.0576327,2275.758544921875
55,56,1,1632069131.0587938,1632069131.0836618,2288.525146484375
56,57,1,1632069131.0838265,1632069131.098186,2790.4775390625
57,58,1,1632069131.0983362,1632069131.390473,2299.663818359375
58,59,1,1632069131.3909647,1632069131.405046,2584.2529296875
59,60,1,1632069131.4051957,1632069132.3817077,2296.572998046875
60,61,2,1632069132.3900733,1632069132.4099836,2293.886962890625
61,62,2,1632069132.4101405,1632069133.5083222,2296.659912109375
62,63,2,1632069133.510244,1632069133.5280187,2333.793212890625
63,64,2,1632069133.528175,1632069135.0683193,2294.51953125
64,65,2,1632069135.0704312,1632069136.6088738,2294.77734375
65,66,2,1632069136.6108556,1632069136.6358228,2304.3134765625
66,67,2,1632069136.6360033,1632069136.8671162,2295.55615234375
67,68,2,1632069136.8675427,1632069137.6898954,2272.09033203125
