,pop_size,F,CR,mse
0,45,0.0,0.0,[101.09423828]
1,45,0.0,0.15,[102.55406952]
2,45,0.0,0.3,[104.57748413]
3,45,0.0,0.45,[101.8822937]
4,45,0.0,0.6,[97.42251587]
5,45,0.0,0.75,[98.93725586]
6,45,0.0,0.9,[104.98954773]
7,45,0.0,1.0,[100.54438782]
8,45,0.15,0.0,[103.3837738]
9,45,0.15,0.15,[102.92649841]
10,45,0.15,0.3,[99.01931]
11,45,0.15,0.45,[102.81956482]
12,45,0.15,0.6,[98.47280884]
13,45,0.15,0.75,[103.59922028]
14,45,0.15,0.9,[103.6149292]
15,45,0.15,1.0,[100.52004242]
16,45,0.3,0.0,[101.51093292]
17,45,0.3,0.15,[99.01406097]
18,45,0.3,0.3,[102.46400452]
19,45,0.3,0.45,[99.21086884]
20,45,0.3,0.6,[99.72185516]
21,45,0.3,0.75,[99.83383942]
22,45,0.3,0.9,[103.71669769]
23,45,0.3,1.0,[99.89476776]
24,45,0.45,0.0,[98.47761536]
25,45,0.45,0.15,[101.76295471]
26,45,0.45,0.3,[103.76760864]
27,45,0.45,0.45,[98.21495819]
28,45,0.45,0.6,[101.35149384]
29,45,0.45,0.75,[101.44199371]
30,45,0.45,0.9,[101.55899811]
31,45,0.45,1.0,[101.92262268]
32,45,0.6,0.0,[102.46263123]
33,45,0.6,0.15,[98.69906616]
34,45,0.6,0.3,[98.18828583]
35,45,0.6,0.45,[101.34999084]
36,45,0.6,0.6,[102.62456512]
37,45,0.6,0.75,[99.07131958]
38,45,0.6,0.9,[102.83531189]
39,45,0.6,1.0,[100.88995361]
40,45,0.75,0.0,[103.68409729]
41,45,0.75,0.15,[101.76256561]
42,45,0.75,0.3,[100.62030792]
43,45,0.75,0.45,[100.99208832]
44,45,0.75,0.6,[101.59642029]
45,45,0.75,0.75,[100.93772125]
46,45,0.75,0.9,[99.82519531]
47,45,0.75,1.0,[102.03943634]
48,45,0.9,0.0,[100.3690033]
49,45,0.9,0.15,[100.5292511]
50,45,0.9,0.3,[100.15252686]
51,45,0.9,0.45,[101.44707489]
52,45,0.9,0.6,[102.914505]
53,45,0.9,0.75,[101.14283752]
54,45,0.9,0.9,[100.61976624]
55,45,0.9,1.0,[102.49077606]
56,45,1.0,0.0,[99.64756775]
57,45,1.0,0.15,[104.15475464]
58,45,1.0,0.3,[103.09709167]
59,45,1.0,0.45,[105.65607452]
60,45,1.0,0.6,[100.70957184]
61,45,1.0,0.75,[100.62404633]
62,45,1.0,0.9,[100.71276093]
63,45,1.0,1.0,[101.83454895]
64,60,0.0,0.0,[99.61612701]
65,60,0.0,0.15,[98.37583923]
66,60,0.0,0.3,[104.52252197]
67,60,0.0,0.45,[101.81198883]
68,60,0.0,0.6,[102.29774475]
69,60,0.0,0.75,[100.06341553]
70,60,0.0,0.9,[102.77775574]
71,60,0.0,1.0,[103.10034943]
72,60,0.15,0.0,[100.04117584]
73,60,0.15,0.15,[102.06132507]
74,60,0.15,0.3,[99.58673859]
75,60,0.15,0.45,[101.31032562]
76,60,0.15,0.6,[100.39924622]
77,60,0.15,0.75,[103.94473267]
78,60,0.15,0.9,[99.13191223]
79,60,0.15,1.0,[100.39136505]
80,60,0.3,0.0,[101.21076965]
81,60,0.3,0.15,[101.62944794]
82,60,0.3,0.3,[105.80679321]
83,60,0.3,0.45,[101.82420349]
84,60,0.3,0.6,[103.05515289]
85,60,0.3,0.75,[102.07844543]
86,60,0.3,0.9,[99.32911682]
87,60,0.3,1.0,[102.53079224]
88,60,0.45,0.0,[100.59259796]
89,60,0.45,0.15,[102.34871674]
90,60,0.45,0.3,[103.36619568]
91,60,0.45,0.45,[102.40908051]
92,60,0.45,0.6,[97.25088501]
93,60,0.45,0.75,[102.25042725]
94,60,0.45,0.9,[100.09823608]
95,60,0.45,1.0,[101.1293335]
96,60,0.6,0.0,[102.06248474]
97,60,0.6,0.15,[99.53101349]
98,60,0.6,0.3,[100.53994751]
99,60,0.6,0.45,[104.34201813]
100,60,0.6,0.6,[102.38683319]
101,60,0.6,0.75,[100.46353912]
102,60,0.6,0.9,[106.93231201]
103,60,0.6,1.0,[103.25800323]
104,60,0.75,0.0,[103.79945374]
105,60,0.75,0.15,[99.37257385]
106,60,0.75,0.3,[102.44464111]
107,60,0.75,0.45,[103.07798004]
108,60,0.75,0.6,[104.25803375]
109,60,0.75,0.75,[101.4370575]
110,60,0.75,0.9,[103.0188446]
111,60,0.75,1.0,[102.41216278]
112,60,0.9,0.0,[100.17993164]
113,60,0.9,0.15,[101.7585907]
114,60,0.9,0.3,[100.19521332]
115,60,0.9,0.45,[104.23470306]
116,60,0.9,0.6,[101.27644348]
117,60,0.9,0.75,[100.68759155]
118,60,0.9,0.9,[100.1089859]
119,60,0.9,1.0,[100.68074036]
120,60,1.0,0.0,[101.31239319]
121,60,1.0,0.15,[103.68239594]
122,60,1.0,0.3,[102.30233002]
123,60,1.0,0.45,[103.64411926]
124,60,1.0,0.6,[99.86595154]
125,60,1.0,0.75,[107.72174835]
126,60,1.0,0.9,[99.93099976]
127,60,1.0,1.0,[103.72150421]
