,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632064455.9351652,1632064456.0164115,167.13218688964844
1,2,1,1632064456.016947,1632064456.0224245,183.2355499267578
2,3,1,1632064456.022576,1632064456.177519,127.87869262695312
3,4,1,1632064456.17837,1632064456.3444066,161.0887451171875
4,5,1,1632064456.34538,1632064456.3531518,166.0418243408203
5,6,1,1632064456.3533065,1632064456.4235897,169.70838928222656
6,7,1,1632064456.4239926,1632064456.6537123,148.06399536132812
7,8,1,1632064456.6551316,1632064456.8988705,148.8095245361328
8,9,1,1632064456.9001367,1632064457.2468855,174.99009704589844
9,10,1,1632064457.2487955,1632064457.25466,167.31961059570312
10,11,1,1632064457.2548087,1632064457.4438014,168.88563537597656
11,12,1,1632064457.4448893,1632064457.453447,118.764404296875
12,13,1,1632064457.4536934,1632064457.4584286,180.56344604492188
13,14,1,1632064457.4585774,1632064457.4630854,179.5102081298828
14,15,1,1632064457.4632266,1632064457.4690626,177.60992431640625
15,16,1,1632064457.4692085,1632064457.8732083,168.94886779785156
16,17,1,1632064457.874927,1632064458.1773064,146.5695343017578
17,18,1,1632064458.1785283,1632064458.4035006,164.32728576660156
18,19,1,1632064458.404882,1632064458.4093876,184.4827880859375
19,20,1,1632064458.409533,1632064458.4161549,162.47264099121094
20,21,1,1632064458.4163039,1632064458.420883,128.7445831298828
21,22,1,1632064458.4210248,1632064458.4288418,108.50186920166016
22,23,1,1632064458.429013,1632064458.435822,178.75869750976562
23,24,1,1632064458.4359713,1632064458.4415667,180.59815979003906
24,25,1,1632064458.4417143,1632064458.5234652,163.9541473388672
25,26,1,1632064458.5239584,1632064458.5327654,164.03993225097656
26,27,1,1632064458.532932,1632064458.758387,173.85459899902344
27,28,1,1632064458.7594707,1632064458.9252148,160.35374450683594
28,29,1,1632064458.9261894,1632064459.2016203,172.45535278320312
29,30,1,1632064459.202967,1632064459.2114604,167.4052276611328
30,31,1,1632064459.2116308,1632064459.6257722,162.0154266357422
31,32,1,1632064459.6278167,1632064459.6357393,163.4249725341797
32,33,1,1632064459.6358993,1632064459.643386,164.31439208984375
33,34,1,1632064459.643545,1632064460.101747,165.22842407226562
34,35,1,1632064460.1037865,1632064460.4846902,158.89076232910156
35,36,1,1632064460.4868107,1632064460.8565636,158.38604736328125
36,37,1,1632064460.8583827,1632064460.8662014,167.8424530029297
37,38,1,1632064460.8663585,1632064460.8719752,151.77479553222656
38,39,1,1632064460.8721218,1632064460.8796866,168.8852996826172
39,40,1,1632064460.8798406,1632064460.8878143,105.68553924560547
40,41,1,1632064460.8879814,1632064461.302377,151.87741088867188
41,42,1,1632064461.3044846,1632064461.583975,156.3040008544922
42,43,1,1632064461.5856097,1632064461.5921295,157.88442993164062
43,44,1,1632064461.5922823,1632064461.928121,154.99594116210938
44,45,1,1632064461.9299555,1632064462.342217,165.9980010986328
45,46,2,1632064462.3494146,1632064462.4251719,168.2411651611328
46,47,2,1632064462.4256597,1632064462.431185,151.7230987548828
47,48,2,1632064462.4313717,1632064462.586823,140.25791931152344
48,49,2,1632064462.5876136,1632064462.7536707,146.8568115234375
49,50,2,1632064462.7546372,1632064462.7624404,169.24635314941406
50,51,2,1632064462.7626004,1632064462.8326294,164.47747802734375
51,52,2,1632064462.8330305,1632064463.062916,153.20452880859375
52,53,2,1632064463.0643394,1632064463.3067982,144.32981872558594
53,54,2,1632064463.3079443,1632064463.655515,179.88748168945312
54,55,2,1632064463.6574266,1632064463.6634004,176.8722381591797
55,56,2,1632064463.663554,1632064463.8533654,162.16763305664062
56,57,2,1632064463.854348,1632064463.8630292,126.18336486816406
57,58,2,1632064463.8632674,1632064463.8680072,284.54168701171875
58,59,2,1632064463.8681476,1632064463.8726497,174.96856689453125
59,60,2,1632064463.8727908,1632064463.8785796,163.92605590820312
60,61,2,1632064463.8787267,1632064464.2836823,170.84230041503906
61,62,2,1632064464.2853985,1632064464.5898435,141.85475158691406
62,63,2,1632064464.5910726,1632064464.8160386,164.2599334716797
63,64,2,1632064464.8174212,1632064464.8219383,184.37103271484375
64,65,2,1632064464.8220792,1632064464.8287313,142.99098205566406
65,66,2,1632064464.8288808,1632064464.8334522,125.47637939453125
66,67,2,1632064464.8336122,1632064464.841427,108.56901550292969
67,68,2,1632064464.8415837,1632064464.8483553,178.30535888671875
68,69,2,1632064464.848504,1632064464.8540945,171.00390625
69,70,2,1632064464.8542397,1632064464.9356825,168.51177978515625
70,71,2,1632064464.9361675,1632064464.9450374,161.5037078857422
71,72,2,1632064464.9451938,1632064465.1694465,176.75100708007812
72,73,2,1632064465.1704724,1632064465.336901,176.2461395263672
73,74,2,1632064465.3378782,1632064465.6140933,161.06295776367188
74,75,2,1632064465.6153262,1632064465.623973,166.30014038085938
75,76,2,1632064465.6241305,1632064466.0385447,171.1993865966797
76,77,2,1632064466.0407326,1632064466.0483947,166.53488159179688
77,78,2,1632064466.0485592,1632064466.0559797,165.2805633544922
78,79,2,1632064466.0561326,1632064466.5163748,165.51998901367188
79,80,2,1632064466.518398,1632064466.9001505,157.47438049316406
80,81,2,1632064466.9020693,1632064467.2717228,163.48330688476562
81,82,2,1632064467.2735693,1632064467.2813447,155.10105895996094
82,83,2,1632064467.2814999,1632064467.2871096,177.53579711914062
83,84,2,1632064467.287256,1632064467.2948241,170.21803283691406
84,85,2,1632064467.2949762,1632064467.302835,103.94575500488281
85,86,2,1632064467.302992,1632064467.7173543,145.56793212890625
86,87,2,1632064467.7195287,1632064467.9987395,178.20297241210938
87,88,2,1632064468.0003383,1632064468.0068674,171.3912811279297
88,89,2,1632064468.0070195,1632064468.3439205,150.36402893066406
89,90,2,1632064468.3457537,1632064468.75907,171.99130249023438
90,91,3,1632064468.7669036,1632064468.842695,165.2200927734375
91,92,3,1632064468.8430886,1632064468.8486822,155.8292236328125
92,93,3,1632064468.8488705,1632064469.0039573,140.21563720703125
93,94,3,1632064469.0047512,1632064469.171093,145.94793701171875
94,95,3,1632064469.1720796,1632064469.179887,163.71022033691406
95,96,3,1632064469.1800427,1632064469.249974,169.35841369628906
96,97,3,1632064469.2503765,1632064469.4795227,169.0843505859375
97,98,3,1632064469.480936,1632064469.72303,135.03787231445312
98,99,3,1632064469.7242525,1632064470.0710394,166.28826904296875
99,100,3,1632064470.0729473,1632064470.0788357,177.11517333984375
100,101,3,1632064470.0789826,1632064470.266874,163.07049560546875
101,102,3,1632064470.2679818,1632064470.2765255,113.19743347167969
102,103,3,1632064470.2768211,1632064470.28158,187.68899536132812
103,104,3,1632064470.2817225,1632064470.2862103,187.54119873046875
104,105,3,1632064470.2863503,1632064470.2921546,167.71653747558594
105,106,3,1632064470.2923002,1632064470.6958308,171.05796813964844
106,107,3,1632064470.6975915,1632064471.0011814,138.50538635253906
107,108,3,1632064471.0025535,1632064471.2276182,177.9031219482422
108,109,3,1632064471.2288558,1632064471.2335753,202.49754333496094
109,110,3,1632064471.2337244,1632064471.2403412,164.39260864257812
110,111,3,1632064471.2404904,1632064471.245063,141.43980407714844
111,112,3,1632064471.245204,1632064471.2530448,113.8333511352539
112,113,3,1632064471.2531977,1632064471.2600546,171.49530029296875
113,114,3,1632064471.2602053,1632064471.2657793,159.56280517578125
114,115,3,1632064471.2659245,1632064471.3473966,179.42335510253906
115,116,3,1632064471.3478906,1632064471.3567228,163.34378051757812
116,117,3,1632064471.356881,1632064471.5826657,163.29527282714844
117,118,3,1632064471.5836923,1632064471.7499382,167.02450561523438
118,119,3,1632064471.75091,1632064472.026573,169.61724853515625
119,120,3,1632064472.027817,1632064472.036454,166.79156494140625
120,121,3,1632064472.0366166,1632064472.4513013,161.38229370117188
121,122,3,1632064472.453501,1632064472.4612186,168.8466339111328
122,123,3,1632064472.4613752,1632064472.4688025,169.89601135253906
123,124,3,1632064472.4689546,1632064472.9304478,166.41720581054688
124,125,3,1632064472.9324498,1632064473.313604,165.2467803955078
125,126,3,1632064473.31553,1632064473.6865156,169.46058654785156
126,127,3,1632064473.6883605,1632064473.696179,162.3701171875
127,128,3,1632064473.696337,1632064473.701985,176.75314331054688
128,129,3,1632064473.7021317,1632064473.7097094,160.16639709472656
129,130,3,1632064473.7098613,1632064473.7177448,101.51093292236328
130,131,3,1632064473.7179127,1632064474.1324463,148.82411193847656
131,132,3,1632064474.1346045,1632064474.4152074,159.5978546142578
132,133,3,1632064474.416839,1632064474.423377,117.62090301513672
133,134,3,1632064474.423529,1632064474.7604296,141.98719787597656
134,135,3,1632064474.7621605,1632064475.1740263,163.9983673095703
135,136,4,1632064475.1820326,1632064475.2577455,176.08473205566406
136,137,4,1632064475.2581549,1632064475.2637846,160.42453002929688
137,138,4,1632064475.2639709,1632064475.4189126,142.19683837890625
138,139,4,1632064475.4196727,1632064475.5858252,151.43345642089844
139,140,4,1632064475.586801,1632064475.5945902,166.68321228027344
140,141,4,1632064475.594787,1632064475.6647525,169.92529296875
141,142,4,1632064475.6651552,1632064475.8942857,164.62001037597656
142,143,4,1632064475.8957045,1632064476.1403706,141.25852966308594
143,144,4,1632064476.1415622,1632064476.4880826,176.07305908203125
144,145,4,1632064476.4899914,1632064476.4958987,152.38772583007812
145,146,4,1632064476.496045,1632064476.6857083,170.48699951171875
146,147,4,1632064476.6866846,1632064476.69541,123.16303253173828
147,148,4,1632064476.6957176,1632064476.7004683,162.15673828125
148,149,4,1632064476.7006154,1632064476.7051358,155.91921997070312
149,150,4,1632064476.7052774,1632064476.7111034,183.73892211914062
150,151,4,1632064476.7112494,1632064477.1176627,172.39208984375
151,152,4,1632064477.1194015,1632064477.4213965,147.2362060546875
152,153,4,1632064477.4226375,1632064477.6481953,181.00929260253906
153,154,4,1632064477.6494346,1632064477.654167,188.45787048339844
154,155,4,1632064477.6543162,1632064477.6610067,163.37550354003906
155,156,4,1632064477.6611574,1632064477.6657362,138.59921264648438
156,157,4,1632064477.665877,1632064477.6737342,106.73654174804688
157,158,4,1632064477.6738966,1632064477.6807137,163.49562072753906
158,159,4,1632064477.6808634,1632064477.6864583,192.14230346679688
159,160,4,1632064477.6866097,1632064477.768184,160.64617919921875
160,161,4,1632064477.7686775,1632064477.7775755,167.67230224609375
161,162,4,1632064477.7777338,1632064478.0025718,164.53009033203125
162,163,4,1632064478.0035782,1632064478.1692798,160.59368896484375
163,164,4,1632064478.1703186,1632064478.4458878,164.93328857421875
164,165,4,1632064478.4472497,1632064478.4557958,166.50929260253906
165,166,4,1632064478.4559531,1632064478.8713326,172.4658203125
166,167,4,1632064478.8734274,1632064478.8812897,165.7223358154297
167,168,4,1632064478.8814485,1632064478.8889608,162.61428833007812
168,169,4,1632064478.8891141,1632064479.3470469,166.16200256347656
169,170,4,1632064479.3490906,1632064479.7302349,171.11990356445312
170,171,4,1632064479.732142,1632064480.1030142,163.85507202148438
171,172,4,1632064480.1048262,1632064480.1126292,149.03013610839844
172,173,4,1632064480.112787,1632064480.118435,172.05056762695312
173,174,4,1632064480.118587,1632064480.1261735,168.65028381347656
174,175,4,1632064480.1263275,1632064480.134203,105.3830337524414
175,176,4,1632064480.1343627,1632064480.5492566,149.47671508789062
176,177,4,1632064480.5514445,1632064480.831117,175.1905517578125
177,178,4,1632064480.8327434,1632064480.8393772,164.61605834960938
178,179,4,1632064480.8395302,1632064481.1756523,148.19273376464844
179,180,4,1632064481.177384,1632064481.590202,171.38442993164062
