,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632065327.9359248,1632065328.0118704,170.2650146484375
1,2,1,1632065328.0122623,1632065328.017854,153.87327575683594
2,3,1,1632065328.0180414,1632065328.1732314,128.11276245117188
3,4,1,1632065328.1740217,1632065328.3396797,153.33802795410156
4,5,1,1632065328.3406515,1632065328.348431,169.2808074951172
5,6,1,1632065328.3485916,1632065328.4185102,173.0296173095703
6,7,1,1632065328.418915,1632065328.6482773,157.41744995117188
7,8,1,1632065328.6496992,1632065328.894141,134.5540771484375
8,9,1,1632065328.8953967,1632065329.242117,158.4339141845703
9,10,1,1632065329.2440474,1632065329.2499764,169.85513305664062
10,11,1,1632065329.2501247,1632065329.4389799,171.75001525878906
11,12,1,1632065329.4399562,1632065329.4486222,108.05975341796875
12,13,1,1632065329.4488626,1632065329.453595,144.55569458007812
13,14,1,1632065329.4537368,1632065329.4582174,140.40921020507812
14,15,1,1632065329.4583573,1632065329.464175,183.00201416015625
15,16,1,1632065329.464322,1632065329.8690908,167.970703125
16,17,1,1632065329.8708284,1632065330.1720672,139.48471069335938
17,18,1,1632065330.1733203,1632065330.398613,180.22158813476562
18,19,1,1632065330.3998923,1632065330.404665,158.99244689941406
19,20,1,1632065330.4048123,1632065330.411514,130.47731018066406
20,21,1,1632065330.4116697,1632065330.4162266,148.47821044921875
21,22,1,1632065330.4163682,1632065330.424191,125.51387023925781
22,23,1,1632065330.4243455,1632065330.4310691,184.88011169433594
23,24,1,1632065330.4312186,1632065330.4368112,176.57261657714844
24,25,1,1632065330.4369557,1632065330.5186632,165.94949340820312
25,26,1,1632065330.5191507,1632065330.5279605,160.04322814941406
26,27,1,1632065330.528119,1632065330.7596052,167.8955078125
27,28,1,1632065330.760625,1632065330.9264088,179.61338806152344
28,29,1,1632065330.927454,1632065331.2024622,170.1407470703125
29,30,1,1632065331.2036932,1632065331.2123992,167.21214294433594
30,31,1,1632065331.2125635,1632065331.626797,161.30572509765625
31,32,1,1632065331.628894,1632065331.6367164,166.9883270263672
32,33,1,1632065331.6368735,1632065331.6443362,169.90577697753906
33,34,1,1632065331.644491,1632065332.1025248,164.56558227539062
34,35,1,1632065332.1045053,1632065332.4849498,163.2006378173828
35,36,1,1632065332.4868798,1632065332.856572,170.59226989746094
36,37,1,1632065332.8583794,1632065332.8661919,154.52618408203125
37,38,1,1632065332.8663456,1632065332.8719802,174.3880157470703
38,39,1,1632065332.8721268,1632065332.8796864,164.85914611816406
39,40,1,1632065332.87984,1632065332.8876696,100.52925109863281
40,41,1,1632065332.8878386,1632065333.3018553,144.47030639648438
41,42,1,1632065333.3039403,1632065333.581684,162.42892456054688
42,43,1,1632065333.5833626,1632065333.589804,166.7135467529297
43,44,1,1632065333.5899549,1632065333.9258528,157.6117706298828
44,45,1,1632065333.9275997,1632065334.340052,167.6443328857422
45,46,2,1632065334.3472517,1632065334.422854,171.05101013183594
46,47,2,1632065334.423244,1632065334.4288538,154.20950317382812
