,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632065716.826519,1632065716.9092348,174.43272399902344
1,2,1,1632065716.9096286,1632065716.9152093,154.03298950195312
2,3,1,1632065716.915393,1632065717.0723078,150.13099670410156
3,4,1,1632065717.0733156,1632065717.2395074,166.58253479003906
4,5,1,1632065717.2404785,1632065717.2482874,163.96043395996094
5,6,1,1632065717.2485285,1632065717.3186429,162.26165771484375
6,7,1,1632065717.3190446,1632065717.5480642,157.44198608398438
7,8,1,1632065717.549519,1632065717.7937913,142.2720947265625
8,9,1,1632065717.7949002,1632065718.1416657,169.3202667236328
9,10,1,1632065718.1438112,1632065718.1494906,164.56002807617188
10,11,1,1632065718.1496444,1632065718.3372636,171.51756286621094
11,12,1,1632065718.338298,1632065718.3468974,104.08078002929688
12,13,1,1632065718.3471897,1632065718.3519535,164.91290283203125
13,14,1,1632065718.3520944,1632065718.3566036,183.30987548828125
14,15,1,1632065718.3567443,1632065718.3625531,153.35989379882812
15,16,1,1632065718.3626995,1632065718.7637198,170.0048828125
16,17,1,1632065718.7655218,1632065719.068186,152.75784301757812
17,18,1,1632065719.0695345,1632065719.2947383,154.63775634765625
18,19,1,1632065719.295983,1632065719.3007014,134.2092742919922
19,20,1,1632065719.3008468,1632065719.3074412,151.1277313232422
20,21,1,1632065719.3075962,1632065719.312164,143.06297302246094
21,22,1,1632065719.312305,1632065719.3200963,99.61612701416016
22,23,1,1632065719.3202627,1632065719.3270824,166.05020141601562
23,24,1,1632065719.3272316,1632065719.3328156,178.47122192382812
24,25,1,1632065719.3329608,1632065719.4144535,177.36312866210938
25,26,1,1632065719.4149458,1632065719.4237773,168.6271209716797
26,27,1,1632065719.423936,1632065719.6521611,162.79798889160156
27,28,1,1632065719.6531775,1632065719.8195386,166.48899841308594
28,29,1,1632065719.8205926,1632065720.0949192,169.45530700683594
29,30,1,1632065720.0962784,1632065720.1047845,167.28570556640625
30,31,1,1632065720.1049414,1632065720.5193985,158.01235961914062
31,32,1,1632065720.5216603,1632065720.5293622,164.35462951660156
32,33,1,1632065720.529519,1632065720.5369575,172.48736572265625
33,34,1,1632065720.5371115,1632065720.9986784,166.0309295654297
34,35,1,1632065721.0006917,1632065721.3822327,156.86683654785156
35,36,1,1632065721.3841798,1632065721.7542133,162.9015655517578
36,37,1,1632065721.7561393,1632065721.7637868,158.60382080078125
37,38,1,1632065721.7639427,1632065721.7695613,155.6523895263672
38,39,1,1632065721.769709,1632065721.7772377,167.94952392578125
39,40,1,1632065721.7773917,1632065721.7852185,106.65835571289062
40,41,1,1632065721.785372,1632065722.1994061,142.46226501464844
41,42,1,1632065722.2017167,1632065722.4805484,159.39891052246094
42,43,1,1632065722.4821672,1632065722.488685,160.8064727783203
43,44,1,1632065722.4888358,1632065722.8248801,159.15213012695312
44,45,1,1632065722.8266163,1632065723.2388723,174.36546325683594
45,46,1,1632065723.2410822,1632065723.245696,124.85975646972656
46,47,1,1632065723.2458408,1632065723.2524269,131.6111602783203
47,48,1,1632065723.2525816,1632065723.5429325,164.35198974609375
48,49,1,1632065723.544713,1632065723.9299238,171.76937866210938
49,50,1,1632065723.9319925,1632065724.396861,168.35389709472656
50,51,1,1632065724.3989313,1632065724.7224755,166.09469604492188
51,52,1,1632065724.7241557,1632065724.8353462,155.55368041992188
52,53,1,1632065724.836092,1632065724.8417032,134.4007568359375
53,54,1,1632065724.84185,1632065724.8476262,167.46478271484375
54,55,1,1632065724.847774,1632065725.0728455,145.64939880371094
55,56,1,1632065725.0739903,1632065725.0820582,169.12823486328125
56,57,1,1632065725.082215,1632065725.0868943,189.14663696289062
57,58,1,1632065725.0870357,1632065725.1748765,167.67428588867188
58,59,1,1632065725.1753488,1632065725.1800077,155.09173583984375
59,60,1,1632065725.18015,1632065725.4726617,165.11447143554688
60,61,2,1632065725.4807036,1632065725.5563016,170.23765563964844
61,62,2,1632065725.5566957,1632065725.562282,153.2156524658203
62,63,2,1632065725.5624664,1632065725.7170532,146.4454345703125
63,64,2,1632065725.7178612,1632065725.8843489,158.58934020996094
64,65,2,1632065725.8853295,1632065725.8931322,171.87098693847656
