,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632067309.3773525,1632067309.4595141,169.83934020996094
1,2,1,1632067309.4599078,1632067309.4654827,162.5555419921875
2,3,1,1632067309.4656897,1632067309.6208687,131.33164978027344
3,4,1,1632067309.6216295,1632067309.7874265,142.8159637451172
4,5,1,1632067309.7883997,1632067309.7961898,169.56134033203125
5,6,1,1632067309.7963445,1632067309.8664207,174.92381286621094
6,7,1,1632067309.866832,1632067310.0956204,166.89877319335938
7,8,1,1632067310.097035,1632067310.3394992,143.14370727539062
8,9,1,1632067310.3407655,1632067310.6879976,162.87612915039062
9,10,1,1632067310.6899588,1632067310.695843,166.8068084716797
10,11,1,1632067310.6959958,1632067310.8835645,169.92465209960938
11,12,1,1632067310.8845243,1632067310.8932009,102.30233001708984
12,13,1,1632067310.8934398,1632067310.8981767,198.7319793701172
13,14,1,1632067310.898319,1632067310.902803,182.3491668701172
14,15,1,1632067310.9029427,1632067310.9087412,140.7044677734375
15,16,1,1632067310.9088871,1632067311.3116372,169.42601013183594
16,17,1,1632067311.3133655,1632067311.6123934,136.26560974121094
17,18,1,1632067311.6136134,1632067311.8388772,157.72669982910156
18,19,1,1632067311.8401177,1632067311.8447943,162.24276733398438
19,20,1,1632067311.8449419,1632067311.851567,155.49029541015625
20,21,1,1632067311.8517168,1632067311.8562608,144.26390075683594
21,22,1,1632067311.856401,1632067311.864256,122.85185241699219
22,23,1,1632067311.8644097,1632067311.8711395,169.68360900878906
23,24,1,1632067311.8712888,1632067311.876864,175.42515563964844
24,25,1,1632067311.8770084,1632067311.9586155,163.22227478027344
25,26,1,1632067311.9591057,1632067311.9679046,161.54220581054688
26,27,1,1632067311.9680622,1632067312.1921782,165.69290161132812
27,28,1,1632067312.193189,1632067312.3592465,179.3813934326172
28,29,1,1632067312.360295,1632067312.6354768,165.0437774658203
29,30,1,1632067312.6368384,1632067312.6452942,167.43748474121094
30,31,1,1632067312.6454535,1632067313.0602462,161.5400390625
31,32,1,1632067313.0623307,1632067313.0702217,169.35609436035156
32,33,1,1632067313.0703807,1632067313.0777628,177.1884307861328
33,34,1,1632067313.0779178,1632067313.5424435,172.08998107910156
34,35,1,1632067313.5444508,1632067313.9272525,169.41986083984375
35,36,1,1632067313.9294548,1632067314.300144,166.16046142578125
36,37,1,1632067314.3020663,1632067314.3097234,164.40150451660156
37,38,1,1632067314.3098817,1632067314.3154569,178.15988159179688
38,39,1,1632067314.3156078,1632067314.3231325,161.0650634765625
39,40,1,1632067314.3232863,1632067314.3311303,102.84166717529297
40,41,1,1632067314.3312838,1632067314.7460518,148.04891967773438
41,42,1,1632067314.74827,1632067315.0270267,161.28855895996094
42,43,1,1632067315.028642,1632067315.0351334,167.20030212402344
43,44,1,1632067315.0352836,1632067315.3711674,146.89341735839844
44,45,1,1632067315.3729956,1632067315.7851799,173.8489532470703
45,46,1,1632067315.7874033,1632067315.79202,116.41268157958984
46,47,1,1632067315.7921646,1632067315.7987561,140.05162048339844
47,48,1,1632067315.7989063,1632067316.0878258,165.63429260253906
48,49,1,1632067316.089507,1632067316.474381,166.02796936035156
49,50,1,1632067316.4764564,1632067316.940219,168.10105895996094
50,51,1,1632067316.9422548,1632067317.2657185,169.20611572265625
51,52,1,1632067317.2673678,1632067317.3785148,152.44964599609375
52,53,1,1632067317.3792713,1632067317.3848653,132.20188903808594
53,54,1,1632067317.3850124,1632067317.390787,163.9250946044922
54,55,1,1632067317.3909326,1632067317.6159136,154.45046997070312
55,56,1,1632067317.617064,1632067317.6251364,168.5509490966797
56,57,1,1632067317.6252997,1632067317.6299477,185.9936981201172
57,58,1,1632067317.6300893,1632067317.7178361,168.64015197753906
58,59,1,1632067317.7184176,1632067317.7229142,202.05796813964844
59,60,1,1632067317.7230556,1632067318.0155008,167.24501037597656
60,61,2,1632067318.0237885,1632067318.0994437,162.36489868164062
61,62,2,1632067318.099839,1632067318.468971,160.40054321289062
62,63,2,1632067318.4708076,1632067318.6261146,127.70924377441406
63,64,2,1632067318.627093,1632067318.7932267,153.96511840820312
64,65,2,1632067318.794204,1632067318.8021445,162.01243591308594
65,66,2,1632067318.8023,1632067318.8736823,167.0134735107422
66,67,2,1632067318.8740883,1632067319.1035383,181.84423828125
67,68,2,1632067319.104966,1632067319.3677042,145.94717407226562
68,69,2,1632067319.3689682,1632067319.3737237,185.76226806640625
69,70,2,1632067319.3738647,1632067319.3795094,151.70376586914062
70,71,2,1632067319.3796616,1632067319.505804,141.95848083496094
71,72,2,1632067319.5065737,1632067319.5152345,163.9974365234375
72,73,2,1632067319.5153902,1632067319.5201013,147.63230895996094
73,74,2,1632067319.5202434,1632067319.5248363,107.4883041381836
74,75,2,1632067319.5250869,1632067319.530861,148.6692352294922
75,76,2,1632067319.5310056,1632067319.8765311,175.16127014160156
76,77,2,1632067319.878257,1632067320.1808295,165.89149475097656
77,78,2,1632067320.1821709,1632067320.407013,178.17947387695312
78,79,2,1632067320.4082544,1632067320.4168355,165.40042114257812
79,80,2,1632067320.416999,1632067320.4234996,157.6223602294922
80,81,2,1632067320.423658,1632067320.4311,167.11709594726562
81,82,2,1632067320.4312515,1632067320.4391265,106.24202728271484
82,83,2,1632067320.4392903,1632067320.4461672,168.7588348388672
83,84,2,1632067320.446316,1632067320.4526904,168.4221954345703
84,85,2,1632067320.452839,1632067320.5343785,166.18663024902344
85,86,2,1632067320.5348718,1632067320.5437617,159.88031005859375
86,87,2,1632067320.5439196,1632067320.699396,166.88584899902344
87,88,2,1632067320.7003007,1632067320.8664553,164.81472778320312
88,89,2,1632067320.8674269,1632067321.3481996,167.4440155029297
89,90,2,1632067321.3503692,1632067321.3588421,165.61155700683594
90,91,2,1632067321.359006,1632067321.7821977,164.7611846923828
91,92,2,1632067321.784305,1632067321.7922218,164.77561950683594
92,93,2,1632067321.7923808,1632067321.7998738,169.5724639892578
93,94,2,1632067321.8000267,1632067322.1895459,164.08224487304688
94,95,2,1632067322.1912336,1632067322.5729198,163.0105743408203
95,96,2,1632067322.574822,1632067322.9321907,173.6741180419922
96,97,2,1632067322.9340138,1632067322.9417465,104.41980743408203
97,98,2,1632067322.94191,1632067322.9475346,173.65817260742188
98,99,2,1632067322.9476874,1632067322.9523547,165.1865234375
99,100,2,1632067322.9524958,1632067323.23733,136.9888916015625
100,101,2,1632067323.2386425,1632067323.6796849,138.69473266601562
101,102,2,1632067323.681908,1632067323.9613655,169.52813720703125
102,103,2,1632067323.9629931,1632067323.9694853,161.90159606933594
103,104,2,1632067323.9696414,1632067323.9752715,168.90237426757812
104,105,2,1632067323.9754167,1632067323.9821463,169.3856201171875
105,106,2,1632067323.982295,1632067324.2661288,173.7476043701172
106,107,2,1632067324.2677462,1632067324.2745965,124.40685272216797
107,108,2,1632067324.2747476,1632067324.5640454,175.18370056152344
108,109,2,1632067324.5656812,1632067324.9518862,172.63182067871094
109,110,2,1632067324.9539595,1632067325.4133565,167.37913513183594
110,111,2,1632067325.4154131,1632067325.7385936,165.09130859375
111,112,2,1632067325.740247,1632067325.8512266,161.82449340820312
112,113,2,1632067325.8519826,1632067325.8575983,149.38616943359375
113,114,2,1632067325.8577473,1632067326.042416,150.78689575195312
114,115,2,1632067326.0433898,1632067326.2863545,147.2973175048828
115,116,2,1632067326.2874947,1632067326.2961018,164.6361083984375
116,117,2,1632067326.2962584,1632067326.3009253,223.47128295898438
