,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.5,1,61,71,13,44,71
1,lstm,0.1,0.3,1,34,71,94,67,12
2,lstm,0.1,0.8,1,44,95,55,91,17
3,lstm,0.1,0.1,1,44,98,56,77,81
4,lstm,0.1,0.5,3,61,71,13,10,71
5,lstm,0.1,0.5,1,41,82,13,44,71
6,lstm,0.1,0.0,1,93,71,64,59,13
7,lstm,0.1,0.0,1,93,71,64,83,13
8,lstm,0.1,0.5,1,61,71,64,44,71
9,lstm,0.1,0.5,1,76,71,64,11,71
10,lstm,0.1,0.2,2,38,5,10,97,59
11,lstm,0.1,0.1,1,44,57,56,77,8
12,lstm,0.1,0.5,1,61,71,72,17,12
13,lstm,0.1,0.1,1,44,98,56,77,81
14,lstm,0.1,0.5,1,44,98,56,77,70
15,lstm,0.1,0.1,1,76,98,56,77,81
16,lstm,0.1,0.1,1,64,68,56,77,42
17,lstm,0.1,0.0,1,7,60,98,86,23
18,lstm,0.1,0.5,1,80,70,44,5,71
19,lstm,0.1,0.5,1,63,51,60,46,71
20,lstm,0.1,0.0,1,33,98,58,40,81
21,lstm,0.1,0.1,1,16,57,14,84,12
