,iteration,start_time,end_time,val_mse
0,1,1632077018.0453496,1632077038.7937634,2272.193603515625
1,2,1632077038.7976,1632077062.4845426,2274.05322265625
2,3,1632077062.4886863,1632077094.4759336,2273.01171875
3,4,1632077094.4819016,1632077121.8590603,2272.033935546875
4,5,1632077121.8644292,1632077151.3615506,2272.638671875
5,6,1632077151.3675656,1632077182.2172456,2272.375244140625
6,7,1632077182.2223797,1632077220.1064756,2272.7060546875
7,8,1632077220.1125777,1632077256.7895854,2272.377685546875
8,9,1632077256.7929904,1632077289.3341131,2272.1630859375
9,10,1632077289.3393795,1632077323.8584569,2271.975341796875
10,11,1632077323.863742,1632077355.8719463,2271.96142578125
11,12,1632077355.877191,1632077391.5725906,2272.068603515625
12,13,1632077391.5783381,1632077429.9589586,2271.99755859375
13,14,1632077429.9646168,1632077466.7877793,2271.920654296875
14,15,1632077466.794163,1632077501.9630752,2271.9951171875
15,16,1632077501.9679744,1632077539.6957586,2271.908203125
16,17,1632077539.7024665,1632077578.026979,2271.83251953125
17,18,1632077578.032801,1632077613.1709678,2271.918701171875
18,19,1632077613.1767592,1632077654.150837,2271.9208984375
19,20,1632077654.1565518,1632077690.093036,2272.13427734375
20,21,1632077690.0986714,1632077727.963047,2271.919677734375
21,22,1632077727.9687119,1632077760.3689125,2271.85107421875
