,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632077018.0453496,1632077018.760198,2293.539306640625
1,2,1,1632077018.7607641,1632077018.8288834,2340.34130859375
2,3,1,1632077018.8290634,1632077020.1179662,2304.427734375
3,4,1,1632077020.119425,1632077021.5159574,2272.4716796875
4,5,1,1632077021.5169961,1632077021.5752833,2301.211669921875
5,6,1,1632077021.5754566,1632077022.1463294,2297.868408203125
6,7,1,1632077022.1467783,1632077024.0548937,2272.193603515625
7,8,1,1632077024.056687,1632077026.1290982,2285.80859375
8,9,1,1632077026.1309936,1632077029.0451815,2294.71826171875
9,10,1,1632077029.0475492,1632077029.0900445,2319.65283203125
10,11,1,1632077029.09022,1632077030.6728945,2298.955810546875
11,12,1,1632077030.6743965,1632077030.739185,2305.576904296875
12,13,1,1632077030.7393627,1632077030.774199,2546.65478515625
13,14,1,1632077030.7743573,1632077030.807426,2461.77001953125
14,15,1,1632077030.8075805,1632077030.8506465,2387.895751953125
15,16,1,1632077030.8508081,1632077034.2920556,2293.3818359375
16,17,1,1632077034.295237,1632077036.8321397,2282.4404296875
17,18,1,1632077036.833563,1632077038.7090855,2289.944580078125
18,19,1,1632077038.711257,1632077038.7445917,2328.60693359375
19,20,1,1632077038.7447577,1632077038.7937634,2334.25
20,21,2,1632077038.7976,1632077040.2380838,2297.4638671875
21,22,2,1632077040.2393396,1632077040.2838342,2456.390380859375
22,23,2,1632077040.2840025,1632077041.352299,2274.05322265625
23,24,2,1632077041.3532393,1632077041.3966641,2295.08642578125
24,25,2,1632077041.3968253,1632077043.956162,2283.033935546875
25,26,2,1632077043.9580522,1632077044.5311687,2301.42041015625
26,27,2,1632077044.531639,1632077046.1658223,2274.474365234375
27,28,2,1632077046.167177,1632077046.2013407,2398.43896484375
28,29,2,1632077046.2015,1632077049.1166523,2304.297119140625
29,30,2,1632077049.1190128,1632077049.164084,2333.2900390625
30,31,2,1632077049.1642566,1632077050.7298574,2296.182861328125
31,32,2,1632077050.73122,1632077052.1767488,2297.89599609375
32,33,2,1632077052.1783633,1632077052.213537,2412.0400390625
33,34,2,1632077052.2136972,1632077054.6038864,2292.950927734375
34,35,2,1632077054.6058693,1632077054.6469314,2283.81103515625
35,36,2,1632077054.6474142,1632077057.0240867,2291.697998046875
36,37,2,1632077057.0260253,1632077060.5192153,2274.10791015625
37,38,2,1632077060.5226312,1632077062.4001226,2288.9541015625
38,39,2,1632077062.401756,1632077062.435316,2651.324951171875
39,40,2,1632077062.4354835,1632077062.4845426,2337.645751953125
40,41,3,1632077062.4886863,1632077063.1279988,2297.322265625
