,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.5,4,53,95,60,91,17
1,lstm,0.1,0.4,3,43,71,13,44,71
2,lstm,0.1,0.4,3,76,71,13,44,39
3,lstm,0.1,0.8,5,34,5,27,9,12
4,lstm,0.1,0.0,3,60,4,86,96,58
5,lstm,0.1,0.8,5,44,96,27,71,17
6,lstm,0.1,0.8,5,82,95,54,91,71
7,lstm,0.1,0.8,5,34,5,27,9,12
8,lstm,0.1,0.8,5,44,95,27,90,17
9,lstm,0.1,0.7,5,82,96,19,71,71
10,lstm,0.1,0.1,4,53,57,66,24,77
11,lstm,0.1,0.8,5,44,96,27,71,17
12,lstm,0.1,0.7,5,53,96,27,71,71
13,lstm,0.1,0.8,5,34,5,27,91,12
14,lstm,0.1,0.5,5,53,96,19,71,90
15,lstm,0.1,0.7,5,44,96,13,44,20
16,lstm,0.1,0.2,4,79,88,31,59,56
17,lstm,0.1,0.1,5,76,95,62,23,56
18,lstm,0.1,0.1,5,76,96,56,26,77
19,lstm,0.1,0.1,5,44,56,14,71,17
20,lstm,0.1,0.1,4,41,96,43,66,77
21,lstm,0.1,0.8,5,44,4,27,90,71
