,iteration,start_time,end_time,val_mse
0,1,1632077175.087191,1632077187.5878344,1781.4456787109375
1,2,1632077187.5910618,1632077201.8311262,1791.2626953125
2,3,1632077201.835163,1632077219.2180078,1783.295654296875
3,4,1632077219.2246637,1632077240.0750597,1781.9501953125
4,5,1632077240.0795527,1632077263.8838904,1792.142578125
5,6,1632077263.8905234,1632077285.3948147,1781.2017822265625
6,7,1632077285.400359,1632077311.2237458,1780.7547607421875
7,8,1632077311.2307444,1632077336.5282266,1780.8175048828125
8,9,1632077336.5315516,1632077359.8152049,1782.08056640625
9,10,1632077359.8195584,1632077385.2151892,1780.83544921875
10,11,1632077385.2211237,1632077410.0701885,1781.00830078125
11,12,1632077410.0755868,1632077433.9896235,1780.0826416015625
12,13,1632077433.995174,1632077458.3306112,1780.9169921875
13,14,1632077458.3355463,1632077481.0238693,1780.7044677734375
14,15,1632077481.0278182,1632077505.8186986,1781.8592529296875
15,16,1632077505.8238776,1632077530.7531564,1780.9913330078125
16,17,1632077530.7583654,1632077556.706733,1780.3753662109375
17,18,1632077556.7136307,1632077581.567399,1780.6341552734375
18,19,1632077581.5730972,1632077605.9062786,1780.991943359375
19,20,1632077605.9109125,1632077632.1375496,1780.759033203125
20,21,1632077632.142626,1632077655.4666274,1780.7109375
21,22,1632077655.471956,1632077681.08177,1780.38623046875
