,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632077175.087191,1632077175.5800567,1845.7535400390625
1,2,1,1632077175.5805378,1632077175.62326,1857.4161376953125
2,3,1,1632077175.6234415,1632077176.388563,1785.4766845703125
3,4,1,1632077176.3897245,1632077177.2423031,1805.56689453125
4,5,1,1632077177.2434866,1632077177.2790914,1850.1024169921875
5,6,1,1632077177.279261,1632077177.62371,1852.2591552734375
6,7,1,1632077177.6241531,1632077178.7746763,1810.342529296875
7,8,1,1632077178.776309,1632077180.0233393,1781.4456787109375
8,9,1,1632077180.0249922,1632077181.7828171,1851.21826171875
9,10,1,1632077181.7851503,1632077181.8112068,1891.2747802734375
10,11,1,1632077181.8113756,1632077182.7521007,1844.9134521484375
11,12,1,1632077182.7532225,1632077182.7928638,1833.8154296875
12,13,1,1632077182.7930443,1632077182.8142974,1955.9166259765625
13,14,1,1632077182.8144572,1632077182.8346639,1953.1737060546875
14,15,1,1632077182.834816,1632077182.8616054,1889.96435546875
15,16,1,1632077182.861768,1632077184.8911722,1850.144287109375
16,17,1,1632077184.893887,1632077186.400968,1791.3841552734375
17,18,1,1632077186.4024034,1632077187.535091,1849.55029296875
18,19,1,1632077187.5369859,1632077187.557357,1849.2525634765625
19,20,1,1632077187.5575137,1632077187.5878344,1824.5513916015625
20,21,2,1632077187.5910618,1632077188.453273,1844.9605712890625
21,22,2,1632077188.454275,1632077188.4815567,2010.4434814453125
22,23,2,1632077188.4817173,1632077189.131856,1812.6243896484375
23,24,2,1632077189.1330917,1632077189.1601202,2451.369384765625
24,25,2,1632077189.160278,1632077190.6886048,1849.8040771484375
25,26,2,1632077190.6900504,1632077191.035431,1854.1202392578125
26,27,2,1632077191.036202,1632077191.9980912,1791.2626953125
27,28,2,1632077191.9991736,1632077192.0201418,2135.915283203125
28,29,2,1632077192.0202956,1632077193.781275,1847.8519287109375
29,30,2,1632077193.7836661,1632077193.8115296,1865.1771240234375
30,31,2,1632077193.8120356,1632077194.7424114,1843.9443359375
31,32,2,1632077194.7435098,1632077195.6046157,1849.9896240234375
32,33,2,1632077195.6057172,1632077195.6269999,2065.229248046875
33,34,2,1632077195.6271546,1632077197.067745,1844.302978515625
34,35,2,1632077197.069734,1632077197.094877,1922.4239501953125
35,36,2,1632077197.0950418,1632077198.5298169,1849.3719482421875
36,37,2,1632077198.531758,1632077200.641554,1791.8892822265625
37,38,2,1632077200.6447735,1632077201.7787013,1853.8173828125
38,39,2,1632077201.780138,1632077201.8007936,2019.448486328125
39,40,2,1632077201.8009536,1632077201.8311262,1888.228515625
40,41,3,1632077201.835163,1632077201.872514,1846.986572265625
41,42,3,1632077201.8726737,1632077201.908552,1830.2171630859375
42,43,3,1632077201.9087234,1632077202.6211057,1850.72314453125
43,44,3,1632077202.6220248,1632077203.4533603,1804.3125
44,45,3,1632077203.4543595,1632077203.4862776,2308.281982421875
45,46,3,1632077203.4864492,1632077203.831598,1850.9891357421875
46,47,3,1632077203.8320553,1632077204.8071284,1792.5626220703125
47,48,3,1632077204.8082452,1632077205.1332104,1797.705810546875
48,49,3,1632077205.133725,1632077207.3941493,1846.887939453125
49,50,3,1632077207.3976774,1632077209.3958287,1792.5389404296875
50,51,3,1632077209.398697,1632077209.4335659,1846.2567138671875
51,52,3,1632077209.4337516,1632077210.8113968,1835.6317138671875
52,53,3,1632077210.813118,1632077210.8344038,1844.204833984375
53,54,3,1632077210.8345635,1632077212.2903278,1858.1458740234375
54,55,3,1632077212.2934637,1632077213.6470494,1850.51806640625
55,56,3,1632077213.648529,1632077215.0854669,1849.7723388671875
56,57,3,1632077215.08761,1632077216.1838198,1804.43701171875
57,58,3,1632077216.1852272,1632077217.3223002,1844.52783203125
58,59,3,1632077217.3237598,1632077217.5290782,1800.3592529296875
59,60,3,1632077217.5294383,1632077219.2180078,1783.295654296875
60,61,4,1632077219.2246637,1632077220.0433881,1845.6944580078125
61,62,4,1632077220.0442996,1632077220.0853765,1852.01904296875
62,63,4,1632077220.0855496,1632077220.8552952,1781.9501953125
63,64,4,1632077220.8562763,1632077222.638555,1859.32958984375
64,65,4,1632077222.6409664,1632077223.7617774,1848.8983154296875
65,66,4,1632077223.7633946,1632077224.9117088,1852.296875
66,67,4,1632077224.913069,1632077225.117961,1831.4501953125
67,68,4,1632077225.1183553,1632077226.874218,1787.5201416015625
68,69,4,1632077226.8765047,1632077228.6398933,1839.115478515625
69,70,4,1632077228.6423075,1632077230.3588936,1798.604248046875
70,71,4,1632077230.3614488,1632077231.3731472,1848.3626708984375
71,72,4,1632077231.3743217,1632077232.3758516,1832.8994140625
72,73,4,1632077232.3770423,1632077234.119017,1861.2872314453125
73,74,4,1632077234.121418,1632077235.0726566,1849.0562744140625
74,75,4,1632077235.0737753,1632077236.3299649,1845.9903564453125
75,76,4,1632077236.3314176,1632077236.3643706,1854.0869140625
76,77,4,1632077236.3645432,1632077237.879078,1844.8919677734375
77,78,4,1632077237.8805354,1632077239.0175638,1839.940185546875
78,79,4,1632077239.0191932,1632077239.2586668,1786.99365234375
79,80,4,1632077239.2590158,1632077240.0750597,1844.7462158203125
80,81,5,1632077240.0795527,1632077240.9371164,1851.6568603515625
81,82,5,1632077240.9380517,1632077240.9752905,1815.717529296875
82,83,5,1632077240.9755573,1632077241.3216991,1812.3585205078125
83,84,5,1632077241.3221354,1632077242.1632557,1851.816650390625
84,85,5,1632077242.1643877,1632077243.6228058,1792.142578125
85,86,5,1632077243.6242843,1632077244.4586008,1843.0426025390625
86,87,5,1632077244.4597478,1632077246.2118518,1794.388427734375
87,88,5,1632077246.2141044,1632077247.2274258,1813.3438720703125
88,89,5,1632077247.2287545,1632077249.0161922,1842.9005126953125
89,90,5,1632077249.0186353,1632077250.7169654,1808.134765625
90,91,5,1632077250.719534,1632077251.6390848,1859.3121337890625
91,92,5,1632077251.6402237,1632077252.6469557,1835.31396484375
92,93,5,1632077252.6481469,1632077254.4323227,1855.6962890625
93,94,5,1632077254.4348,1632077256.157135,1842.870849609375
94,95,5,1632077256.1598096,1632077257.4172087,1849.0115966796875
95,96,5,1632077257.418741,1632077258.8594472,1853.4327392578125
96,97,5,1632077258.8614469,1632077260.3720322,1792.774658203125
97,98,5,1632077260.3736584,1632077261.8126965,1830.4581298828125
98,99,5,1632077261.8148007,1632077262.186301,1853.8321533203125
99,100,5,1632077262.1867743,1632077263.8838904,1833.4000244140625
100,101,6,1632077263.8905234,1632077264.8892906,1834.2813720703125
101,102,6,1632077264.8903565,1632077264.927354,1891.3870849609375
102,103,6,1632077264.9275274,1632077266.6426756,1788.924072265625
103,104,6,1632077266.645054,1632077267.637908,1781.2017822265625
104,105,6,1632077267.639265,1632077269.398005,1795.03857421875
105,106,6,1632077269.3999634,1632077270.216519,1844.96337890625
106,107,6,1632077270.2178257,1632077271.1533334,1846.76416015625
107,108,6,1632077271.1544712,1632077272.3832479,1788.3756103515625
108,109,6,1632077272.3847334,1632077274.1478982,1847.4107666015625
