,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,5,34,71,89,90,12
1,lstm,0.1,0.4,3,43,71,13,44,71
2,mlp,0.001,0.2,2,89,95,10,97,59
3,lstm,0.1,0.8,5,34,71,16,13,51
4,mlp,0.1,0.3,1,60,95,29,91,17
5,lstm,0.1,0.8,5,34,95,55,90,17
6,lstm,0.1,0.8,5,34,84,38,67,11
7,lstm,0.1,0.8,5,34,84,38,67,11
8,lstm,0.1,0.8,5,34,95,38,67,11
9,lstm,0.1,0.1,5,45,86,60,59,10
10,mlp,0.01,0.2,5,4,98,64,91,94
11,lstm,0.1,0.1,5,45,86,51,94,9
12,mlp,0.01,0.8,5,43,5,13,90,94
13,mlp,0.01,0.0,5,60,95,29,91,92
14,lstm,0.1,0.2,5,85,71,38,67,32
15,mlp,0.01,0.2,5,60,95,27,48,36
16,lstm,0.1,0.8,5,34,95,55,90,17
17,lstm,0.1,0.8,5,45,86,51,94,38
18,lstm,0.1,0.8,5,72,82,33,82,9
19,mlp,0.01,0.2,5,72,49,6,91,32
20,mlp,0.01,0.0,5,60,95,29,94,38
21,mlp,0.01,0.0,5,35,95,29,70,92
