,iteration,start_time,end_time,val_mse
0,1,1632077291.8878148,1632077298.2400155,103.52455139160156
1,2,1632077298.2432163,1632077305.4201612,111.550537109375
2,3,1632077305.4243023,1632077314.653279,107.18064880371094
3,4,1632077314.6585038,1632077322.8806887,107.87519836425781
4,5,1632077322.8840752,1632077329.0963852,101.32695770263672
5,6,1632077329.0997784,1632077337.0566156,101.70524597167969
6,7,1632077337.0610628,1632077345.5895205,100.88084411621094
7,8,1632077345.5952365,1632077351.4247267,102.97769927978516
8,9,1632077351.4281075,1632077357.580642,101.57763671875
9,10,1632077357.584079,1632077365.0458424,100.4378433227539
10,11,1632077365.0492282,1632077372.4863813,101.66549682617188
11,12,1632077372.4904304,1632077380.0632956,100.19812774658203
12,13,1632077380.0667772,1632077386.6278746,101.55203247070312
13,14,1632077386.6313026,1632077392.6245146,98.84886169433594
14,15,1632077392.6278558,1632077399.4001677,101.45655822753906
15,16,1632077399.403563,1632077407.283568,100.25748443603516
16,17,1632077407.2893922,1632077413.8750758,101.34898376464844
17,18,1632077413.8785162,1632077420.0737317,99.19673156738281
18,19,1632077420.0773594,1632077425.5369382,100.70223999023438
19,20,1632077425.5410244,1632077430.7368488,98.689697265625
20,21,1632077430.740118,1632077435.798314,99.82029724121094
21,22,1632077435.801698,1632077440.8214705,99.77623748779297
