,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1632077291.8878148,1632077292.1715899,164.9088897705078
1,2,1,1632077292.1720607,1632077292.2021,145.85313415527344
2,3,1,1632077292.202327,1632077292.592435,103.52455139160156
3,4,1,1632077292.5935829,1632077293.0322518,151.7701873779297
4,5,1,1632077293.0334275,1632077293.0522797,167.8984375
5,6,1,1632077293.0524435,1632077293.225586,176.0775146484375
6,7,1,1632077293.2260287,1632077293.8069868,138.08560180664062
7,8,1,1632077293.8090894,1632077294.4286294,116.56041717529297
8,9,1,1632077294.430735,1632077295.3169134,174.93045043945312
9,10,1,1632077295.3192427,1632077295.3327627,159.21035766601562
10,11,1,1632077295.332921,1632077295.8075967,163.40235900878906
11,12,1,1632077295.808792,1632077295.8287947,103.75663757324219
12,13,1,1632077295.8289607,1632077295.8398468,151.92393493652344
13,14,1,1632077295.8399944,1632077295.8503425,174.53968811035156
14,15,1,1632077295.8504913,1632077295.8644395,177.33912658691406
15,16,1,1632077295.8645973,1632077296.8844066,171.93917846679688
16,17,1,1632077296.8875659,1632077297.6425388,109.2883071899414
17,18,1,1632077297.644125,1632077298.2117798,176.91757202148438
18,19,1,1632077298.213857,1632077298.224278,249.4103546142578
19,20,1,1632077298.2244265,1632077298.2400155,111.1452865600586
20,21,2,1632077298.2432163,1632077298.6817048,167.9029998779297
21,22,2,1632077298.6840327,1632077298.698774,116.29332733154297
22,23,2,1632077298.6990776,1632077299.0229404,148.36947631835938
23,24,2,1632077299.0238848,1632077299.0375335,172.1934814453125
24,25,2,1632077299.0376842,1632077299.8018713,160.71571350097656
25,26,2,1632077299.8040087,1632077299.9772785,176.28509521484375
26,27,2,1632077299.9777184,1632077300.465049,111.550537109375
27,28,2,1632077300.4661276,1632077300.4772303,121.81143951416016
28,29,2,1632077300.4773786,1632077301.3614943,176.16958618164062
29,30,2,1632077301.3646863,1632077301.3786325,137.8923797607422
30,31,2,1632077301.3787932,1632077301.851648,161.7431182861328
31,32,2,1632077301.8528526,1632077302.2873273,168.58175659179688
32,33,2,1632077302.2884238,1632077302.2997158,194.7998046875
33,34,2,1632077302.299863,1632077303.0258796,174.1583251953125
34,35,2,1632077303.02779,1632077303.04078,166.05421447753906
35,36,2,1632077303.0409338,1632077303.7636158,160.56715393066406
36,37,2,1632077303.7655382,1632077304.8200622,125.51557159423828
37,38,2,1632077304.8225029,1632077305.3919683,162.28077697753906
38,39,2,1632077305.3940752,1632077305.4045312,213.94525146484375
39,40,2,1632077305.4046845,1632077305.4201612,167.15675354003906
40,41,3,1632077305.4243023,1632077305.6180618,160.80706787109375
41,42,3,1632077305.6184983,1632077305.6325684,107.18064880371094
42,43,3,1632077305.6327653,1632077306.0134196,110.73194885253906
43,44,3,1632077306.0144093,1632077306.4312212,129.03988647460938
44,45,3,1632077306.4323168,1632077306.4503348,109.98192596435547
45,46,3,1632077306.4505055,1632077307.4388435,174.09735107421875
46,47,3,1632077307.44126,1632077307.9231813,112.36636352539062
47,48,3,1632077307.9246898,1632077308.0879369,125.78803253173828
48,49,3,1632077308.0883574,1632077308.9696097,175.41201782226562
49,50,3,1632077308.9718983,1632077309.9192228,123.25221252441406
50,51,3,1632077309.9214795,1632077310.4046745,168.68505859375
51,52,3,1632077310.4062412,1632077311.1638787,159.06912231445312
52,53,3,1632077311.1656644,1632077311.1760838,141.66490173339844
53,54,3,1632077311.1762314,1632077311.9057398,170.1261749267578
54,55,3,1632077311.9081192,1632077311.9213994,170.7195587158203
55,56,3,1632077311.9215603,1632077312.6405816,172.88803100585938
56,57,3,1632077312.642504,1632077313.5951502,163.9324188232422
57,58,3,1632077313.5976768,1632077313.6634822,171.4404754638672
58,59,3,1632077313.6637526,1632077314.1676629,181.57814025878906
59,60,3,1632077314.169099,1632077314.653279,119.98422241210938
60,61,4,1632077314.6585038,1632077315.0881703,168.2273406982422
61,62,4,1632077315.089151,1632077315.242363,169.74586486816406
62,63,4,1632077315.2427878,1632077315.6292686,107.87519836425781
63,64,4,1632077315.630268,1632077316.0505967,132.23208618164062
64,65,4,1632077316.0516846,1632077316.9985647,169.76768493652344
65,66,4,1632077317.0011494,1632077318.143226,112.53742218017578
66,67,4,1632077318.1467333,1632077318.6278694,110.0897445678711
67,68,4,1632077318.6291015,1632077319.2468247,114.02140045166016
68,69,4,1632077319.2481143,1632077319.6573763,174.1883544921875
69,70,4,1632077319.6587632,1632077320.377788,176.45643615722656
70,71,4,1632077320.3797088,1632077320.8457909,157.63758850097656
71,72,4,1632077320.8471825,1632077320.862927,149.20266723632812
72,73,4,1632077320.8630817,1632077320.875824,164.05169677734375
73,74,4,1632077320.8759766,1632077320.926904,164.2077178955078
74,75,4,1632077320.9271216,1632077320.9742935,164.98109436035156
75,76,4,1632077320.9745162,1632077321.8314154,152.39556884765625
76,77,4,1632077321.8336837,1632077321.8509881,116.8088607788086
77,78,4,1632077321.851151,1632077322.3522978,169.2969207763672
78,79,4,1632077322.353602,1632077322.8592973,164.41030883789062
79,80,4,1632077322.8605783,1632077322.8806887,160.13107299804688
80,81,5,1632077322.8840752,1632077323.0780408,160.36187744140625
81,82,5,1632077323.0784757,1632077323.091152,137.77532958984375
82,83,5,1632077323.0913382,1632077323.907709,107.6569595336914
83,84,5,1632077323.9095385,1632077324.3172047,144.18885803222656
84,85,5,1632077324.3182557,1632077324.3289406,101.32695770263672
85,86,5,1632077324.329304,1632077324.375537,157.31455993652344
86,87,5,1632077324.3757489,1632077325.348968,129.07058715820312
87,88,5,1632077325.3519263,1632077325.8951824,120.42106628417969
88,89,5,1632077325.8965685,1632077325.9426908,157.29171752929688
89,90,5,1632077325.942907,1632077325.9579246,126.26780700683594
90,91,5,1632077325.958075,1632077326.4080696,156.83877563476562
91,92,5,1632077326.4091198,1632077326.428678,117.61778259277344
92,93,5,1632077326.428836,1632077326.47503,174.71102905273438
93,94,5,1632077326.4753351,1632077326.521584,171.67288208007812
94,95,5,1632077326.5217953,1632077326.5679064,158.4835968017578
95,96,5,1632077326.5681162,1632077327.4068158,148.06845092773438
96,97,5,1632077327.4088674,1632077328.160514,109.46649932861328
97,98,5,1632077328.162327,1632077328.208542,159.82879638671875
