,iteration,start_time,end_time,val_mse
0,1,1631650474.0571475,1631650476.7559845,1822.6295166015625
1,2,1631650476.7579625,1631650480.3711028,1799.6131591796875
2,3,1631650480.3748486,1631650484.6774375,1803.994384765625
3,4,1631650484.6819727,1631650490.0476117,1803.5462646484375
4,5,1631650490.0522416,1631650494.8570304,1804.726806640625
5,6,1631650494.8606527,1631650500.2722843,1805.2467041015625
6,7,1631650500.2758265,1631650504.9162123,1798.778564453125
7,8,1631650504.9196692,1631650509.9905603,1801.8836669921875
8,9,1631650509.9948087,1631650514.8418863,1803.0732421875
9,10,1631650514.845589,1631650519.1795382,1800.828369140625
10,11,1631650519.1833313,1631650523.5243325,1804.7021484375
11,12,1631650523.5281,1631650527.4950113,1796.9627685546875
12,13,1631650527.4984138,1631650531.4326584,1800.6158447265625
13,14,1631650531.4353197,1631650535.6461256,1803.234619140625
14,15,1631650535.6497617,1631650539.8699503,1801.187255859375
15,16,1631650539.8742657,1631650544.8593526,1798.8836669921875
16,17,1631650544.8624623,1631650548.9618177,1803.540771484375
17,18,1631650548.965092,1631650553.755133,1794.2967529296875
