,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631650474.0571475,1631650474.2156413,1855.47412109375
1,2,1,1631650474.2160726,1631650474.226886,1868.4801025390625
2,3,1,1631650474.2270396,1631650474.544677,1824.83154296875
3,4,1,1631650474.5455222,1631650474.8880005,1837.4033203125
4,5,1,1631650474.88902,1631650474.9040844,1853.248779296875
5,6,1,1631650474.904247,1631650475.0477262,1843.3099365234375
6,7,1,1631650475.048158,1631650475.5216768,1822.6295166015625
7,8,1,1631650475.5230765,1631650476.0247526,1824.1312255859375
8,9,1,1631650476.0259492,1631650476.7426732,1852.71923828125
9,10,1,1631650476.7447002,1631650476.7559845,1885.224853515625
10,11,2,1631650476.7579625,1631650476.7688968,1819.908935546875
11,12,2,1631650476.7690446,1631650476.7801533,1856.674560546875
12,13,2,1631650476.780306,1631650477.4155588,1799.6131591796875
13,14,2,1631650477.4168897,1631650478.119957,1848.304443359375
14,15,2,1631650478.121787,1631650478.5950983,1828.650390625
15,16,2,1631650478.5965595,1631650478.7149403,1854.8135986328125
16,17,2,1631650478.7153196,1631650479.2171543,1803.503662109375
17,18,2,1631650479.218366,1631650479.2298841,2100.44287109375
18,19,2,1631650479.230038,1631650480.041482,1846.79736328125
19,20,2,1631650480.0436041,1631650480.3711028,1853.5943603515625
20,21,3,1631650480.3748486,1631650480.3858507,1879.5750732421875
21,22,3,1631650480.3859985,1631650480.7132428,1840.412109375
22,23,3,1631650480.7141435,1631650480.7251143,1867.34033203125
23,24,3,1631650480.725266,1631650481.4128335,1823.5009765625
24,25,3,1631650481.4143298,1631650481.888308,1847.664306640625
25,26,3,1631650481.8897846,1631650482.3954785,1803.994384765625
26,27,3,1631650482.3967428,1631650482.64835,1849.1669921875
27,28,3,1631650482.6491756,1631650483.154413,1807.2205810546875
28,29,3,1631650483.1556182,1631650483.8368979,1848.4847412109375
29,30,3,1631650483.8385522,1631650484.6774375,1850.583984375
30,31,4,1631650484.6819727,1631650485.5684488,1842.772216796875
31,32,4,1631650485.5705419,1631650485.8988285,1838.4869384765625
32,33,4,1631650485.9000525,1631650486.609365,1809.1085205078125
33,34,4,1631650486.6109781,1631650486.962203,1860.50830078125
34,35,4,1631650486.9633377,1631650487.290629,1849.2108154296875
35,36,4,1631650487.2916298,1631650487.7948432,1819.96142578125
36,37,4,1631650487.7960625,1631650488.3769736,1828.4310302734375
37,38,4,1631650488.378221,1631650488.7968962,1803.5462646484375
38,39,4,1631650488.7980273,1631650489.2508807,1811.2481689453125
39,40,4,1631650489.2520604,1631650490.0476117,1848.988525390625
40,41,5,1631650490.0522416,1631650490.4874244,1819.312744140625
41,42,5,1631650490.4884534,1631650491.0738635,1827.84375
42,43,5,1631650491.07511,1631650491.5796251,1804.726806640625
43,44,5,1631650491.580847,1631650491.9346566,1819.9720458984375
44,45,5,1631650491.9355829,1631650492.6634028,1814.8475341796875
45,46,5,1631650492.6651094,1631650493.516673,1844.0401611328125
46,47,5,1631650493.5190315,1631650493.950517,1826.8067626953125
47,48,5,1631650493.951693,1631650493.9627903,1827.5435791015625
48,49,5,1631650493.9629521,1631650494.414884,1816.9796142578125
49,50,5,1631650494.416079,1631650494.8570304,1825.339111328125
50,51,6,1631650494.8606527,1631650495.308598,1812.5626220703125
51,52,6,1631650495.3096528,1631650495.8881738,1825.7274169921875
52,53,6,1631650495.889396,1631650496.4856505,1805.2467041015625
53,54,6,1631650496.4872038,1631650497.0613346,1823.8729248046875
54,55,6,1631650497.062573,1631650497.79034,1821.5631103515625
55,56,6,1631650497.7919898,1631650498.3121173,1813.1552734375
56,57,6,1631650498.3133802,1631650498.8141935,1837.4896240234375
57,58,6,1631650498.8155065,1631650499.508096,1816.6029052734375
58,59,6,1631650499.5097857,1631650499.8305728,1820.863525390625
59,60,6,1631650499.831472,1631650500.2722843,1829.5284423828125
60,61,7,1631650500.2758265,1631650500.7131433,1805.97509765625
61,62,7,1631650500.7140684,1631650501.2791364,1818.8082275390625
62,63,7,1631650501.2807035,1631650501.574599,1826.47900390625
63,64,7,1631650501.5753162,1631650501.9558063,1805.6993408203125
64,65,7,1631650501.956862,1631650502.6439412,1821.1873779296875
65,66,7,1631650502.645633,1631650503.1685512,1820.1826171875
66,67,7,1631650503.1697748,1631650503.5085015,1812.58740234375
67,68,7,1631650503.509453,1631650503.933325,1798.778564453125
68,69,7,1631650503.934355,1631650504.4739828,1806.83740234375
69,70,7,1631650504.4752004,1631650504.9162123,1824.114501953125
70,71,8,1631650504.9196692,1631650505.642229,1822.042236328125
71,72,8,1631650505.643696,1631650506.0830193,1813.1998291015625
72,73,8,1631650506.084208,1631650506.546959,1830.4501953125
73,74,8,1631650506.5481832,1631650507.085214,1834.6512451171875
74,75,8,1631650507.0864422,1631650507.704022,1848.0753173828125
75,76,8,1631650507.7059577,1631650508.038726,1829.763427734375
76,77,8,1631650508.0396543,1631650508.580892,1806.3743896484375
77,78,8,1631650508.5821164,1631650509.011153,1801.8836669921875
78,79,8,1631650509.0122347,1631650509.3520472,1806.6234130859375
79,80,8,1631650509.352967,1631650509.9905603,1808.951416015625
80,81,9,1631650509.9948087,1631650510.431425,1814.724853515625
81,82,9,1631650510.4325788,1631650510.8471074,1818.6993408203125
82,83,9,1631650510.8481364,1631650511.4484518,1832.93896484375
83,84,9,1631650511.450082,1631650512.0769808,1818.1029052734375
84,85,9,1631650512.078423,1631650512.388694,1806.5279541015625
85,86,9,1631650512.3896222,1631650512.9444199,1821.485595703125
86,87,9,1631650512.9456844,1631650513.23077,1803.0732421875
87,88,9,1631650513.231614,1631650513.6595125,1810.520263671875
88,89,9,1631650513.6605399,1631650514.2633936,1819.70166015625
89,90,9,1631650514.2649765,1631650514.8418863,1833.9456787109375
90,91,10,1631650514.845589,1631650515.1874058,1800.828369140625
91,92,10,1631650515.188229,1631650515.6081505,1825.26025390625
92,93,10,1631650515.6091893,1631650515.870451,1814.2183837890625
93,94,10,1631650515.8712497,1631650516.2179255,1818.531005859375
94,95,10,1631650516.2188883,1631650516.9169168,1808.4736328125
95,96,10,1631650516.9185505,1631650517.5672047,1810.4942626953125
96,97,10,1631650517.5688822,1631650517.920769,1826.629638671875
97,98,10,1631650517.9217663,1631650518.2170043,1817.97900390625
98,99,10,1631650518.2178862,1631650518.469811,1815.534423828125
99,100,10,1631650518.4705918,1631650519.1795382,1826.4901123046875
100,101,11,1631650519.1833313,1631650519.4004586,1820.8702392578125
101,102,11,1631650519.4009774,1631650519.7280083,1824.599853515625
102,103,11,1631650519.7289267,1631650520.3908567,1821.9339599609375
103,104,11,1631650520.3925226,1631650520.8030233,1805.308349609375
104,105,11,1631650520.804071,1631650521.4423287,1816.662109375
105,106,11,1631650521.4439719,1631650521.7969563,1816.2861328125
106,107,11,1631650521.797928,1631650522.0808363,1820.3736572265625
107,108,11,1631650522.081666,1631650522.4478967,1823.0040283203125
108,109,11,1631650522.4488888,1631650522.7914584,1822.0068359375
109,110,11,1631650522.792386,1631650523.5243325,1804.7021484375
110,111,12,1631650523.5281,1631650523.8394597,1810.9561767578125
111,112,12,1631650523.8402567,1631650524.1791098,1808.355712890625
112,113,12,1631650524.1800458,1631650524.4266217,1818.3397216796875
113,114,12,1631650524.427258,1631650524.9300528,1827.0936279296875
114,115,12,1631650524.931286,1631650525.2336006,1796.9627685546875
115,116,12,1631650525.2344983,1631650525.613777,1811.0926513671875
116,117,12,1631650525.6148047,1631650525.8974144,1821.4288330078125
117,118,12,1631650525.8982728,1631650526.3139057,1812.5343017578125
118,119,12,1631650526.314929,1631650527.052017,1809.10888671875
119,120,12,1631650527.0537245,1631650527.4950113,1827.1910400390625
120,121,13,1631650527.4984138,1631650528.0021293,1825.4971923828125
121,122,13,1631650528.0032392,1631650528.3412833,1822.277099609375
122,123,13,1631650528.3422544,1631650529.0837276,1800.6158447265625
123,124,13,1631650529.0854712,1631650529.2474592,1807.9595947265625
124,125,13,1631650529.2479503,1631650529.7961776,1809.3306884765625
125,126,13,1631650529.7976644,1631650530.3001947,1800.6378173828125
126,127,13,1631650530.3014436,1631650530.5931568,1814.8983154296875
127,128,13,1631650530.593989,1631650531.0035284,1822.9534912109375
128,129,13,1631650531.004703,1631650531.269927,1811.3905029296875
129,130,13,1631650531.2707129,1631650531.4326584,1817.692626953125
130,131,14,1631650531.4353197,1631650531.682829,1805.4539794921875
131,132,14,1631650531.6835423,1631650531.986325,1819.198486328125
132,133,14,1631650531.9872026,1631650532.4100869,1803.234619140625
133,134,14,1631650532.411091,1631650533.0843117,1803.7176513671875
134,135,14,1631650533.085836,1631650533.3979042,1808.8438720703125
135,136,14,1631650533.3988,1631650533.9366982,1809.2435302734375
136,137,14,1631650533.9379363,1631650534.2297657,1827.020263671875
137,138,14,1631650534.2305868,1631650534.6590464,1816.109130859375
138,139,14,1631650534.6600692,1631650535.0100267,1812.9610595703125
139,140,14,1631650535.0109468,1631650535.6461256,1817.6600341796875
140,141,15,1631650535.6497617,1631650536.0322459,1801.187255859375
141,142,15,1631650536.0331228,1631650536.3721838,1805.533203125
142,143,15,1631650536.373122,1631650537.0079002,1801.974853515625
143,144,15,1631650537.0094807,1631650537.5391624,1808.740478515625
144,145,15,1631650537.540523,1631650538.0426316,1822.962890625
145,146,15,1631650538.044178,1631650538.3770323,1809.183837890625
146,147,15,1631650538.3779826,1631650538.6688952,1813.6265869140625
147,148,15,1631650538.6698132,1631650538.9835503,1812.6339111328125
148,149,15,1631650538.9844375,1631650539.1999562,1819.6036376953125
149,150,15,1631650539.200538,1631650539.8699503,1827.4033203125
150,151,16,1631650539.8742657,1631650540.3471026,1827.153564453125
