,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,5,34,71,89,90,12
1,mlp,0.0001,0.3,2,90,45,97,68,64
2,lstm,0.1,0.8,5,34,71,89,90,12
3,lstm,0.1,0.6,4,44,66,81,85,12
4,lstm,0.1,0.8,5,27,64,96,87,12
5,lstm,0.1,0.8,5,25,64,95,81,16
6,lstm,0.1,0.6,4,43,65,81,85,12
7,lstm,0.1,0.7,4,30,64,92,86,12
8,lstm,0.1,0.8,5,27,64,96,87,12
9,lstm,0.1,0.5,4,50,92,61,85,19
10,lstm,0.1,0.5,4,51,93,60,85,19
11,lstm,0.1,0.6,4,47,98,66,98,14
12,lstm,0.1,0.8,5,34,71,89,90,12
13,lstm,0.1,0.7,4,25,58,99,87,10
14,lstm,0.1,0.8,5,27,64,96,87,12
15,lstm,0.1,0.8,5,27,64,96,87,12
16,lstm,0.1,0.8,5,25,65,98,91,10
17,lstm,0.1,0.8,5,27,64,96,87,12
