,iteration,start_time,end_time,val_mse
0,1,1631652728.5007887,1631652731.2044244,1811.5556640625
1,2,1631652731.2064757,1631652734.6383822,1790.0841064453125
2,3,1631652734.640704,1631652740.272802,1808.458251953125
3,4,1631652740.2761354,1631652743.910254,1807.8426513671875
4,5,1631652743.9125578,1631652747.0751603,1803.4432373046875
5,6,1631652747.077469,1631652752.3058887,1802.4498291015625
6,7,1631652752.3082705,1631652756.916978,1812.726318359375
7,8,1631652756.9205344,1631652760.6792455,1809.026611328125
8,9,1631652760.6815412,1631652767.7127645,1792.501220703125
9,10,1631652767.717004,1631652772.2763119,1809.8734130859375
10,11,1631652772.2786813,1631652776.7661197,1798.60498046875
11,12,1631652776.7695951,1631652781.9169557,1798.885009765625
12,13,1631652781.9193046,1631652788.9064834,1803.6436767578125
13,14,1631652788.9101305,1631652793.4952946,1806.128662109375
14,15,1631652793.4980798,1631652799.3682373,1798.796875
15,16,1631652799.372245,1631652805.5030239,1797.4620361328125
16,17,1631652805.5066586,1631652810.252139,1807.625
17,18,1631652810.254608,1631652816.1153233,1796.31201171875
