,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631652728.5007887,1631652728.6598706,1847.976318359375
1,2,1,1631652728.6602874,1631652728.6710753,1842.4276123046875
2,3,1,1631652728.6712637,1631652728.9884768,1811.5556640625
3,4,1,1631652728.9892812,1631652729.3309615,1820.1256103515625
4,5,1,1631652729.331978,1631652729.3470175,1849.068603515625
5,6,1,1631652729.3471777,1631652729.491203,1843.635498046875
6,7,1,1631652729.491627,1631652729.9641397,1831.0277099609375
7,8,1,1631652729.965589,1631652730.4733167,1821.153076171875
8,9,1,1631652730.474521,1631652731.1910725,1842.717529296875
9,10,1,1631652731.1931434,1631652731.2044244,1844.765380859375
10,11,2,1631652731.2064757,1631652732.15964,1851.4921875
11,12,2,1631652732.1616342,1631652732.172774,1790.0841064453125
12,13,2,1631652732.1731842,1631652732.6457317,1827.8067626953125
13,14,2,1631652732.6471844,1631652733.0756226,1847.6907958984375
14,15,2,1631652733.076658,1631652733.5502279,1834.7542724609375
15,16,2,1631652733.5517101,1631652733.6783924,1856.70556640625
16,17,2,1631652733.6787915,1631652734.181957,1824.6759033203125
17,18,2,1631652734.1831553,1631652734.1946018,2299.3115234375
18,19,2,1631652734.1947627,1631652734.6260622,1852.881103515625
19,20,2,1631652734.627172,1631652734.6383822,1807.6353759765625
20,21,3,1631652734.640704,1631652734.7967355,1846.664306640625
21,22,3,1631652734.7971587,1631652734.9525907,1860.6170654296875
22,23,3,1631652734.953052,1631652735.7238832,1854.9359130859375
23,24,3,1631652735.7258644,1631652736.6779008,1844.969970703125
24,25,3,1631652736.6800349,1631652737.2455087,1821.2322998046875
25,26,3,1631652737.2473695,1631652737.7516658,1808.458251953125
26,27,3,1631652737.752919,1631652738.468092,1846.993408203125
27,28,3,1631652738.4701264,1631652739.185846,1849.505615234375
28,29,3,1631652739.188055,1631652740.1100109,1810.6180419921875
29,30,3,1631652740.1123228,1631652740.272802,1844.1424560546875
30,31,4,1631652740.2761354,1631652741.0539944,1845.0401611328125
31,32,4,1631652741.0557613,1631652741.0691853,1924.1912841796875
32,33,4,1631652741.0693455,1631652741.201604,1858.78125
33,34,4,1631652741.2020473,1631652741.5449314,1847.146728515625
34,35,4,1631652741.545966,1631652741.9531658,1817.640869140625
35,36,4,1631652741.9543643,1631652741.9653957,1858.8870849609375
36,37,4,1631652741.9655495,1631652742.4684403,1814.4940185546875
37,38,4,1631652742.4696372,1631652742.973194,1808.926513671875
38,39,4,1631652742.974427,1631652743.8971534,1807.8426513671875
39,40,4,1631652743.8992612,1631652743.910254,1850.293212890625
40,41,5,1631652743.9125578,1631652744.3696978,1820.3682861328125
41,42,5,1631652744.370772,1631652744.6878648,1803.4432373046875
42,43,5,1631652744.6888068,1631652745.240551,1819.614990234375
43,44,5,1631652745.2420986,1631652745.2531698,1891.31982421875
44,45,5,1631652745.253324,1631652745.2644186,1867.759765625
