,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.0001,0.0,2,18,12,22,37,42
1,lstm,0.0001,0.0,2,18,12,22,37,42
2,lstm,0.001,0.6,2,82,6,69,43,58
3,lstm,0.001,0.6,2,83,6,69,43,58
4,lstm,0.001,0.6,2,83,6,66,42,57
5,lstm,0.0001,0.0,2,18,12,22,37,42
6,lstm,0.0001,0.0,2,18,12,22,37,42
7,lstm,0.001,0.6,2,83,6,69,43,58
8,lstm,0.0001,0.0,2,83,6,69,37,58
9,lstm,0.001,0.0,2,79,11,69,43,58
10,lstm,0.001,0.0,2,79,11,69,43,58
11,lstm,0.0001,0.0,2,19,12,23,37,42
12,lstm,0.0001,0.0,2,18,12,22,37,42
13,lstm,0.001,0.0,2,18,12,68,37,42
14,lstm,0.0001,0.0,2,79,12,69,43,42
15,lstm,0.0001,0.0,2,18,11,22,37,42
16,lstm,0.001,0.0,2,79,11,69,43,58
17,lstm,0.001,0.0,2,18,12,69,37,42
18,lstm,0.001,0.0,2,18,12,69,37,42
19,lstm,0.001,0.0,2,6,11,69,43,38
20,lstm,0.001,0.0,2,18,12,69,37,42
21,lstm,0.001,0.0,2,79,11,69,43,58
22,lstm,0.001,0.0,2,79,11,69,43,58
23,lstm,0.001,0.0,2,76,12,69,37,42
24,lstm,0.001,0.0,2,79,11,69,43,58
25,lstm,0.001,0.0,2,79,11,69,43,57
26,lstm,0.001,0.0,2,79,11,69,43,58
27,lstm,0.001,0.0,2,79,11,69,37,58
28,lstm,0.001,0.0,2,88,11,69,43,58
29,lstm,0.001,0.0,2,72,11,69,43,54
30,lstm,0.001,0.0,2,88,11,69,42,58
31,lstm,0.001,0.0,2,87,12,69,37,42
32,lstm,0.001,0.0,2,88,11,69,43,42
33,lstm,0.001,0.0,2,88,11,69,43,58
34,lstm,0.001,0.0,2,88,11,69,42,58
35,lstm,0.001,0.0,2,79,11,69,43,58
36,lstm,0.001,0.0,2,88,11,69,43,58
37,lstm,0.001,0.0,2,84,11,69,43,58
38,lstm,0.001,0.0,2,88,11,69,43,58
39,lstm,0.001,0.0,2,18,12,69,37,42
40,lstm,0.001,0.0,2,88,11,69,43,58
41,lstm,0.001,0.0,2,18,12,69,37,56
42,lstm,0.001,0.0,2,18,12,69,37,42
43,lstm,0.001,0.0,2,18,12,69,37,42
44,lstm,0.001,0.0,2,18,11,69,43,58
45,lstm,0.001,0.0,2,18,12,69,37,42
46,lstm,0.001,0.0,2,88,11,69,43,58
47,lstm,0.001,0.0,2,88,10,69,43,58
48,lstm,0.001,0.0,2,18,12,69,37,42
49,lstm,0.001,0.0,2,86,11,69,37,57
50,lstm,0.001,0.0,2,18,12,69,37,42
51,lstm,0.001,0.0,2,15,11,69,43,58
52,lstm,0.001,0.0,2,88,10,69,43,58
53,lstm,0.001,0.0,2,88,11,69,43,43
54,lstm,0.001,0.0,2,18,12,69,37,42
55,lstm,0.001,0.0,2,88,11,69,43,58
56,lstm,0.001,0.0,2,18,11,69,43,42
57,lstm,0.001,0.0,2,83,12,69,37,42
58,lstm,0.001,0.0,2,18,11,69,37,56
59,lstm,0.001,0.0,2,88,11,69,43,58
60,lstm,0.001,0.0,2,88,11,69,37,58
61,lstm,0.001,0.0,2,88,12,69,37,58
62,lstm,0.001,0.0,2,18,12,69,37,42
63,lstm,0.001,0.0,2,18,11,69,37,42
64,lstm,0.001,0.0,2,88,11,69,37,58
65,lstm,0.001,0.0,2,18,12,69,37,42
66,lstm,0.001,0.0,2,88,10,69,37,59
67,lstm,0.001,0.0,2,88,11,69,37,58
68,lstm,0.001,0.0,2,88,11,69,37,58
69,lstm,0.001,0.0,2,86,11,69,37,58
70,lstm,0.001,0.0,2,18,12,69,37,42
71,lstm,0.001,0.0,2,83,11,69,37,57
72,lstm,0.001,0.0,2,18,12,69,37,42
73,lstm,0.001,0.0,2,88,11,69,37,58
74,lstm,0.001,0.0,2,88,11,69,37,58
75,lstm,0.001,0.0,2,18,12,69,37,58
76,lstm,0.001,0.0,2,98,10,69,37,58
77,lstm,0.001,0.0,2,88,12,69,37,58
78,lstm,0.001,0.0,2,88,11,69,37,41
79,lstm,0.001,0.0,2,18,12,69,37,42
80,lstm,0.001,0.0,2,18,12,69,37,42
81,lstm,0.001,0.0,2,88,11,69,37,58
82,lstm,0.001,0.0,2,88,11,69,37,58
83,lstm,0.001,0.0,2,88,11,69,37,58
84,lstm,0.001,0.0,2,84,11,69,37,58
85,lstm,0.001,0.0,2,18,12,69,37,42
86,lstm,0.001,0.0,2,88,11,69,37,58
87,lstm,0.001,0.0,2,18,12,69,37,42
88,lstm,0.001,0.0,2,18,12,69,37,42
89,lstm,0.001,0.0,2,18,12,69,37,42
