,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,mlp,0.001,0.6,2,89,6,69,44,58
1,lstm,0.0001,0.0,2,18,12,22,37,42
2,mlp,0.001,0.6,2,89,6,69,44,58
3,mlp,0.001,0.6,2,89,6,69,44,58
4,lstm,0.001,0.0,2,18,12,22,37,42
5,lstm,0.001,0.0,2,18,12,22,37,42
6,lstm,0.001,0.0,2,18,12,22,37,42
7,lstm,0.001,0.0,2,18,12,22,37,42
8,lstm,0.001,0.0,2,89,6,69,37,58
9,lstm,0.001,0.0,2,18,12,22,37,42
10,lstm,0.001,0.0,2,18,12,22,37,42
11,lstm,0.001,0.0,2,18,12,22,37,42
12,lstm,0.001,0.0,2,18,12,22,37,42
13,lstm,0.001,0.0,2,18,12,69,37,42
14,lstm,0.001,0.0,2,89,12,69,44,42
15,lstm,0.001,0.0,2,89,12,69,44,42
16,mlp,0.001,0.6,2,89,6,69,44,58
17,mlp,0.001,0.6,2,89,6,69,44,58
18,lstm,0.001,0.0,2,89,12,69,44,42
19,lstm,0.001,0.0,2,89,12,69,44,42
20,lstm,0.001,0.0,2,89,12,69,44,42
21,lstm,0.001,0.0,2,89,6,69,44,58
22,lstm,0.001,0.0,2,89,12,69,44,58
23,mlp,0.001,0.0,2,89,12,69,44,42
24,mlp,0.001,0.0,2,89,12,69,44,42
25,mlp,0.001,0.0,2,89,12,69,44,42
26,mlp,0.001,0.0,2,89,12,69,44,42
27,mlp,0.001,0.0,2,89,12,69,44,42
28,mlp,0.001,0.6,2,89,6,69,44,58
29,mlp,0.001,0.0,2,89,12,69,44,58
30,mlp,0.001,0.0,2,89,12,69,44,42
31,mlp,0.001,0.0,2,89,12,69,44,42
32,mlp,0.001,0.0,2,89,12,69,44,58
33,mlp,0.001,0.0,2,89,6,69,44,42
34,mlp,0.001,0.0,2,89,12,69,44,42
35,mlp,0.001,0.0,2,89,12,69,44,42
36,mlp,0.001,0.0,2,89,12,69,44,42
37,mlp,0.001,0.6,2,89,6,69,44,58
38,mlp,0.001,0.0,2,89,12,69,44,42
39,mlp,0.001,0.0,2,89,12,69,44,42
40,mlp,0.001,0.6,2,89,12,69,44,42
41,mlp,0.001,0.0,2,89,12,69,44,58
42,mlp,0.001,0.0,2,89,12,69,44,42
43,mlp,0.001,0.0,2,89,12,69,44,42
44,mlp,0.001,0.0,2,89,12,69,44,42
45,mlp,0.001,0.0,2,89,12,69,44,42
46,mlp,0.001,0.0,2,89,12,69,44,42
47,mlp,0.001,0.6,2,89,5,69,44,58
48,mlp,0.001,0.0,2,89,12,69,44,42
49,mlp,0.001,0.6,2,89,6,69,44,58
50,mlp,0.001,0.0,2,89,12,69,44,42
51,mlp,0.001,0.0,2,89,12,69,44,42
52,mlp,0.001,0.6,2,89,5,69,44,58
53,mlp,0.001,0.0,2,89,12,69,44,42
54,mlp,0.001,0.6,2,89,6,69,44,58
55,mlp,0.001,0.0,2,89,12,69,44,42
56,mlp,0.001,0.0,2,89,12,69,44,42
57,mlp,0.001,0.0,2,89,12,69,44,42
58,mlp,0.001,0.0,2,89,6,69,44,42
59,mlp,0.001,0.0,2,89,6,69,44,42
60,mlp,0.001,0.0,2,89,6,69,44,42
61,mlp,0.001,0.0,2,89,6,69,44,42
62,mlp,0.001,0.0,2,89,12,69,44,42
63,mlp,0.001,0.0,2,89,18,69,44,42
64,mlp,0.001,0.0,2,89,4,69,44,42
65,mlp,0.001,0.0,2,89,18,69,44,42
66,mlp,0.001,0.0,2,89,12,69,44,42
67,mlp,0.001,0.0,2,89,12,69,44,42
68,mlp,0.001,0.0,2,89,12,69,44,42
69,mlp,0.001,0.0,2,89,12,69,44,42
70,mlp,0.001,0.0,2,89,12,69,44,42
71,mlp,0.001,0.0,2,89,6,69,44,42
72,mlp,0.001,0.0,2,89,6,69,44,42
73,mlp,0.001,0.0,2,89,6,69,44,42
74,mlp,0.001,0.0,2,89,6,69,44,42
75,mlp,0.001,0.0,2,89,6,69,44,42
76,mlp,0.001,0.0,2,89,12,69,44,42
77,mlp,0.001,0.0,2,89,12,69,44,42
78,mlp,0.001,0.0,2,89,12,69,44,42
79,mlp,0.001,0.0,2,89,12,69,44,42
80,mlp,0.001,0.0,2,89,6,69,44,42
81,mlp,0.001,0.0,2,89,12,69,44,42
82,mlp,0.001,0.0,2,89,12,69,44,42
83,mlp,0.001,0.0,2,89,6,69,44,42
84,mlp,0.001,0.0,2,89,6,69,44,42
85,mlp,0.001,0.0,2,89,12,69,44,42
86,mlp,0.001,0.0,2,89,6,69,44,42
87,mlp,0.001,0.0,2,89,6,69,44,42
88,mlp,0.001,0.0,2,89,6,69,44,42
89,mlp,0.001,0.0,2,89,6,69,44,42
