,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.0001,0.0,2,18,12,22,37,42
1,mlp,0.001,0.6,2,89,6,69,44,58
2,lstm,0.0001,0.0,2,18,12,22,37,42
3,mlp,0.001,0.6,2,89,6,69,44,58
4,mlp,0.001,0.6,2,89,6,69,44,58
5,mlp,0.001,0.6,2,89,6,69,44,58
6,mlp,0.001,0.6,2,89,6,69,44,58
7,mlp,0.001,0.6,2,89,6,69,44,58
8,lstm,0.0001,0.0,2,18,12,22,37,42
9,lstm,0.0001,0.0,2,18,12,22,37,42
10,mlp,0.001,0.6,2,89,6,69,44,58
11,lstm,0.0001,0.0,2,18,12,22,37,42
12,mlp,0.001,0.6,2,89,6,69,44,58
13,lstm,0.0001,0.0,2,18,12,22,37,42
14,lstm,0.0001,0.0,2,18,12,22,37,42
15,mlp,0.001,0.6,2,89,6,69,44,58
16,lstm,0.0001,0.0,2,18,12,22,37,42
17,mlp,0.001,0.6,2,89,6,69,44,58
18,lstm,0.0001,0.0,2,18,12,22,37,42
19,lstm,0.0001,0.0,2,18,12,22,37,42
20,lstm,0.0001,0.0,2,18,12,22,37,42
21,lstm,0.0001,0.0,2,18,12,22,37,42
22,lstm,0.0001,0.0,2,18,12,22,37,42
23,lstm,0.0001,0.0,2,18,12,22,37,42
24,lstm,0.0001,0.0,2,18,12,22,37,42
25,mlp,0.001,0.6,2,89,6,69,44,58
26,lstm,0.0001,0.0,2,18,12,22,37,42
27,lstm,0.0001,0.0,2,18,12,22,37,42
28,mlp,0.001,0.6,2,89,6,69,44,58
29,mlp,0.001,0.6,2,89,6,69,44,58
30,lstm,0.0001,0.0,2,18,12,22,37,42
31,lstm,0.0001,0.0,2,18,12,22,37,42
32,lstm,0.0001,0.0,2,18,12,22,37,42
33,lstm,0.0001,0.0,2,18,12,22,37,42
34,lstm,0.0001,0.0,2,18,12,22,37,42
35,lstm,0.0001,0.0,2,18,12,22,37,42
36,lstm,0.0001,0.0,2,18,12,22,37,42
37,lstm,0.0001,0.0,2,18,12,22,37,42
38,lstm,0.0001,0.0,2,18,12,22,37,42
39,lstm,0.0001,0.0,2,18,12,22,37,42
40,lstm,0.0001,0.0,2,18,12,22,37,42
41,lstm,0.0001,0.0,2,18,12,22,37,42
42,lstm,0.0001,0.0,2,18,12,22,37,42
43,lstm,0.0001,0.0,2,18,12,22,37,42
44,lstm,0.0001,0.0,2,18,12,22,37,42
45,lstm,0.0001,0.0,2,18,12,22,37,42
46,mlp,0.001,0.6,2,89,6,69,44,58
47,lstm,0.0001,0.0,2,18,12,22,37,42
48,mlp,0.001,0.6,2,89,6,69,44,58
49,lstm,0.0001,0.0,2,18,12,22,37,42
50,mlp,0.001,0.6,2,89,6,69,44,58
51,lstm,0.0001,0.0,2,18,12,22,37,42
52,lstm,0.0001,0.0,2,18,12,22,37,42
53,mlp,0.001,0.6,2,89,6,69,44,58
54,lstm,0.0001,0.0,2,18,12,22,37,42
55,mlp,0.001,0.6,2,89,6,69,44,58
56,lstm,0.0001,0.0,2,18,12,22,37,42
57,mlp,0.001,0.6,2,89,6,69,44,58
58,lstm,0.0001,0.0,2,18,12,22,37,42
59,lstm,0.0001,0.0,2,18,12,22,37,42
60,mlp,0.001,0.6,2,89,6,69,44,58
61,mlp,0.001,0.6,2,89,6,69,44,58
62,lstm,0.0001,0.0,2,18,12,22,37,42
63,lstm,0.0001,0.0,2,18,12,22,37,42
64,lstm,0.0001,0.0,2,18,12,22,37,42
65,mlp,0.001,0.6,2,89,6,69,44,58
66,lstm,0.0001,0.0,2,18,12,22,37,42
67,mlp,0.001,0.6,2,89,6,69,44,58
68,lstm,0.0001,0.0,2,18,12,22,37,42
69,lstm,0.0001,0.0,2,18,12,22,37,42
70,lstm,0.0001,0.0,2,18,12,22,37,42
71,lstm,0.0001,0.0,2,18,12,22,37,42
72,lstm,0.0001,0.0,2,18,12,22,37,42
73,lstm,0.0001,0.0,2,18,12,22,37,42
74,lstm,0.0001,0.0,2,18,12,22,37,42
75,mlp,0.001,0.6,2,89,6,69,44,58
76,lstm,0.0001,0.0,2,18,12,22,37,42
77,mlp,0.001,0.6,2,89,6,69,44,58
78,mlp,0.001,0.6,2,89,6,69,44,58
79,lstm,0.0001,0.0,2,18,12,22,37,42
80,lstm,0.0001,0.0,2,18,12,22,37,42
81,mlp,0.001,0.6,2,89,6,69,44,58
82,lstm,0.0001,0.0,2,18,12,22,37,42
83,lstm,0.0001,0.0,2,18,12,22,37,42
84,mlp,0.001,0.6,2,89,6,69,44,58
85,mlp,0.001,0.6,2,89,6,69,44,58
86,lstm,0.0001,0.0,2,18,12,22,37,42
87,lstm,0.0001,0.0,2,18,12,22,37,42
88,mlp,0.001,0.6,2,89,6,69,44,58
89,lstm,0.0001,0.0,2,18,12,22,37,42
