,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631653391.5642712,1631653391.7272933,1844.676025390625
1,2,1,1631653391.7277093,1631653391.7384565,1781.5655517578125
2,3,1,1631653391.7386436,1631653392.0552702,1812.71826171875
3,4,1,1631653392.0561597,1631653392.3981247,1825.3038330078125
4,5,1,1631653392.3991404,1631653392.4141767,1864.201416015625
5,6,1,1631653392.414339,1631653392.557921,1843.7237548828125
6,7,1,1631653392.5583541,1631653393.0299747,1828.1544189453125
7,8,1,1631653393.0314152,1631653393.5342221,1821.5208740234375
8,9,1,1631653393.5354195,1631653394.2514696,1851.896484375
9,10,1,1631653394.2534971,1631653394.264762,1858.105712890625
10,11,1,1631653394.2649152,1631653394.6584177,1855.2001953125
11,12,1,1631653394.6594393,1631653394.6762564,1846.8427734375
12,13,1,1631653394.6764214,1631653394.6855311,1854.86962890625
13,14,1,1631653394.6856809,1631653394.69434,1930.07080078125
14,15,1,1631653394.6944878,1631653394.7058742,1812.6455078125
15,16,1,1631653394.7060273,1631653395.5323243,1853.6322021484375
16,17,1,1631653395.534168,1631653396.1513689,1833.6243896484375
17,18,1,1631653396.1526804,1631653396.617804,1854.980224609375
18,19,1,1631653396.6193101,1631653396.6280596,1873.5743408203125
19,20,1,1631653396.6282086,1631653396.6409755,1857.1739501953125
20,21,2,1631653396.6437922,1631653396.799263,1852.0390625
21,22,2,1631653396.7996697,1631653396.81038,1852.798583984375
22,23,2,1631653396.8105316,1631653397.1270044,1825.009521484375
23,24,2,1631653397.1278372,1631653397.4695306,1846.2042236328125
24,25,2,1631653397.470549,1631653397.4854705,1850.093505859375
25,26,2,1631653397.4856324,1631653397.6294572,1853.0113525390625
26,27,2,1631653397.6298966,1631653398.1055558,1824.8636474609375
27,28,2,1631653398.1069975,1631653398.618141,1816.548583984375
28,29,2,1631653398.619361,1631653399.3387463,1859.1307373046875
29,30,2,1631653399.3407705,1631653399.351971,1841.56298828125
30,31,2,1631653399.3521323,1631653399.7422624,1852.9805908203125
31,32,2,1631653399.7434952,1631653399.7605383,1853.993408203125
32,33,2,1631653399.7607052,1631653399.76975,1979.0545654296875
33,34,2,1631653399.7699044,1631653399.7785296,1823.8983154296875
34,35,2,1631653399.7786841,1631653399.7899723,1838.505126953125
35,36,2,1631653399.7901242,1631653400.6145077,1845.656005859375
36,37,2,1631653400.6162627,1631653401.2324142,1810.4588623046875
37,38,2,1631653401.233839,1631653401.698615,1847.3812255859375
38,39,2,1631653401.6999288,1631653401.7088566,1940.813720703125
39,40,2,1631653401.7090065,1631653401.721747,1818.241943359375
40,41,3,1631653401.7255445,1631653401.880981,1851.9930419921875
41,42,3,1631653401.88139,1631653401.892107,1813.4952392578125
42,43,3,1631653401.8922925,1631653402.2089436,1819.1302490234375
43,44,3,1631653402.2098172,1631653402.551757,1818.96875
44,45,3,1631653402.5527775,1631653402.5677466,1858.273193359375
45,46,3,1631653402.5679078,1631653402.7113988,1852.9296875
46,47,3,1631653402.7118287,1631653403.1832528,1834.9017333984375
47,48,3,1631653403.18485,1631653403.686919,1799.58642578125
48,49,3,1631653403.6880848,1631653404.4065685,1843.8253173828125
49,50,3,1631653404.4086435,1631653404.4199307,1911.0262451171875
50,51,3,1631653404.4200926,1631653404.8057764,1845.8558349609375
51,52,3,1631653404.8068147,1631653404.8235376,1831.565673828125
52,53,3,1631653404.8237035,1631653404.8327823,1822.417236328125
53,54,3,1631653404.8329322,1631653404.8415673,1910.0906982421875
54,55,3,1631653404.8417146,1631653404.8528876,1841.279296875
55,56,3,1631653404.8530407,1631653405.6792479,1847.450439453125
56,57,3,1631653405.6811237,1631653406.3047137,1811.995849609375
57,58,3,1631653406.3062134,1631653406.7709966,1856.793701171875
58,59,3,1631653406.77231,1631653406.781248,1859.3292236328125
59,60,3,1631653406.7813983,1631653406.7942107,1850.5919189453125
60,61,4,1631653406.7976081,1631653406.9533622,1853.309326171875
61,62,4,1631653406.95379,1631653406.9644938,1840.5919189453125
62,63,4,1631653406.9646804,1631653407.2812176,1816.5823974609375
63,64,4,1631653407.28201,1631653407.6244948,1848.3983154296875
64,65,4,1631653407.6255183,1631653407.640451,1855.707763671875
65,66,4,1631653407.6406105,1631653407.7840395,1858.5843505859375
66,67,4,1631653407.784474,1631653408.2583368,1830.5286865234375
67,68,4,1631653408.2598033,1631653408.766659,1811.52783203125
68,69,4,1631653408.7678792,1631653409.4835575,1851.001708984375
69,70,4,1631653409.485601,1631653409.4972298,1902.6904296875
70,71,4,1631653409.4973924,1631653409.884923,1844.1126708984375
71,72,4,1631653409.885962,1631653409.9026904,1844.0390625
72,73,4,1631653409.902861,1631653409.9118514,2037.1136474609375
73,74,4,1631653409.912003,1631653409.9205632,1909.58544921875
74,75,4,1631653409.9207106,1631653409.9317813,1857.04541015625
75,76,4,1631653409.9319358,1631653410.7569654,1848.8348388671875
76,77,4,1631653410.7588224,1631653411.3800793,1826.9212646484375
77,78,4,1631653411.3814776,1631653411.8463573,1853.457763671875
78,79,4,1631653411.847858,1631653411.8566341,1954.3416748046875
79,80,4,1631653411.8567905,1631653411.8694246,1812.348876953125
80,81,5,1631653411.8728483,1631653412.0281746,1847.4912109375
81,82,5,1631653412.0285873,1631653412.03929,1876.4515380859375
82,83,5,1631653412.0394416,1631653412.356997,1814.868408203125
83,84,5,1631653412.357836,1631653412.7005641,1842.5498046875
84,85,5,1631653412.7015913,1631653412.716492,1848.3743896484375
85,86,5,1631653412.716653,1631653412.8602748,1845.39697265625
86,87,5,1631653412.8606992,1631653413.333134,1844.7716064453125
87,88,5,1631653413.3345904,1631653413.839149,1821.1827392578125
88,89,5,1631653413.8404045,1631653414.556397,1859.92822265625
89,90,5,1631653414.5584846,1631653414.569588,1809.7039794921875
90,91,5,1631653414.5698302,1631653414.957434,1857.05908203125
91,92,5,1631653414.9584627,1631653414.9751859,1837.6146240234375
92,93,5,1631653414.975351,1631653414.9843707,1876.4852294921875
93,94,5,1631653414.9845197,1631653414.9931095,1840.253662109375
94,95,5,1631653414.993257,1631653415.0043783,1865.4000244140625
95,96,5,1631653415.0045314,1631653415.8281536,1847.6060791015625
96,97,5,1631653415.830005,1631653416.4473388,1816.345703125
97,98,5,1631653416.448787,1631653416.9131455,1840.3685302734375
98,99,5,1631653416.9144697,1631653416.9234345,2004.4158935546875
99,100,5,1631653416.9235857,1631653416.9362507,1828.7047119140625
100,101,6,1631653416.939532,1631653417.095214,1846.9920654296875
101,102,6,1631653417.0956278,1631653417.1063309,1861.5447998046875
102,103,6,1631653417.106482,1631653417.4999368,1811.108154296875
103,104,6,1631653417.5008278,1631653417.8431506,1822.822509765625
104,105,6,1631653417.844191,1631653417.8591604,1848.023193359375
105,106,6,1631653417.8593223,1631653418.0030098,1846.832763671875
106,107,6,1631653418.0034428,1631653418.476117,1846.62646484375
107,108,6,1631653418.4775705,1631653418.9807541,1823.106689453125
108,109,6,1631653418.9819608,1631653419.6988947,1850.7713623046875
109,110,6,1631653419.700998,1631653419.7120903,1864.6231689453125
110,111,6,1631653419.712244,1631653420.1008236,1852.7735595703125
111,112,6,1631653420.1018586,1631653420.1184738,2250.2197265625
112,113,6,1631653420.1186395,1631653420.1276531,1871.4814453125
113,114,6,1631653420.12781,1631653420.1363952,1951.359130859375
114,115,6,1631653420.136544,1631653420.1476142,1857.5184326171875
115,116,6,1631653420.1477737,1631653420.9750426,1854.6949462890625
116,117,6,1631653420.9769244,1631653421.5954072,1801.545166015625
117,118,6,1631653421.5966976,1631653422.0617883,1840.1015625
118,119,6,1631653422.0632381,1631653422.0720155,1941.04736328125
119,120,6,1631653422.072166,1631653422.0848892,1839.669677734375
120,121,7,1631653422.0882492,1631653422.2438035,1853.6744384765625
121,122,7,1631653422.2442174,1631653422.254917,1964.7725830078125
122,123,7,1631653422.255068,1631653422.5721195,1808.5313720703125
123,124,7,1631653422.572961,1631653422.9154336,1825.2784423828125
124,125,7,1631653422.9164639,1631653422.9313595,1852.569091796875
125,126,7,1631653422.93152,1631653423.0750809,1841.505859375
126,127,7,1631653423.0755157,1631653423.548115,1836.3077392578125
127,128,7,1631653423.5495734,1631653424.0513487,1811.9957275390625
128,129,7,1631653424.0526526,1631653424.7687845,1858.1036376953125
129,130,7,1631653424.7708285,1631653424.782019,1870.8055419921875
130,131,7,1631653424.7821765,1631653425.169827,1847.8795166015625
131,132,7,1631653425.1708584,1631653425.1876686,1837.5421142578125
132,133,7,1631653425.18784,1631653425.19688,1910.6087646484375
133,134,7,1631653425.1970336,1631653425.2055967,1943.1497802734375
134,135,7,1631653425.2057521,1631653425.217036,1890.6365966796875
135,136,7,1631653425.217189,1631653426.0421748,1856.1722412109375
136,137,7,1631653426.0440297,1631653426.6564028,1804.2872314453125
137,138,7,1631653426.657777,1631653427.1229763,1850.896240234375
138,139,7,1631653427.1242948,1631653427.1332207,1908.1514892578125
139,140,7,1631653427.1333709,1631653427.146063,1839.404052734375
140,141,8,1631653427.1493645,1631653427.304654,1853.924072265625
141,142,8,1631653427.3050723,1631653427.3157558,1900.81494140625
142,143,8,1631653427.3159094,1631653427.632982,1802.104736328125
143,144,8,1631653427.6338158,1631653427.976508,1830.7696533203125
144,145,8,1631653427.9775362,1631653427.9923866,1843.8939208984375
145,146,8,1631653427.9925542,1631653428.1359675,1855.9013671875
146,147,8,1631653428.1364002,1631653428.6093366,1835.980712890625
147,148,8,1631653428.6108077,1631653429.1125379,1810.8885498046875
148,149,8,1631653429.113749,1631653429.8361065,1852.5762939453125
149,150,8,1631653429.83839,1631653429.8497434,1850.6900634765625
150,151,8,1631653429.8499024,1631653430.2389953,1849.3509521484375
151,152,8,1631653430.2400339,1631653430.256747,1811.30517578125
152,153,8,1631653430.2569137,1631653430.2659109,2101.126708984375
153,154,8,1631653430.2660606,1631653430.2746975,1913.426513671875
154,155,8,1631653430.2748513,1631653430.2858796,1907.0577392578125
155,156,8,1631653430.2860346,1631653431.1163955,1848.95556640625
156,157,8,1631653431.1183112,1631653431.7268429,1817.8690185546875
157,158,8,1631653431.7281911,1631653432.1930778,1856.30029296875
158,159,8,1631653432.1945333,1631653432.2033916,1855.991943359375
159,160,8,1631653432.2035472,1631653432.2162638,1840.4097900390625
160,161,9,1631653432.220151,1631653432.3759234,1860.10107421875
161,162,9,1631653432.3763363,1631653432.387084,1818.43798828125
162,163,9,1631653432.387273,1631653432.703902,1805.1644287109375
163,164,9,1631653432.7046814,1631653433.0464303,1833.3990478515625
164,165,9,1631653433.0474606,1631653433.062414,1849.56689453125
165,166,9,1631653433.0625744,1631653433.2059598,1859.0294189453125
166,167,9,1631653433.206392,1631653433.6795218,1847.1744384765625
167,168,9,1631653433.6809845,1631653434.1878684,1812.407470703125
168,169,9,1631653434.189113,1631653434.9044058,1865.824462890625
169,170,9,1631653434.9065468,1631653434.9177167,1862.97216796875
170,171,9,1631653434.9178798,1631653435.3065367,1846.09521484375
171,172,9,1631653435.3075898,1631653435.324283,2273.65185546875
172,173,9,1631653435.3244517,1631653435.333661,1817.734619140625
