,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631644923.609809,1631644923.767814,1854.099365234375
1,2,1,1631644923.76823,1631644923.77907,1896.130615234375
2,3,1,1631644923.7792208,1631644924.0964234,1811.2822265625
3,4,1,1631644924.0972488,1631644924.4393513,1818.66455078125
4,5,1,1631644924.4403744,1631644924.4554117,1843.0509033203125
5,6,2,1631644924.4569664,1631644925.3031728,1858.2098388671875
6,7,2,1631644925.3049994,1631644925.6224627,1796.2763671875
7,8,2,1631644925.6235142,1631644925.9401813,1827.9083251953125
8,9,2,1631644925.9410546,1631644925.9539332,1857.8529052734375
9,10,2,1631644925.9540913,1631644925.9690504,1846.189697265625
10,11,3,1631644925.9708636,1631644926.2880502,1828.181396484375
11,12,3,1631644926.2888315,1631644926.3015203,1848.0455322265625
12,13,3,1631644926.301678,1631644926.6437154,1824.939453125
13,14,3,1631644926.6447344,1631644926.961723,1805.302001953125
14,15,3,1631644926.9626422,1631644927.1180105,1845.94970703125
15,16,4,1631644927.1200814,1631644927.713713,1839.17724609375
16,17,4,1631644927.7149348,1631644928.0319712,1812.2113037109375
17,18,4,1631644928.0329437,1631644928.3500667,1802.739501953125
18,19,4,1631644928.350963,1631644928.3659525,1853.315185546875
19,20,4,1631644928.3661149,1631644928.6827874,1800.4425048828125
20,21,5,1631644928.6851516,1631644929.0017934,1815.96728515625
21,22,5,1631644929.0025759,1631644929.3193443,1803.2208251953125
22,23,5,1631644929.3203785,1631644929.6374946,1826.583251953125
23,24,5,1631644929.6383789,1631644929.9551477,1809.2392578125
24,25,5,1631644929.956033,1631644930.2725844,1799.9056396484375
25,26,6,1631644930.2749326,1631644930.591868,1802.59130859375
26,27,6,1631644930.5926497,1631644930.9093719,1811.5875244140625
27,28,6,1631644930.9102502,1631644931.2273846,1812.1370849609375
28,29,6,1631644931.22827,1631644931.5454082,1801.566162109375
29,30,6,1631644931.5463173,1631644931.9381497,1805.0008544921875
30,31,7,1631644931.9408197,1631644932.2579181,1814.0555419921875
31,32,7,1631644932.2587132,1631644932.5752442,1814.631591796875
32,33,7,1631644932.5761237,1631644932.8931887,1806.038818359375
33,34,7,1631644932.8940823,1631644933.211004,1811.697265625
34,35,7,1631644933.2118888,1631644933.529389,1814.56982421875
35,36,8,1631644933.5318096,1631644933.848938,1828.380859375
36,37,8,1631644933.8497152,1631644934.1660604,1820.8392333984375
37,38,8,1631644934.1669505,1631644934.483681,1805.0635986328125
38,39,8,1631644934.4845703,1631644934.801384,1797.111572265625
39,40,8,1631644934.8023112,1631644935.1231894,1805.984375
40,41,9,1631644935.12625,1631644935.444239,1819.0762939453125
41,42,9,1631644935.445029,1631644935.763391,1819.6722412109375
42,43,9,1631644935.7643218,1631644936.0817113,1799.469970703125
43,44,9,1631644936.0826046,1631644936.3995142,1806.466064453125
44,45,9,1631644936.4003913,1631644936.7172456,1805.3016357421875
45,46,10,1631644936.7197554,1631644937.036026,1823.2254638671875
46,47,10,1631644937.0368128,1631644937.3535976,1815.7872314453125
47,48,10,1631644937.3545089,1631644937.6712332,1810.8843994140625
48,49,10,1631644937.6721284,1631644937.9897249,1814.334228515625
49,50,10,1631644937.9906206,1631644938.3070788,1807.9696044921875
50,51,11,1631644938.309426,1631644938.625752,1798.110595703125
51,52,11,1631644938.6265397,1631644938.942901,1828.8150634765625
52,53,11,1631644938.943778,1631644939.260847,1800.4222412109375
53,54,11,1631644939.261721,1631644939.5803206,1808.1248779296875
54,55,11,1631644939.5811985,1631644939.8979728,1815.4034423828125
55,56,12,1631644939.900369,1631644940.2167244,1802.05712890625
56,57,12,1631644940.2175088,1631644940.5339541,1809.1832275390625
57,58,12,1631644940.534857,1631644940.8511465,1793.8082275390625
58,59,12,1631644940.8520463,1631644941.1694667,1823.054443359375
59,60,12,1631644941.170358,1631644941.4867773,1808.5963134765625
60,61,13,1631644941.4891338,1631644941.8054223,1795.2938232421875
