,iteration,start_time,end_time,val_mse
0,1,1631646945.6404116,1631646946.486484,1819.9622802734375
1,2,1631646946.4880433,1631646947.9875243,1805.5653076171875
2,3,1631646947.9893215,1631646948.8064435,1786.28271484375
3,4,1631646948.8085175,1631646949.9251323,1822.359375
4,5,1631646949.9267979,1631646951.439631,1797.4130859375
5,6,1631646951.443258,1631646952.606629,1798.34619140625
6,7,1631646952.608881,1631646953.4274065,1813.5029296875
7,8,1631646953.4294894,1631646954.387503,1808.5791015625
8,9,1631646954.3898604,1631646956.0441065,1811.265625
9,10,1631646956.0466177,1631646957.6303587,1801.1185302734375
10,11,1631646957.6328511,1631646959.5231166,1810.408203125
11,12,1631646959.525513,1631646961.2391138,1800.1651611328125
12,13,1631646961.241734,1631646963.1289682,1798.6146240234375
13,14,1631646963.1323066,1631646964.144497,1806.1968994140625
14,15,1631646964.1479099,1631646965.8011336,1810.6959228515625
15,16,1631646965.802749,1631646966.7777896,1803.044189453125
16,17,1631646966.7793803,1631646968.2115257,1801.8826904296875
17,18,1631646968.2139916,1631646969.1875205,1798.2220458984375
18,19,1631646969.1890538,1631646971.2362573,1807.5755615234375
19,20,1631646971.239964,1631646972.519968,1798.338623046875
20,21,1631646972.5225651,1631646974.1877232,1798.5577392578125
21,22,1631646974.1902454,1631646976.205391,1797.7413330078125
22,23,1631646976.207931,1631646978.0975094,1792.25244140625
23,24,1631646978.0999825,1631646980.0675101,1809.85498046875
24,25,1631646980.0700266,1631646981.0430775,1798.6973876953125
25,26,1631646981.04559,1631646982.3351486,1803.58154296875
26,27,1631646982.3375423,1631646984.6748087,1799.5968017578125
27,28,1631646984.6779184,1631646986.2650082,1798.9169921875
28,29,1631646986.2674098,1631646987.973988,1799.107421875
29,30,1631646987.9764166,1631646989.6884654,1792.017822265625
30,31,1631646989.6922894,1631646990.9726698,1803.171875
31,32,1631646990.9743834,1631646992.6716216,1806.2454833984375
32,33,1631646992.6741273,1631646994.6570168,1802.9677734375
33,34,1631646994.6585984,1631646996.7438078,1795.9468994140625
34,35,1631646996.7474597,1631646997.721574,1794.3121337890625
35,36,1631646997.7231367,1631646999.0769067,1799.2127685546875
