,iteration,start_time,end_time,val_mse
0,1,1631648243.0805922,1631648243.9259784,1794.704833984375
1,2,1631648243.9275386,1631648245.43153,1812.3326416015625
2,3,1631648245.4332967,1631648247.2515185,1806.406005859375
3,4,1631648247.2552416,1631648248.221085,1800.6829833984375
4,5,1631648248.2235239,1631648249.8050158,1791.955078125
5,6,1631648249.8078656,1631648251.3769474,1796.8380126953125
6,7,1631648251.379264,1631648252.9680576,1800.8597412109375
7,8,1631648252.9704287,1631648254.5673528,1804.3267822265625
8,9,1631648254.5697436,1631648256.1213071,1793.354248046875
9,10,1631648256.1236753,1631648257.7018278,1799.7498779296875
10,11,1631648257.7042117,1631648259.2296073,1799.5003662109375
11,12,1631648259.2319925,1631648260.791529,1801.0577392578125
12,13,1631648260.7939353,1631648262.4620025,1798.4166259765625
13,14,1631648262.4644861,1631648264.0686905,1796.126953125
14,15,1631648264.0711415,1631648265.6754076,1800.1240234375
15,16,1631648265.6778002,1631648267.2992191,1798.9776611328125
16,17,1631648267.301676,1631648268.898148,1801.168212890625
17,18,1631648268.9005778,1631648270.5920882,1804.1505126953125
18,19,1631648270.5945954,1631648272.1985638,1799.5528564453125
19,20,1631648272.2010562,1631648273.8062904,1812.2237548828125
20,21,1631648273.8087103,1631648275.394853,1801.6414794921875
21,22,1631648275.3972335,1631648276.992605,1800.224365234375
22,23,1631648276.9950016,1631648278.6098018,1802.8743896484375
23,24,1631648278.6122468,1631648280.201608,1805.6595458984375
24,25,1631648280.2044685,1631648281.7904782,1809.2625732421875
25,26,1631648281.7928524,1631648283.3817906,1802.1014404296875
26,27,1631648283.3841326,1631648284.9750254,1793.9169921875
27,28,1631648284.9773479,1631648286.5731907,1797.970458984375
28,29,1631648286.5755687,1631648288.1978824,1803.499755859375
29,30,1631648288.2002642,1631648289.814691,1799.4095458984375
30,31,1631648289.8170593,1631648291.4105864,1803.700439453125
31,32,1631648291.4129467,1631648292.9988465,1806.225341796875
32,33,1631648293.0011656,1631648294.605585,1794.4927978515625
33,34,1631648294.6079857,1631648296.220773,1803.0985107421875
34,35,1631648296.2231793,1631648297.8275068,1799.6336669921875
35,36,1631648297.829887,1631648299.4592848,1792.227783203125
