,pop_size,F,CR,mse
0,2,0.0,0.0,[1757.02648926]
1,2,0.0,0.15,[1754.91259766]
2,2,0.0,0.3,[1840.09399414]
3,2,0.0,0.45,[1769.61364746]
4,2,0.0,0.6,[1757.43579102]
5,2,0.0,0.75,[1730.61437988]
6,2,0.0,0.9,[1809.90771484]
7,2,0.0,1.0,[1840.21923828]
8,2,0.15,0.0,[1745.40917969]
9,2,0.15,0.15,[1759.31787109]
10,2,0.15,0.3,[1839.03564453]
11,2,0.15,0.45,[1839.98522949]
12,2,0.15,0.6,[1808.27429199]
13,2,0.15,0.75,[1772.25964355]
14,2,0.15,0.9,[1839.33508301]
15,2,0.15,1.0,[1838.6027832]
16,2,0.3,0.0,[1769.03625488]
17,2,0.3,0.15,[1838.35656738]
18,2,0.3,0.3,[1840.45629883]
19,2,0.3,0.45,[1837.88879395]
20,2,0.3,0.6,[1808.74975586]
21,2,0.3,0.75,[1740.98413086]
22,2,0.3,0.9,[1839.24829102]
23,2,0.3,1.0,[1836.09240723]
24,2,0.45,0.0,[1775.14257812]
25,2,0.45,0.15,[1763.38464355]
26,2,0.45,0.3,[1840.0982666]
27,2,0.45,0.45,[1840.62744141]
28,2,0.45,0.6,[1839.03601074]
29,2,0.45,0.75,[1810.08544922]
30,2,0.45,0.9,[1839.43286133]
31,2,0.45,1.0,[1837.453125]
32,2,0.6,0.0,[1776.65783691]
33,2,0.6,0.15,[1782.42834473]
34,2,0.6,0.3,[1793.57092285]
35,2,0.6,0.45,[1839.77661133]
36,2,0.6,0.6,[1750.92651367]
37,2,0.6,0.75,[1810.45922852]
38,2,0.6,0.9,[1775.51464844]
39,2,0.6,1.0,[1841.10620117]
40,2,0.75,0.0,[1811.95935059]
41,2,0.75,0.15,[1790.84326172]
42,2,0.75,0.3,[1840.48962402]
43,2,0.75,0.45,[1838.18249512]
44,2,0.75,0.6,[1839.10852051]
45,2,0.75,0.75,[1840.99853516]
46,2,0.75,0.9,[1839.33178711]
47,2,0.75,1.0,[1840.0045166]
48,2,0.9,0.0,[1754.4720459]
49,2,0.9,0.15,[1793.06396484]
50,2,0.9,0.3,[1839.25109863]
51,2,0.9,0.45,[1838.75012207]
52,2,0.9,0.6,[1838.26672363]
53,2,0.9,0.75,[1838.35534668]
54,2,0.9,0.9,[1839.10913086]
55,2,0.9,1.0,[1838.33007812]
56,2,1.0,0.0,[1771.13574219]
57,2,1.0,0.15,[1742.625]
58,2,1.0,0.3,[1764.93273926]
59,2,1.0,0.45,[1780.48999023]
60,2,1.0,0.6,[1724.9609375]
61,2,1.0,0.75,[1838.24182129]
62,2,1.0,0.9,[1839.45690918]
63,2,1.0,1.0,[1840.24841309]
64,5,0.0,0.0,[1788.56652832]
65,5,0.0,0.15,[1793.49060059]
66,5,0.0,0.3,[1798.34619141]
67,5,0.0,0.45,[1737.71044922]
68,5,0.0,0.6,[1792.95288086]
69,5,0.0,0.75,[1792.61572266]
70,5,0.0,0.9,[1790.76745605]
71,5,0.0,1.0,[1793.80822754]
72,5,0.15,0.0,[1765.015625]
73,5,0.15,0.15,[1793.13452148]
74,5,0.15,0.3,[1791.5435791]
75,5,0.15,0.45,[1791.56591797]
76,5,0.15,0.6,[1795.57312012]
77,5,0.15,0.75,[1767.72875977]
78,5,0.15,0.9,[1793.07397461]
79,5,0.15,1.0,[1792.63098145]
80,5,0.3,0.0,[1737.67163086]
81,5,0.3,0.15,[1793.24938965]
82,5,0.3,0.3,[1746.71716309]
83,5,0.3,0.45,[1782.92150879]
84,5,0.3,0.6,[1772.69873047]
85,5,0.3,0.75,[1790.79785156]
86,5,0.3,0.9,[1791.65917969]
87,5,0.3,1.0,[1790.80273438]
88,5,0.45,0.0,[1796.45959473]
89,5,0.45,0.15,[1780.06518555]
90,5,0.45,0.3,[1790.5213623]
91,5,0.45,0.45,[1785.82800293]
92,5,0.45,0.6,[1789.68164062]
93,5,0.45,0.75,[1771.88586426]
94,5,0.45,0.9,[1784.76196289]
95,5,0.45,1.0,[1790.91699219]
96,5,0.6,0.0,[1793.48681641]
97,5,0.6,0.15,[1784.41711426]
98,5,0.6,0.3,[1786.50598145]
99,5,0.6,0.45,[1793.23522949]
100,5,0.6,0.6,[1726.92236328]
101,5,0.6,0.75,[1792.02294922]
102,5,0.6,0.9,[1791.61218262]
103,5,0.6,1.0,[1786.28271484]
104,5,0.75,0.0,[1762.42480469]
105,5,0.75,0.15,[1791.75378418]
106,5,0.75,0.3,[1793.13244629]
107,5,0.75,0.45,[1794.36816406]
108,5,0.75,0.6,[1794.0604248]
109,5,0.75,0.75,[1793.52392578]
110,5,0.75,0.9,[1791.28759766]
111,5,0.75,1.0,[1790.76965332]
112,5,0.9,0.0,[1749.99719238]
113,5,0.9,0.15,[1793.92333984]
114,5,0.9,0.3,[1751.55102539]
115,5,0.9,0.45,[1783.04077148]
116,5,0.9,0.6,[1792.86083984]
117,5,0.9,0.75,[1790.89331055]
118,5,0.9,0.9,[1793.63586426]
119,5,0.9,1.0,[1793.71069336]
120,5,1.0,0.0,[1782.68212891]
121,5,1.0,0.15,[1796.92443848]
122,5,1.0,0.3,[1774.5333252]
123,5,1.0,0.45,[1753.66442871]
124,5,1.0,0.6,[1792.70019531]
125,5,1.0,0.75,[1792.50744629]
126,5,1.0,0.9,[1794.15161133]
127,5,1.0,1.0,[1791.95507812]
128,10,0.0,0.0,[1793.24401855]
129,10,0.0,0.15,[1793.64550781]
130,10,0.0,0.3,[1772.80786133]
131,10,0.0,0.45,[1797.22509766]
132,10,0.0,0.6,[1794.77099609]
133,10,0.0,0.75,[1773.80126953]
134,10,0.0,0.9,[1791.37231445]
135,10,0.0,1.0,[1736.58813477]
136,10,0.15,0.0,[1791.10253906]
137,10,0.15,0.15,[1777.39196777]
138,10,0.15,0.3,[1778.44030762]
139,10,0.15,0.45,[1792.0201416]
140,10,0.15,0.6,[1796.55603027]
141,10,0.15,0.75,[1795.84960938]
142,10,0.15,0.9,[1793.15063477]
143,10,0.15,1.0,[1793.02368164]
144,10,0.3,0.0,[1792.98278809]
145,10,0.3,0.15,[1718.24951172]
146,10,0.3,0.3,[1796.48120117]
147,10,0.3,0.45,[1790.90063477]
148,10,0.3,0.6,[1797.41223145]
149,10,0.3,0.75,[1787.98266602]
150,10,0.3,0.9,[1794.00305176]
151,10,0.3,1.0,[1793.12683105]
152,10,0.45,0.0,[1796.79309082]
153,10,0.45,0.15,[1794.12548828]
154,10,0.45,0.3,[1797.79284668]
155,10,0.45,0.45,[1785.17590332]
156,10,0.45,0.6,[1792.14660645]
157,10,0.45,0.75,[1795.78015137]
158,10,0.45,0.9,[1794.29675293]
159,10,0.45,1.0,[1794.17175293]
160,10,0.6,0.0,[1791.16186523]
161,10,0.6,0.15,[1794.21606445]
162,10,0.6,0.3,[1788.85925293]
163,10,0.6,0.45,[1793.85107422]
164,10,0.6,0.6,[1796.20837402]
165,10,0.6,0.75,[1793.55126953]
