,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.5,4,53,95,60,91,17
1,lstm,0.1,0.8,4,69,96,52,71,34
2,mlp,0.0001,0.3,2,90,45,69,44,64
3,lstm,0.1,0.5,4,53,45,69,44,17
4,lstm,0.1,0.0,5,61,71,89,37,42
5,lstm,0.1,0.0,5,61,71,89,37,42
6,lstm,0.1,0.0,5,61,71,89,37,42
7,lstm,0.1,0.0,5,61,71,89,37,42
8,lstm,0.1,0.8,4,69,96,52,71,34
9,lstm,0.1,0.0,5,61,71,73,68,64
10,lstm,0.1,0.8,4,69,96,52,71,34
11,lstm,0.1,0.0,5,61,71,84,37,42
12,lstm,0.1,0.0,5,99,71,73,74,64
13,lstm,0.1,0.5,5,61,12,22,24,42
14,lstm,0.1,0.5,4,61,71,69,47,71
15,lstm,0.1,0.0,5,61,71,89,37,42
16,lstm,0.1,0.4,4,54,96,60,92,17
17,lstm,0.1,0.5,4,61,71,69,47,71
