,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631654105.5949028,1631654105.8479037,2291.239990234375
1,2,1,1631654105.8483305,1631654105.865813,2319.034912109375
2,3,1,1631654105.8659673,1631654106.3869371,2273.058349609375
3,4,1,1631654106.3877897,1631654106.937332,2276.55615234375
4,5,1,1631654106.9383478,1631654106.962566,2298.18994140625
5,6,1,1631654106.9627311,1631654107.1937997,2298.975341796875
6,7,1,1631654107.1942232,1631654107.9540348,2289.807373046875
7,8,1,1631654107.955476,1631654108.7728343,2271.974853515625
8,9,1,1631654108.773994,1631654109.9239748,2294.626953125
9,10,1,1631654109.9260025,1631654109.943943,2352.490478515625
10,11,2,1631654109.9461758,1631654109.9627473,2325.46875
11,12,2,1631654109.9628994,1631654109.9805806,2323.730224609375
12,13,2,1631654109.9807382,1631654110.5122435,2272.50732421875
13,14,2,1631654110.513054,1631654111.6885684,2292.202880859375
14,15,2,1631654111.6901739,1631654112.457256,2294.1611328125
15,16,2,1631654112.4587233,1631654112.6518896,2293.10791015625
16,17,2,1631654112.6522722,1631654113.3123353,2280.034912109375
17,18,2,1631654113.3135104,1631654113.3316743,2335.16748046875
18,19,2,1631654113.3318324,1631654114.6914465,2273.480224609375
19,20,2,1631654114.6937687,1631654114.7087631,2499.693115234375
20,21,3,1631654114.7112584,1631654114.7285345,2332.58251953125
21,22,3,1631654114.7286897,1631654114.7456856,2288.369140625
22,23,3,1631654114.7458434,1631654114.9961429,2298.92333984375
23,24,3,1631654114.9966075,1631654116.1020176,2297.41162109375
24,25,3,1631654116.1035597,1631654116.6262388,2271.93603515625
25,26,3,1631654116.6270869,1631654116.817466,2293.262939453125
26,27,3,1631654116.8178506,1631654117.2831469,2275.791259765625
27,28,3,1631654117.2840397,1631654118.1109622,2273.849365234375
28,29,3,1631654118.112153,1631654119.4160147,2276.73388671875
29,30,3,1631654119.4180787,1631654120.7784858,2272.300048828125
30,31,4,1631654120.7831526,1631654122.1256027,2273.645751953125
31,32,4,1631654122.127453,1631654122.1444142,2326.50146484375
32,33,4,1631654122.14459,1631654122.6040206,2272.583984375
33,34,4,1631654122.6050632,1631654123.9243813,2298.25927734375
34,35,4,1631654123.9265113,1631654123.9450817,2319.55908203125
35,36,4,1631654123.9452627,1631654124.1359468,2296.319091796875
36,37,4,1631654124.1363318,1631654124.627447,2279.521240234375
37,38,4,1631654124.628378,1631654124.653905,2310.69140625
38,39,4,1631654124.6540678,1631654125.132567,2294.201171875
39,40,4,1631654125.1334867,1631654126.4787042,2272.801513671875
40,41,5,1631654126.4833364,1631654127.8291988,2272.292236328125
41,42,5,1631654127.831209,1631654127.8487055,2559.98193359375
42,43,5,1631654127.8488748,1631654128.4006588,2289.826416015625
43,44,5,1631654128.4017136,1631654128.953402,2285.400390625
44,45,5,1631654128.9544318,1631654129.4752893,2272.002685546875
45,46,5,1631654129.476375,1631654130.6857798,2293.22998046875
46,47,5,1631654130.6881912,1631654131.4109113,2279.289794921875
47,48,5,1631654131.4123294,1631654132.173819,2275.4287109375
48,49,5,1631654132.17502,1631654132.3660774,2300.51513671875
49,50,5,1631654132.3664653,1631654133.7283003,2274.0322265625
50,51,6,1631654133.7339861,1631654134.2197897,2272.345947265625
51,52,6,1631654134.22057,1631654134.2390363,2287.681884765625
52,53,6,1631654134.2391977,1631654134.6688397,2279.204345703125
53,54,6,1631654134.6696832,1631654135.2868233,2294.307861328125
54,55,6,1631654135.287899,1631654136.1774592,2271.95849609375
55,56,6,1631654136.1786575,1631654137.5107765,2271.855712890625
56,57,6,1631654137.5126648,1631654137.9784803,2278.1591796875
57,58,6,1631654137.9794273,1631654138.8986657,2271.087646484375
58,59,6,1631654138.900107,1631654140.4780028,2295.2685546875
59,60,6,1631654140.480501,1631654141.637355,2277.7333984375
60,61,7,1631654141.6421385,1631654142.98769,2273.809814453125
61,62,7,1631654142.98971,1631654143.4558105,2278.951171875
62,63,7,1631654143.4567533,1631654144.2189727,2277.912841796875
63,64,7,1631654144.2204921,1631654145.5842829,2273.73193359375
64,65,7,1631654145.5866277,1631654146.085883,2272.39501953125
65,66,7,1631654146.0870051,1631654147.2905548,2272.1826171875
66,67,7,1631654147.2924142,1631654147.7580624,2284.34423828125
67,68,7,1631654147.7589893,1631654147.7735922,6121.5556640625
68,69,7,1631654147.7737494,1631654149.1360118,2273.07666015625
69,70,7,1631654149.1381962,1631654150.4558644,2271.727294921875
70,71,8,1631654150.460601,1631654151.8081534,2271.80322265625
71,72,8,1631654151.8101695,1631654152.398958,2273.18603515625
72,73,8,1631654152.3999226,1631654153.6731234,2276.7939453125
73,74,8,1631654153.6754644,1631654154.174539,2272.73681640625
74,75,8,1631654154.1754277,1631654154.6930518,2275.685546875
75,76,8,1631654154.693932,1631654155.6769452,2284.262939453125
76,77,8,1631654155.6787806,1631654156.1442938,2282.319580078125
77,78,8,1631654156.1452093,1631654156.5013702,2277.7275390625
78,79,8,1631654156.501988,1631654156.8150704,2272.015625
79,80,8,1631654156.8155906,1631654157.9474912,2272.085693359375
80,81,9,1631654157.9518678,1631654159.2725377,2282.735595703125
81,82,9,1631654159.2745526,1631654159.875577,2272.478515625
82,83,9,1631654159.8767154,1631654160.330396,2285.7109375
83,84,9,1631654160.3313124,1631654161.023946,2272.66845703125
84,85,9,1631654161.025961,1631654161.5517673,2273.830078125
85,86,9,1631654161.5526414,1631654162.1732376,2272.1982421875
86,87,9,1631654162.174151,1631654162.6412854,2287.931396484375
87,88,9,1631654162.6421914,1631654163.4635649,2272.896240234375
88,89,9,1631654163.4649065,1631654163.9279819,2271.698974609375
89,90,9,1631654163.9288092,1631654164.01587,2277.534423828125
90,91,10,1631654164.019521,1631654164.52266,2273.618408203125
91,92,10,1631654164.5234048,1631654165.1033647,2275.336181640625
92,93,10,1631654165.1042957,1631654166.5561676,2273.15380859375
93,94,10,1631654166.5584147,1631654167.8053792,2275.099365234375
94,95,10,1631654167.807362,1631654168.3251092,2271.98828125
95,96,10,1631654168.3262265,1631654169.639775,2271.8095703125
96,97,10,1631654169.6418803,1631654170.7121766,2271.70947265625
97,98,10,1631654170.7138789,1631654171.239946,2272.08642578125
98,99,10,1631654171.2408068,1631654172.6166449,2274.327392578125
99,100,10,1631654172.6188989,1631654173.9286892,2274.24853515625
100,101,11,1631654173.9331787,1631654175.2707493,2271.92138671875
101,102,11,1631654175.2725909,1631654175.8501084,2272.351806640625
102,103,11,1631654175.851072,1631654176.4079862,2273.987060546875
103,104,11,1631654176.4088874,1631654177.1495266,2273.38427734375
104,105,11,1631654177.1506186,1631654178.266818,2275.998779296875
105,106,11,1631654178.268451,1631654179.5777369,2272.2822265625
106,107,11,1631654179.5800025,1631654180.758701,2273.837158203125
107,108,11,1631654180.7605274,1631654181.2829971,2273.927734375
108,109,11,1631654181.2838764,1631654182.574654,2272.529052734375
109,110,11,1631654182.5767503,1631654183.2295952,2274.065673828125
110,111,12,1631654183.2329433,1631654183.8952518,2273.67626953125
111,112,12,1631654183.8962278,1631654185.0090847,2271.965087890625
112,113,12,1631654185.0108728,1631654186.300255,2289.41015625
113,114,12,1631654186.302356,1631654187.1170914,2272.122314453125
114,115,12,1631654187.1182113,1631654187.6460729,2273.661865234375
115,116,12,1631654187.6469455,1631654188.958745,2275.35107421875
116,117,12,1631654188.9608676,1631654189.9439452,2271.863037109375
117,118,12,1631654189.945622,1631654190.7682133,2274.43408203125
118,119,12,1631654190.769806,1631654191.228633,2272.023193359375
119,120,12,1631654191.229422,1631654191.7533705,2272.7783203125
120,121,13,1631654191.756651,1631654192.2563329,2273.713623046875
121,122,13,1631654192.25711,1631654192.9341109,2272.21142578125
122,123,13,1631654192.9352064,1631654194.025364,2272.6279296875
123,124,13,1631654194.0273094,1631654195.4523149,2271.760009765625
124,125,13,1631654195.4543736,1631654196.6919785,2272.944091796875
125,126,13,1631654196.693873,1631654197.9549253,2286.63427734375
126,127,13,1631654197.9570508,1631654198.874416,2271.9345703125
127,128,13,1631654198.8760662,1631654199.6466265,2271.87353515625
