,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,5,34,71,89,90,12
1,lstm,0.1,0.5,4,53,95,60,91,17
2,lstm,0.1,0.8,5,34,71,89,90,12
3,lstm,0.1,0.5,5,42,68,74,82,32
4,lstm,0.1,0.5,4,53,95,60,91,17
5,lstm,0.1,0.5,4,53,95,60,91,17
6,lstm,0.1,0.8,5,34,71,89,90,12
7,lstm,0.1,0.7,5,34,70,86,88,14
8,lstm,0.1,0.5,4,43,72,71,83,29
9,lstm,0.1,0.3,3,59,99,48,88,25
10,lstm,0.1,0.7,4,43,89,75,94,5
11,lstm,0.1,0.5,4,48,84,65,87,22
12,lstm,0.1,0.8,5,32,72,91,92,7
13,lstm,0.1,0.1,3,59,92,45,83,34
14,lstm,0.1,0.8,5,27,56,95,84,18
15,lstm,0.1,0.7,4,41,85,77,93,6
16,lstm,0.1,0.8,5,34,71,89,90,12
17,lstm,0.1,0.6,5,42,77,72,85,20
