,iteration,start_time,end_time,val_mse
0,1,1631642302.9099965,1631642303.308178,2296.67236328125
1,2,1631642303.3097522,1631642303.5993705,2300.372314453125
2,3,1631642303.6008844,1631642303.8900077,2291.627685546875
3,4,1631642303.891434,1631642304.1743605,2299.947021484375
4,5,1631642304.175653,1631642304.450082,2291.10205078125
5,6,1631642304.4514265,1631642304.7263393,2295.331298828125
6,7,1631642304.7276857,1631642305.0018854,2301.2080078125
7,8,1631642305.0031734,1631642305.2786398,2297.96826171875
8,9,1631642305.2799299,1631642305.553796,2298.692138671875
9,10,1631642305.5550818,1631642305.8284104,2301.466552734375
10,11,1631642305.8297513,1631642306.1038063,2301.02490234375
11,12,1631642306.1050975,1631642306.378675,2292.021728515625
12,13,1631642306.3800185,1631642306.6538508,2292.171142578125
13,14,1631642306.655198,1631642306.9291108,2288.2509765625
14,15,1631642306.930515,1631642307.2043521,2292.0634765625
15,16,1631642307.2056563,1631642307.4799392,2292.214599609375
16,17,1631642307.4812815,1631642307.7550206,2296.2138671875
17,18,1631642307.7563686,1631642308.0299642,2279.080078125
18,19,1631642308.0313644,1631642308.3051293,2295.1181640625
19,20,1631642308.3064759,1631642308.581259,2293.519775390625
20,21,1631642308.5825593,1631642308.8566666,2294.870361328125
21,22,1631642308.8580155,1631642309.1318517,2293.796875
22,23,1631642309.1331944,1631642309.4069946,2284.360107421875
23,24,1631642309.408344,1631642309.6826644,2291.3193359375
24,25,1631642309.684014,1631642309.9583766,2299.9091796875
25,26,1631642309.9596782,1631642310.2339165,2291.252197265625
26,27,1631642310.2352595,1631642310.509775,2298.29150390625
27,28,1631642310.5110667,1631642310.785317,2289.7509765625
28,29,1631642310.786729,1631642311.060797,2299.331787109375
29,30,1631642311.0621438,1631642311.3366978,2293.03369140625
30,31,1631642311.3379874,1631642311.6119258,2295.89306640625
31,32,1631642311.613268,1631642311.8873205,2301.159912109375
32,33,1631642311.8886216,1631642312.1637633,2296.94091796875
33,34,1631642312.1651216,1631642312.4399,2294.06884765625
34,35,1631642312.4412513,1631642312.7164907,2292.581787109375
35,36,1631642312.7178326,1631642312.992049,2297.91259765625
36,37,1631642312.9933448,1631642313.2681735,2298.878662109375
37,38,1631642313.269471,1631642313.544359,2296.7978515625
38,39,1631642313.5456612,1631642313.8200345,2296.220458984375
39,40,1631642313.8213267,1631642314.0965946,2291.696533203125
40,41,1631642314.0978947,1631642314.3731773,2296.589599609375
41,42,1631642314.3744738,1631642314.653936,2297.426513671875
42,43,1631642314.6562219,1631642314.9325986,2295.592529296875
43,44,1631642314.9339535,1631642315.208804,2299.667236328125
44,45,1631642315.2100968,1631642315.485032,2301.217529296875
45,46,1631642315.486326,1631642315.7617419,2289.347412109375
46,47,1631642315.763093,1631642316.0382059,2278.9638671875
47,48,1631642316.0396304,1631642316.3149116,2297.03515625
48,49,1631642316.3162112,1631642316.591626,2298.447509765625
49,50,1631642316.5929797,1631642316.8682854,2296.923095703125
50,51,1631642316.869667,1631642317.144628,2300.68896484375
51,52,1631642317.145977,1631642317.4211996,2302.638427734375
52,53,1631642317.4225516,1631642317.6976724,2299.2158203125
53,54,1631642317.6989663,1631642317.9746172,2301.314697265625
54,55,1631642317.9759295,1631642318.2516103,2297.09228515625
55,56,1631642318.2529602,1631642318.5282402,2294.4150390625
56,57,1631642318.5295396,1631642318.8049374,2293.974365234375
57,58,1631642318.8062832,1631642319.0813274,2292.952392578125
58,59,1631642319.0826845,1631642319.3578715,2251.587890625
59,60,1631642319.3592234,1631642319.6344163,2290.545654296875
60,61,1631642319.6357248,1631642319.9113915,2299.0888671875
61,62,1631642319.9127245,1631642320.188212,2293.329345703125
62,63,1631642320.1895647,1631642320.4650724,2281.962646484375
63,64,1631642320.4664226,1631642320.7418442,2267.256103515625
64,65,1631642320.7432544,1631642321.018433,2297.68896484375
65,66,1631642321.0197885,1631642321.2953546,2295.6298828125
66,67,1631642321.2967107,1631642321.5718231,2299.9912109375
67,68,1631642321.5731683,1631642321.848809,2298.907470703125
68,69,1631642321.8501601,1631642322.1257203,2298.533447265625
69,70,1631642322.1270113,1631642322.4025664,2292.579345703125
70,71,1631642322.404028,1631642322.6798599,2293.559326171875
71,72,1631642322.6812046,1631642322.9566958,2300.35498046875
72,73,1631642322.9580402,1631642323.23362,2271.32763671875
73,74,1631642323.2350247,1631642323.5107627,2296.958984375
74,75,1631642323.5121062,1631642323.8658895,2291.934814453125
75,76,1631642323.8672814,1631642324.143653,2296.29443359375
76,77,1631642324.145032,1631642324.4231815,2294.605712890625
77,78,1631642324.4246395,1631642324.7004454,2292.273193359375
78,79,1631642324.7018316,1631642324.977399,2293.414306640625
79,80,1631642324.9787493,1631642325.2544346,2295.32666015625
80,81,1631642325.2557886,1631642325.531529,2289.906494140625
81,82,1631642325.532879,1631642325.8086355,2291.739501953125
82,83,1631642325.80998,1631642326.0856078,2293.963623046875
83,84,1631642326.086897,1631642326.3629854,2302.26416015625
84,85,1631642326.36428,1631642326.6405408,2296.526611328125
85,86,1631642326.641831,1631642326.9187899,2301.69873046875
86,87,1631642326.920204,1631642327.1960623,2296.907958984375
87,88,1631642327.1974099,1631642327.4737606,2293.796875
88,89,1631642327.4750566,1631642327.7514248,2301.041748046875
89,90,1631642327.7527332,1631642328.028794,2295.685302734375
