,iteration,start_time,end_time,val_mse
0,1,1631644965.1632216,1631644965.44671,2293.526611328125
1,2,1631644965.447986,1631644966.6311555,2294.069091796875
2,3,1631644966.6341166,1631644967.1373277,2297.260009765625
3,4,1631644967.1390717,1631644969.280048,2298.012451171875
4,5,1631644969.283679,1631644970.5872402,2292.9296875
5,6,1631644970.5893214,1631644972.6668825,2292.72265625
6,7,1631644972.671034,1631644974.8853424,2293.49853515625
7,8,1631644974.8889124,1631644977.020156,2296.61083984375
8,9,1631644977.0237932,1631644979.2411742,2293.42919921875
9,10,1631644979.2442973,1631644981.520148,2294.190185546875
10,11,1631644981.523842,1631644983.352496,2292.087646484375
11,12,1631644983.3550642,1631644984.663154,2293.570068359375
12,13,1631644984.6656141,1631644986.2276978,2292.7197265625
13,14,1631644986.2301745,1631644987.8062375,2294.320556640625
14,15,1631644987.8087983,1631644988.847619,2292.26513671875
15,16,1631644988.849899,1631644989.882094,2295.7744140625
16,17,1631644989.8843307,1631644990.9192064,2298.820556640625
17,18,1631644990.9214833,1631644992.0420706,2295.78466796875
18,19,1631644992.0445306,1631644993.0758185,2291.923095703125
19,20,1631644993.0780845,1631644994.1010368,2294.025634765625
20,21,1631644994.103298,1631644995.1229224,2292.3642578125
21,22,1631644995.1252463,1631644996.160949,2293.3720703125
22,23,1631644996.1632607,1631644997.2120993,2296.55712890625
23,24,1631644997.214337,1631644998.2344847,2294.437255859375
24,25,1631644998.236699,1631644999.2690954,2296.704345703125
25,26,1631644999.2712965,1631645000.3038573,2290.895263671875
26,27,1631645000.3060637,1631645001.3335755,2298.157958984375
27,28,1631645001.3359275,1631645002.3869655,2294.80712890625
28,29,1631645002.3899899,1631645003.4185376,2293.185302734375
29,30,1631645003.4207766,1631645004.4471424,2294.16845703125
30,31,1631645004.4493916,1631645005.4714084,2291.618408203125
31,32,1631645005.473658,1631645006.5013514,2294.744873046875
32,33,1631645006.5035899,1631645007.5313234,2299.793701171875
33,34,1631645007.5335743,1631645008.5913067,2292.322509765625
34,35,1631645008.5935636,1631645009.639306,2296.458740234375
35,36,1631645009.6415524,1631645010.6737666,2292.388916015625
36,37,1631645010.6760106,1631645011.711625,2296.583984375
37,38,1631645011.7138288,1631645012.7541962,2295.715576171875
38,39,1631645012.7564428,1631645013.7988603,2297.199462890625
39,40,1631645013.8011024,1631645014.8362155,2290.529052734375
40,41,1631645014.8385303,1631645015.8759983,2296.7607421875
41,42,1631645015.8782322,1631645016.9248242,2298.591064453125
42,43,1631645016.9271388,1631645017.961912,2291.629150390625
43,44,1631645017.9640973,1631645019.0029402,2296.630126953125
44,45,1631645019.0051517,1631645020.036554,2297.686279296875
45,46,1631645020.03885,1631645021.0719137,2292.36181640625
46,47,1631645021.0741212,1631645022.1092048,2295.285888671875
47,48,1631645022.11139,1631645023.1477349,2293.66064453125
48,49,1631645023.14991,1631645024.1898603,2294.5048828125
49,50,1631645024.1920738,1631645025.2262514,2293.77783203125
50,51,1631645025.228427,1631645026.2493026,2295.243408203125
51,52,1631645026.2514741,1631645027.2716563,2293.319580078125
52,53,1631645027.2738533,1631645028.2981894,2294.14208984375
53,54,1631645028.300405,1631645029.324803,2292.4638671875
54,55,1631645029.3269775,1631645030.3518188,2297.365234375
55,56,1631645030.3539958,1631645031.3789546,2298.023193359375
56,57,1631645031.3811338,1631645032.4255927,2295.55859375
57,58,1631645032.4285536,1631645033.4877605,2302.333984375
58,59,1631645033.4900646,1631645034.5230863,2291.21826171875
59,60,1631645034.5253053,1631645035.5494738,2296.516357421875
60,61,1631645035.5516844,1631645036.5868516,2293.773193359375
61,62,1631645036.5890555,1631645037.611161,2290.214599609375
62,63,1631645037.6133711,1631645038.6491082,2293.927001953125
63,64,1631645038.6513429,1631645039.6885836,2297.868408203125
64,65,1631645039.6907678,1631645040.7200341,2292.158935546875
65,66,1631645040.722216,1631645041.7715917,2292.833984375
66,67,1631645041.7738001,1631645042.8071597,2295.260009765625
67,68,1631645042.809328,1631645043.8500178,2291.165283203125
68,69,1631645043.8522272,1631645044.877493,2292.323486328125
69,70,1631645044.8796864,1631645045.923233,2296.541015625
70,71,1631645045.9254527,1631645046.9506905,2295.970703125
71,72,1631645046.9528952,1631645047.9857612,2294.343505859375
72,73,1631645047.9879713,1631645049.0169506,2295.29296875
73,74,1631645049.0192082,1631645050.0598862,2296.34228515625
74,75,1631645050.062106,1631645051.09568,2298.751708984375
75,76,1631645051.0979874,1631645052.1351328,2294.553955078125
76,77,1631645052.137377,1631645053.1756365,2297.89697265625
77,78,1631645053.1778536,1631645054.2090166,2294.092529296875
78,79,1631645054.2112134,1631645055.2403738,2292.56103515625
79,80,1631645055.2425992,1631645056.269643,2290.72802734375
80,81,1631645056.2718341,1631645057.2978022,2292.6796875
81,82,1631645057.299979,1631645058.3452435,2292.162353515625
82,83,1631645058.347419,1631645059.3796868,2292.2412109375
83,84,1631645059.3819149,1631645060.422486,2298.5009765625
84,85,1631645060.424675,1631645061.4452708,2292.73974609375
85,86,1631645061.4475017,1631645062.49252,2294.447509765625
86,87,1631645062.4954655,1631645063.5234537,2297.15869140625
87,88,1631645063.5256722,1631645064.5618854,2291.02587890625
88,89,1631645064.5641031,1631645065.600096,2293.671875
89,90,1631645065.6023314,1631645066.6347358,2297.874755859375
