,iteration,start_time,end_time,val_mse
0,1,1631645108.2813585,1631645108.5514965,2299.052001953125
1,2,1631645108.552696,1631645109.8185437,2295.391357421875
2,3,1631645109.8252032,1631645111.0840473,2291.937744140625
3,4,1631645111.0869884,1631645112.3814766,2290.90576171875
4,5,1631645112.3843129,1631645113.677735,2291.771240234375
5,6,1631645113.6809368,1631645114.9707031,2297.73291015625
6,7,1631645114.9738224,1631645116.2627988,2296.027099609375
7,8,1631645116.265909,1631645117.5556426,2292.6630859375
8,9,1631645117.5588295,1631645119.724235,2290.959716796875
9,10,1631645119.7272606,1631645120.8987684,2290.3408203125
10,11,1631645120.9015892,1631645122.0744996,2294.535888671875
11,12,1631645122.0774093,1631645122.6143343,2294.9072265625
12,13,1631645122.6161323,1631645123.7856731,2297.5341796875
13,14,1631645123.7890382,1631645124.9551783,2297.38916015625
14,15,1631645124.9580739,1631645126.843513,2294.466064453125
15,16,1631645126.8463354,1631645127.87753,2290.85400390625
16,17,1631645127.8802562,1631645129.7263286,2292.8310546875
17,18,1631645129.72931,1631645130.282279,2293.83056640625
18,19,1631645130.2841585,1631645131.4559934,2291.06396484375
19,20,1631645131.4589798,1631645131.9628148,2291.855712890625
20,21,1631645131.9645634,1631645133.135658,2295.350341796875
21,22,1631645133.1386256,1631645135.020288,2293.0185546875
22,23,1631645135.0232122,1631645136.189391,2298.714599609375
23,24,1631645136.192074,1631645137.4488559,2294.8759765625
24,25,1631645137.4509027,1631645138.61756,2292.929443359375
25,26,1631645138.6205356,1631645139.7912092,2293.595458984375
26,27,1631645139.794198,1631645140.9659333,2294.90283203125
27,28,1631645140.968892,1631645142.141216,2298.430908203125
28,29,1631645142.1443417,1631645143.4525692,2300.615966796875
29,30,1631645143.4555478,1631645144.530119,2299.593505859375
30,31,1631645144.5328991,1631645145.7056272,2293.687255859375
31,32,1631645145.7086966,1631645147.5966523,2296.741455078125
32,33,1631645147.5995939,1631645149.434178,2293.214599609375
33,34,1631645149.4372408,1631645150.6820018,2297.295166015625
34,35,1631645150.6848202,1631645151.8549805,2296.69384765625
35,36,1631645151.8579907,1631645153.0036993,2296.765625
36,37,1631645153.0073175,1631645154.1750214,2292.24853515625
37,38,1631645154.1778033,1631645155.2621977,2296.776611328125
38,39,1631645155.2650096,1631645156.5497553,2293.015869140625
39,40,1631645156.552753,1631645157.7183151,2293.107666015625
40,41,1631645157.7211711,1631645159.5270927,2293.001953125
41,42,1631645159.5300019,1631645160.7015097,2293.462158203125
42,43,1631645160.7043433,1631645161.741136,2293.998046875
43,44,1631645161.7437594,1631645162.914808,2293.630126953125
44,45,1631645162.9178514,1631645163.4292693,2292.626953125
45,46,1631645163.4310253,1631645164.6497705,2296.14501953125
46,47,1631645164.652573,1631645165.8213897,2292.4951171875
47,48,1631645165.824329,1631645166.9973435,2299.3427734375
48,49,1631645167.000357,1631645168.0142546,2294.36376953125
49,50,1631645168.0170102,1631645169.860827,2293.541748046875
50,51,1631645169.863922,1631645171.0356476,2295.3974609375
51,52,1631645171.0387099,1631645171.5506423,2290.856201171875
52,53,1631645171.552469,1631645172.8108952,2294.273193359375
53,54,1631645172.8140433,1631645174.0475173,2296.036865234375
54,55,1631645174.0505147,1631645175.216796,2291.728759765625
55,56,1631645175.219883,1631645176.3864543,2297.416748046875
56,57,1631645176.3892744,1631645177.0366752,2293.854248046875
57,58,1631645177.0387943,1631645178.8593976,2293.8505859375
58,59,1631645178.8626308,1631645180.0325222,2291.46923828125
59,60,1631645180.0352814,1631645181.2149181,2294.685791015625
60,61,1631645181.2180812,1631645182.393167,2299.483154296875
61,62,1631645182.3961616,1631645183.6705081,2291.877197265625
62,63,1631645183.6730366,1631645184.8386586,2299.20703125
63,64,1631645184.8416295,1631645186.0081487,2292.76171875
64,65,1631645186.0110528,1631645187.1852431,2292.3212890625
65,66,1631645187.1880841,1631645188.362717,2295.7978515625
66,67,1631645188.3657606,1631645189.535743,2299.140869140625
67,68,1631645189.5388634,1631645190.710293,2293.447509765625
68,69,1631645190.7131674,1631645191.8940954,2298.27099609375
69,70,1631645191.8972144,1631645193.014016,2293.873291015625
70,71,1631645193.0167215,1631645194.243629,2291.8232421875
71,72,1631645194.246416,1631645196.0248802,2292.3125
72,73,1631645196.0278966,1631645197.1945865,2296.423583984375
73,74,1631645197.1977284,1631645198.364585,2294.31884765625
74,75,1631645198.3676534,1631645200.2035692,2297.33251953125
75,76,1631645200.2065074,1631645201.3916836,2295.781494140625
76,77,1631645201.3944502,1631645202.8106813,2294.9697265625
77,78,1631645202.8142924,1631645204.699878,2295.9541015625
78,79,1631645204.7028584,1631645205.8722973,2294.851318359375
79,80,1631645205.8753839,1631645207.0425243,2294.82421875
80,81,1631645207.0456383,1631645208.273475,2298.37451171875
81,82,1631645208.276341,1631645209.446356,2293.66162109375
82,83,1631645209.4495687,1631645210.6225493,2297.921142578125
83,84,1631645210.6255941,1631645211.7970102,2297.891357421875
84,85,1631645211.800083,1631645212.889997,2292.772705078125
85,86,1631645212.8926907,1631645214.0689824,2291.435546875
86,87,1631645214.0722864,1631645215.244292,2293.000244140625
87,88,1631645215.2473562,1631645216.4200315,2290.51953125
88,89,1631645216.4230175,1631645217.593827,2288.32275390625
89,90,1631645217.596907,1631645218.7637827,2290.97607421875
