,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631662921.646336,1631662921.9023705,2297.713134765625
1,2,1,1631662921.9027913,1631662921.9200182,2316.0244140625
2,3,1,1631662921.9201725,1631662922.4359004,2271.471435546875
3,4,1,1631662922.4367244,1631662922.9860687,2283.124267578125
4,5,1,1631662922.9870815,1631662923.0110304,2294.96533203125
5,6,1,1631662923.0111969,1631662923.2425663,2299.732421875
6,7,1,1631662923.2429879,1631662924.001917,2278.260986328125
7,8,1,1631662924.003356,1631662924.8252275,2280.26513671875
8,9,1,1631662924.8264108,1631662925.9782226,2296.5615234375
9,10,1,1631662925.9802365,1631662925.9981592,2295.488525390625
10,11,1,1631662925.9983196,1631662926.702108,2299.256103515625
11,12,1,1631662926.7031631,1631662926.7303164,2381.053955078125
12,13,1,1631662926.7305,1631662926.7451515,2388.41259765625
13,14,1,1631662926.7453048,1631662926.7592,2293.798095703125
14,15,1,1631662926.7593544,1631662926.7774212,2292.22216796875
15,16,1,1631662926.7775846,1631662928.1368725,2292.46728515625
16,17,1,1631662928.1387544,1631662929.1600034,2271.920654296875
17,18,1,1631662929.1614673,1631662929.9075263,2298.10302734375
18,19,1,1631662929.9088323,1631662929.923007,2506.763427734375
19,20,1,1631662929.9232051,1631662929.943793,2306.210693359375
20,21,2,1631662929.9466567,1631662929.9631572,2332.024658203125
21,22,2,1631662929.963309,1631662931.196082,2296.314208984375
22,23,2,1631662931.1980245,1631662931.7241046,2272.205810546875
23,24,2,1631662931.72526,1631662931.7397099,3052.4658203125
24,25,2,1631662931.739865,1631662932.4854872,2295.991455078125
25,26,2,1631662932.4867642,1631662933.5957885,2299.6640625
26,27,2,1631662933.5975652,1631662934.3576746,2285.690673828125
27,28,2,1631662934.3591173,1631662935.019191,2286.997802734375
28,29,2,1631662935.020374,1631662936.1737082,2291.551513671875
29,30,2,1631662936.175741,1631662936.1941307,2312.53857421875
30,31,2,1631662936.1942904,1631662936.8140528,2275.260986328125
31,32,2,1631662936.8150713,1631662936.8298714,2668.14306640625
32,33,2,1631662936.8300228,1631662936.8484874,2324.209228515625
33,34,2,1631662936.848646,1631662936.862637,2775.68359375
34,35,2,1631662936.8627872,1631662936.8807435,2338.63232421875
35,36,2,1631662936.8808985,1631662938.2267241,2294.423828125
36,37,2,1631662938.2285738,1631662939.221646,2272.338134765625
37,38,2,1631662939.223146,1631662939.9742527,2286.6005859375
38,39,2,1631662939.975589,1631662939.989816,2359.486083984375
39,40,2,1631662939.989972,1631662940.0103905,2307.664306640625
40,41,3,1631662940.014159,1631662940.2653563,2296.2568359375
41,42,3,1631662940.2657762,1631662940.2796752,2317.452880859375
42,43,3,1631662940.279827,1631662940.7954621,2271.826171875
43,44,3,1631662940.796286,1631662941.3463867,2286.75732421875
44,45,3,1631662941.3474073,1631662941.372157,2300.042236328125
45,46,3,1631662941.372322,1631662942.3535497,2298.116943359375
46,47,3,1631662942.3553352,1631662943.5333014,2277.39990234375
47,48,3,1631662943.5353897,1631662944.2716334,2300.21923828125
48,49,3,1631662944.2729242,1631662945.6673079,2295.64404296875
49,50,3,1631662945.6693811,1631662945.6873856,2321.65966796875
50,51,3,1631662945.6875582,1631662946.308109,2272.52490234375
51,52,3,1631662946.3091295,1631662946.3358252,2289.193603515625
52,53,3,1631662946.3359957,1631662946.3527846,2265.389892578125
53,54,3,1631662946.3530216,1631662946.3669488,2684.63037109375
54,55,3,1631662946.3671,1631662946.3851314,2355.373291015625
55,56,3,1631662946.3852868,1631662947.735207,2293.964599609375
56,57,3,1631662947.737075,1631662948.627777,2272.512451171875
57,58,3,1631662948.6291265,1631662949.107117,2297.068603515625
58,59,3,1631662949.1080365,1631662949.1214108,2350.720458984375
59,60,3,1631662949.1215713,1631662949.1414773,2314.701904296875
60,61,4,1631662949.144817,1631662949.395821,2297.039794921875
61,62,4,1631662949.3962338,1631662950.6268253,2298.93896484375
62,63,4,1631662950.6287653,1631662951.105804,2299.618896484375
63,64,4,1631662951.1066794,1631662951.7193582,2295.301513671875
64,65,4,1631662951.720326,1631662951.7442586,2286.647705078125
65,66,4,1631662951.7445152,1631662952.5086844,2294.34228515625
66,67,4,1631662952.5097373,1631662953.6857731,2280.324462890625
67,68,4,1631662953.6876175,1631662954.8409278,2286.404052734375
68,69,4,1631662954.8430746,1631662955.9960747,2294.6806640625
