,iteration,start_time,end_time,val_mse
0,1,1631647342.4564779,1631647343.8198733,2274.528564453125
1,2,1631647343.821581,1631647345.7861376,2272.23486328125
2,3,1631647345.7880373,1631647346.1308239,2287.45361328125
3,4,1631647346.1325572,1631647346.974328,2296.67626953125
4,5,1631647346.976784,1631647347.7963104,2294.8720703125
5,6,1631647347.7985919,1631647349.555552,2293.924560546875
6,7,1631647349.5577037,1631647350.592308,2274.2216796875
7,8,1631647350.594,1631647351.936046,2273.603515625
8,9,1631647351.9382234,1631647353.0455542,2271.8916015625
9,10,1631647353.0473485,1631647355.0480838,2275.267578125
10,11,1631647355.049796,1631647357.5275645,2272.177734375
11,12,1631647357.5291893,1631647359.3007574,2272.28759765625
12,13,1631647359.3024523,1631647361.7336214,2272.38720703125
13,14,1631647361.7352967,1631647363.6029823,2272.463134765625
14,15,1631647363.6046133,1631647366.1794138,2271.868408203125
15,16,1631647366.1822112,1631647368.473689,2272.811279296875
16,17,1631647368.4764843,1631647370.2287657,2272.4931640625
17,18,1631647370.2305284,1631647373.5150673,2271.798828125
18,19,1631647373.5179653,1631647376.7152915,2271.84521484375
19,20,1631647376.7180557,1631647380.153949,2272.394287109375
20,21,1631647380.1567483,1631647383.188276,2272.4931640625
21,22,1631647383.1929615,1631647386.042611,2271.772216796875
22,23,1631647386.045341,1631647388.9844766,2272.137451171875
23,24,1631647388.9870086,1631647392.16532,2271.82666015625
24,25,1631647392.1681042,1631647395.129958,2271.710205078125
25,26,1631647395.1326113,1631647398.4006982,2271.08984375
26,27,1631647398.4032676,1631647401.336887,2272.0234375
27,28,1631647401.3394723,1631647404.3163495,2271.902587890625
28,29,1631647404.3190753,1631647408.2788644,2271.99951171875
29,30,1631647408.2818441,1631647412.7148366,2271.76025390625
30,31,1631647412.7177262,1631647417.129801,2271.7421875
31,32,1631647417.1326184,1631647421.2752075,2272.423828125
32,33,1631647421.2779129,1631647425.3702867,2272.145751953125
33,34,1631647425.3737004,1631647429.4550679,2272.0693359375
34,35,1631647429.4579546,1631647433.8267102,2272.17822265625
35,36,1631647433.8295317,1631647438.1526072,2271.810302734375
