,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631647794.7648225,1631647795.016765,2300.0703125
1,2,1,1631647795.0171874,1631647795.0345218,2285.5322265625
2,3,1,1631647795.0347116,1631647795.5507193,2272.06298828125
3,4,1,1631647795.5514998,1631647796.1005883,2278.63818359375
4,5,1,1631647796.1016343,1631647796.1257658,2292.08544921875
5,6,2,1631647796.1274052,1631647797.4810786,2293.7041015625
6,7,2,1631647797.4829066,1631647797.9975595,2271.8095703125
7,8,2,1631647797.998616,1631647798.5141003,2271.964111328125
8,9,2,1631647798.5149612,1631647798.5356467,2291.054443359375
9,10,2,1631647798.535806,1631647798.5596862,2300.18212890625
10,11,3,1631647798.5614643,1631647799.0764697,2272.122802734375
11,12,3,1631647799.077275,1631647799.0982292,2272.546142578125
12,13,3,1631647799.098389,1631647799.6485417,2290.37646484375
13,14,3,1631647799.6495633,1631647800.1647828,2272.2587890625
14,15,3,1631647800.165645,1631647801.520555,2296.883544921875
15,16,4,1631647801.524203,1631647802.1472871,2272.126953125
16,17,4,1631647802.148208,1631647802.66923,2273.095458984375
17,18,4,1631647802.6701217,1631647802.6942756,2299.37109375
18,19,4,1631647802.694442,1631647803.3910282,2271.667236328125
19,20,4,1631647803.39212,1631647803.9076147,2276.848876953125
20,21,5,1631647803.9102232,1631647804.4251637,2271.8779296875
21,22,5,1631647804.425943,1631647805.115533,2272.860107421875
22,23,5,1631647805.1166172,1631647805.6315706,2276.838134765625
23,24,5,1631647805.632426,1631647806.1468127,2273.37158203125
24,25,5,1631647806.1476736,1631647806.843891,2273.14013671875
25,26,6,1631647806.8466675,1631647807.495046,2273.906005859375
26,27,6,1631647807.495974,1631647807.9951963,2272.63427734375
27,28,6,1631647807.9961147,1631647808.5112176,2271.918701171875
28,29,6,1631647808.5120974,1631647809.2027402,2272.90087890625
29,30,6,1631647809.2038279,1631647809.7317724,2272.377197265625
30,31,7,1631647809.7342558,1631647810.3797455,2273.088134765625
31,32,7,1631647810.380667,1631647810.894999,2276.189697265625
32,33,7,1631647810.8958724,1631647811.5302775,2271.775634765625
33,34,7,1631647811.5313232,1631647812.1188745,2272.364501953125
34,35,7,1631647812.119859,1631647812.6365662,2271.940673828125
35,36,8,1631647812.6390471,1631647813.155096,2272.3193359375
36,37,8,1631647813.155925,1631647813.8633392,2278.714111328125
37,38,8,1631647813.8646812,1631647814.3806682,2276.197998046875
38,39,8,1631647814.3815403,1631647815.0580242,2280.43212890625
39,40,8,1631647815.05911,1631647815.75074,2272.076171875
40,41,9,1631647815.7540293,1631647816.269015,2273.16943359375
41,42,9,1631647816.2697976,1631647816.9636858,2273.92138671875
42,43,9,1631647816.964781,1631647817.614001,2272.140625
43,44,9,1631647817.6150558,1631647818.1295831,2272.0654296875
44,45,9,1631647818.1304896,1631647818.6456928,2272.195556640625
45,46,10,1631647818.6481245,1631647819.162262,2272.503662109375
46,47,10,1631647819.163112,1631647819.6779833,2272.0888671875
47,48,10,1631647819.6788652,1631647820.2366645,2273.824462890625
48,49,10,1631647820.237671,1631647820.7521408,2272.41796875
49,50,10,1631647820.7530146,1631647821.2230012,2272.989501953125
50,51,11,1631647821.2254853,1631647821.8554327,2272.034912109375
51,52,11,1631647821.8563564,1631647822.311522,2271.78857421875
52,53,11,1631647822.3123615,1631647822.827047,2271.8828125
53,54,11,1631647822.8279145,1631647823.343042,2273.0908203125
54,55,11,1631647823.3439314,1631647824.0227287,2272.31298828125
55,56,12,1631647824.0255437,1631647824.5965407,2275.35888671875
56,57,12,1631647824.597395,1631647825.2907467,2275.102783203125
57,58,12,1631647825.2918396,1631647825.8065848,2271.955078125
58,59,12,1631647825.8075228,1631647826.4823494,2275.260009765625
59,60,12,1631647826.4834409,1631647826.9395397,2273.021484375
60,61,13,1631647826.9418206,1631647827.6211135,2271.728271484375
61,62,13,1631647827.622074,1631647828.1207485,2272.237060546875
62,63,13,1631647828.121613,1631647828.8108974,2272.913818359375
63,64,13,1631647828.811994,1631647829.4432342,2276.333251953125
64,65,13,1631647829.4442685,1631647829.9732804,2272.233642578125
65,66,14,1631647829.9756873,1631647830.4309306,2289.03271484375
66,67,14,1631647830.4316525,1631647831.1083694,2271.82080078125
67,68,14,1631647831.109425,1631647831.7281532,2271.746337890625
68,69,14,1631647831.7291815,1631647832.3480563,2276.506591796875
69,70,14,1631647832.34908,1631647833.227096,2273.743896484375
70,71,15,1631647833.230151,1631647834.0751672,2277.9638671875
71,72,15,1631647834.0762925,1631647834.679874,2273.337158203125
72,73,15,1631647834.6809278,1631647835.1954744,2272.98291015625
73,74,15,1631647835.1963623,1631647835.8862178,2271.889404296875
74,75,15,1631647835.887324,1631647836.4906902,2271.91357421875
75,76,16,1631647836.4932454,1631647837.2453816,2282.877197265625
76,77,16,1631647837.2466476,1631647837.9376442,2271.911865234375
77,78,16,1631647837.9387825,1631647838.4087021,2272.1982421875
78,79,16,1631647838.4095342,1631647838.9825876,2272.675048828125
79,80,16,1631647838.983538,1631647839.5264008,2278.06884765625
80,81,17,1631647839.5293453,1631647840.1923676,2272.095458984375
81,82,17,1631647840.1933448,1631647840.589498,2275.333251953125
82,83,17,1631647840.590093,1631647841.1744616,2280.455078125
83,84,17,1631647841.1754334,1631647841.5588038,2272.73486328125
84,85,17,1631647841.5594046,1631647842.235538,2275.477783203125
85,86,18,1631647842.2384403,1631647842.8570657,2271.739013671875
86,87,18,1631647842.8579688,1631647843.536389,2271.873291015625
87,88,18,1631647843.5375357,1631647844.1542072,2272.302001953125
88,89,18,1631647844.15521,1631647844.8611288,2272.05517578125
89,90,18,1631647844.8623273,1631647845.4188278,2276.10107421875
90,91,19,1631647845.4213514,1631647845.8473551,2273.131103515625
91,92,19,1631647845.8479311,1631647846.303536,2271.793701171875
92,93,19,1631647846.3043294,1631647846.7600176,2273.043212890625
93,94,19,1631647846.7608118,1631647847.4205716,2272.502197265625
94,95,19,1631647847.4216828,1631647848.1126866,2271.923095703125
95,96,20,1631647848.1156251,1631647848.7754526,2277.148681640625
96,97,20,1631647848.7764,1631647849.4241316,2272.152587890625
97,98,20,1631647849.4251876,1631647850.0131962,2272.188720703125
98,99,20,1631647850.0141711,1631647850.7037814,2274.9853515625
99,100,20,1631647850.7049444,1631647851.1601987,2272.21923828125
100,101,21,1631647851.1625125,1631647851.8932383,2271.942138671875
101,102,21,1631647851.8943222,1631647852.3781648,2272.3662109375
102,103,21,1631647852.3790143,1631647853.0697258,2272.1318359375
103,104,21,1631647853.0708027,1631647853.674725,2271.7890625
104,105,21,1631647853.675849,1631647854.279593,2271.467041015625
105,106,22,1631647854.2821972,1631647854.883223,2273.022705078125
106,107,22,1631647854.8842528,1631647855.339596,2273.833984375
107,108,22,1631647855.3403854,1631647855.9432364,2272.846435546875
108,109,22,1631647855.9445353,1631647856.64666,2272.837158203125
109,110,22,1631647856.6477926,1631647857.3224967,2274.82666015625
110,111,23,1631647857.3256736,1631647857.9268093,2273.496826171875
111,112,23,1631647857.927692,1631647858.5295358,2271.89306640625
112,113,23,1631647858.5305715,1631647859.1457458,2271.985595703125
113,114,23,1631647859.1467433,1631647859.690398,2273.2802734375
114,115,23,1631647859.6913147,1631647860.293008,2276.979736328125
115,116,24,1631647860.2955694,1631647861.0293605,2272.092041015625
116,117,24,1631647861.030447,1631647861.471426,2271.484619140625
117,118,24,1631647861.4722722,1631647862.2182345,2280.237060546875
118,119,24,1631647862.2194452,1631647862.776074,2273.714111328125
119,120,24,1631647862.77703,1631647863.376634,2272.28515625
120,121,25,1631647863.3791952,1631647863.8201098,2271.80517578125
121,122,25,1631647863.82081,1631647864.4232397,2274.216796875
122,123,25,1631647864.424371,1631647864.9963434,2271.864990234375
123,124,25,1631647864.9973376,1631647865.4233253,2272.079345703125
124,125,25,1631647865.4239657,1631647866.099481,2274.053955078125
125,126,26,1631647866.1021376,1631647866.7772312,2272.40576171875
126,127,26,1631647866.7782328,1631647867.2044713,2272.51513671875
127,128,26,1631647867.2051072,1631647868.0558438,2272.5390625
128,129,26,1631647868.05711,1631647868.7208412,2272.074462890625
129,130,26,1631647868.722011,1631647869.3245592,2273.42333984375
130,131,27,1631647869.3271098,1631647869.854664,2272.607666015625
131,132,27,1631647869.8554673,1631647870.5320508,2272.07177734375
132,133,27,1631647870.533188,1631647871.1926768,2271.86376953125
133,134,27,1631647871.1938055,1631647871.6636682,2272.43994140625
134,135,27,1631647871.664494,1631647872.3403392,2277.550537109375
135,136,28,1631647872.3430145,1631647872.9745667,2272.04248046875
136,137,28,1631647872.975498,1631647873.4191515,2272.303466796875
137,138,28,1631647873.4200096,1631647873.876715,2276.654052734375
138,139,28,1631647873.877544,1631647874.3183074,2271.72998046875
139,140,28,1631647874.319161,1631647874.9949265,2272.1591796875
140,141,29,1631647874.9976985,1631647875.4106476,2271.127685546875
