,function_evaluations,iteration,start_time,end_time,val_mse
0,1,1,1631648448.4927971,1631648448.7456186,2300.16748046875
1,2,1,1631648448.74603,1631648448.7632923,2382.343017578125
2,3,1,1631648448.7634473,1631648449.2787757,2271.941162109375
3,4,1,1631648449.279596,1631648449.8297288,2277.7744140625
4,5,1,1631648449.8307397,1631648449.8548167,2295.608154296875
5,6,2,1631648449.856367,1631648451.2115355,2299.373291015625
6,7,2,1631648451.2133996,1631648451.7284505,2272.62646484375
7,8,2,1631648451.7295234,1631648452.244366,2271.97607421875
8,9,2,1631648452.2452395,1631648452.2630477,2370.079345703125
9,10,2,1631648452.2632084,1631648452.287025,2289.532958984375
10,11,3,1631648452.288799,1631648452.804429,2271.927490234375
11,12,3,1631648452.8052132,1631648452.8263366,2296.766357421875
12,13,3,1631648452.8265002,1631648453.378704,2283.972412109375
13,14,3,1631648453.3797503,1631648453.8952515,2272.1025390625
14,15,3,1631648453.8961165,1631648455.2466884,2295.081298828125
15,16,4,1631648455.2504776,1631648455.7651968,2273.134765625
16,17,4,1631648455.7659802,1631648456.2808456,2272.21923828125
17,18,4,1631648456.2817245,1631648456.3057199,2292.245361328125
18,19,4,1631648456.305883,1631648457.1350942,2295.510498046875
19,20,4,1631648457.1364913,1631648457.6520638,2272.3984375
20,21,5,1631648457.654487,1631648458.1691458,2272.42431640625
21,22,5,1631648458.1699216,1631648458.6869955,2273.577392578125
22,23,5,1631648458.6880965,1631648459.2026038,2272.642822265625
23,24,5,1631648459.203473,1631648459.7188168,2272.765869140625
24,25,5,1631648459.7196958,1631648460.2337003,2273.35009765625
25,26,6,1631648460.2366092,1631648460.7514842,2272.324462890625
26,27,6,1631648460.7522595,1631648461.2663023,2271.8017578125
27,28,6,1631648461.267185,1631648461.7815645,2276.1826171875
28,29,6,1631648461.7824237,1631648462.2993126,2272.728271484375
29,30,6,1631648462.3001847,1631648462.8173814,2272.595947265625
30,31,7,1631648462.8197665,1631648463.3365643,2272.465087890625
31,32,7,1631648463.3373716,1631648463.8533654,2272.6953125
32,33,7,1631648463.8542397,1631648464.368226,2276.2841796875
33,34,7,1631648464.3690898,1631648464.8836255,2272.322509765625
34,35,7,1631648464.8845043,1631648465.3993382,2272.126953125
35,36,8,1631648465.4017074,1631648465.9161625,2272.076904296875
36,37,8,1631648465.9169402,1631648466.4308615,2272.331298828125
37,38,8,1631648466.4317248,1631648466.9461112,2278.13232421875
38,39,8,1631648466.946985,1631648467.4616575,2272.66943359375
39,40,8,1631648467.4625165,1631648467.97622,2272.169189453125
40,41,9,1631648467.978572,1631648468.4933422,2272.26806640625
41,42,9,1631648468.4941747,1631648469.0086472,2272.73828125
42,43,9,1631648469.0095162,1631648469.5236752,2272.149169921875
43,44,9,1631648469.524581,1631648470.038485,2271.118896484375
44,45,9,1631648470.0393577,1631648470.5541453,2272.26123046875
45,46,10,1631648470.5565603,1631648471.0704355,2272.04833984375
46,47,10,1631648471.0712233,1631648471.585587,2271.953369140625
47,48,10,1631648471.5864642,1631648472.1002684,2272.865966796875
48,49,10,1631648472.1011367,1631648472.6159155,2272.973388671875
49,50,10,1631648472.616783,1631648473.130773,2274.075439453125
50,51,11,1631648473.1331308,1631648473.6472468,2271.71923828125
51,52,11,1631648473.6480253,1631648474.162172,2272.06884765625
52,53,11,1631648474.1630383,1631648474.6776774,2271.75732421875
53,54,11,1631648474.6785421,1631648475.192619,2273.166259765625
54,55,11,1631648475.1934853,1631648475.708527,2271.927490234375
55,56,12,1631648475.710879,1631648476.2245178,2272.09326171875
56,57,12,1631648476.2252903,1631648476.740005,2273.28271484375
57,58,12,1631648476.740885,1631648477.2551694,2275.642822265625
58,59,12,1631648477.2560346,1631648477.7703161,2272.39599609375
59,60,12,1631648477.771191,1631648478.28506,2271.872314453125
60,61,13,1631648478.2874181,1631648478.8019025,2272.389404296875
61,62,13,1631648478.8026805,1631648479.3165195,2272.483154296875
62,63,13,1631648479.3173778,1631648479.8311248,2272.306396484375
63,64,13,1631648479.8319995,1631648480.346609,2272.678955078125
64,65,13,1631648480.3475113,1631648480.8630004,2272.144775390625
65,66,14,1631648480.865416,1631648481.3792808,2271.913330078125
66,67,14,1631648481.380061,1631648481.894326,2272.130859375
67,68,14,1631648481.8952005,1631648482.4092007,2272.108642578125
68,69,14,1631648482.4100647,1631648482.924183,2271.208740234375
69,70,14,1631648482.925059,1631648483.4400687,2273.407470703125
70,71,15,1631648483.442497,1631648483.956354,2272.55908203125
71,72,15,1631648483.9571526,1631648484.4718773,2271.408935546875
72,73,15,1631648484.4727528,1631648484.9869401,2272.03466796875
73,74,15,1631648484.9878125,1631648485.501874,2271.96484375
74,75,15,1631648485.5027418,1631648486.016527,2271.960693359375
75,76,16,1631648486.0189006,1631648486.533092,2273.755615234375
76,77,16,1631648486.5338864,1631648487.0481536,2272.346435546875
77,78,16,1631648487.0490246,1631648487.5629182,2272.505615234375
78,79,16,1631648487.563987,1631648488.0772748,2274.7587890625
79,80,16,1631648488.0781443,1631648488.5946217,2271.799560546875
80,81,17,1631648488.597673,1631648489.1114538,2272.583740234375
81,82,17,1631648489.1122334,1631648489.6258903,2273.21240234375
82,83,17,1631648489.626754,1631648490.140807,2275.4140625
83,84,17,1631648490.1416714,1631648490.6564503,2279.1015625
84,85,17,1631648490.6573184,1631648491.171069,2272.948486328125
85,86,18,1631648491.1734333,1631648491.687496,2271.997314453125
86,87,18,1631648491.6882656,1631648492.2022998,2278.963623046875
87,88,18,1631648492.2031596,1631648492.717669,2273.815185546875
88,89,18,1631648492.7185318,1631648493.2319567,2272.168212890625
89,90,18,1631648493.2328188,1631648493.7516017,2271.963134765625
90,91,19,1631648493.7539632,1631648494.2680492,2279.093994140625
91,92,19,1631648494.2688224,1631648494.7830307,2271.964111328125
92,93,19,1631648494.783904,1631648495.2977343,2271.982421875
93,94,19,1631648495.2986143,1631648495.8151605,2271.99267578125
