,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,5,34,71,89,90,12
1,lstm,0.1,0.8,5,34,71,89,90,12
2,lstm,0.1,0.8,5,34,71,55,90,12
3,mlp,0.001,0.6,5,34,71,89,44,12
4,mlp,0.0001,0.8,3,34,71,28,37,14
5,lstm,0.1,0.8,5,34,71,89,90,12
6,lstm,0.1,0.0,5,34,71,28,90,14
7,lstm,0.1,0.0,5,34,71,28,80,14
8,lstm,0.1,0.0,5,34,96,28,90,14
9,lstm,0.1,0.0,5,34,16,18,12,58
10,lstm,0.1,0.8,5,34,70,91,90,11
11,lstm,0.1,0.8,5,34,70,91,90,11
12,lstm,0.1,0.8,5,34,71,89,90,12
13,lstm,0.1,0.0,5,34,96,28,90,14
14,lstm,0.1,0.0,5,34,96,57,90,14
15,lstm,0.1,0.8,5,34,95,29,90,13
16,lstm,0.1,0.7,5,34,95,28,90,14
17,lstm,0.1,0.0,5,34,95,28,90,11
18,lstm,0.1,0.5,5,34,95,28,90,11
19,lstm,0.1,0.0,5,34,96,28,90,8
20,lstm,0.1,0.3,5,34,71,89,90,13
21,lstm,0.1,0.8,5,34,96,28,90,12
22,lstm,0.1,0.0,5,34,96,28,90,14
23,lstm,0.1,0.5,5,34,80,66,90,14
24,lstm,0.1,0.5,5,34,92,66,90,13
25,lstm,0.1,0.1,5,34,96,41,90,10
26,lstm,0.1,0.0,5,34,96,28,90,14
27,lstm,0.1,0.0,5,34,94,29,90,13
28,lstm,0.1,0.0,5,34,96,28,90,13
29,lstm,0.1,0.7,5,34,95,28,90,14
30,lstm,0.1,0.0,5,34,96,28,90,14
31,lstm,0.1,0.8,5,34,71,89,90,12
32,lstm,0.1,0.0,5,34,96,96,90,8
33,lstm,0.1,0.7,5,34,92,35,90,14
34,lstm,0.1,0.7,5,34,95,28,90,9
35,lstm,0.1,0.0,5,34,80,65,90,8
