,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5
0,lstm,0.1,0.8,5,34,71,89,90,12
1,lstm,0.1,0.8,5,34,71,89,90,12
2,lstm,0.1,0.8,5,34,71,89,90,11
3,lstm,0.1,0.8,5,33,71,89,90,12
4,lstm,0.1,0.8,5,34,71,89,90,11
5,lstm,0.1,0.8,5,34,71,89,90,12
6,lstm,0.1,0.8,5,34,71,89,90,11
7,lstm,0.1,0.8,5,33,71,89,90,11
8,lstm,0.1,0.8,5,34,71,89,90,11
9,lstm,0.1,0.8,5,34,71,89,90,11
10,lstm,0.1,0.8,5,35,71,89,90,10
11,lstm,0.1,0.8,5,33,71,89,90,12
12,lstm,0.1,0.8,5,34,71,89,90,12
13,lstm,0.1,0.8,5,33,71,89,90,13
14,lstm,0.1,0.8,5,32,71,89,90,12
15,lstm,0.1,0.8,5,33,71,89,90,12
16,lstm,0.1,0.8,5,33,71,89,90,13
17,lstm,0.1,0.8,5,33,71,89,90,12
18,lstm,0.1,0.8,5,32,71,89,90,14
19,lstm,0.1,0.8,5,31,71,89,90,14
20,lstm,0.1,0.8,5,35,71,89,90,11
21,lstm,0.1,0.8,5,33,71,89,90,13
22,lstm,0.1,0.8,5,33,71,89,90,14
23,lstm,0.1,0.8,5,32,71,89,90,15
24,lstm,0.1,0.8,5,35,71,89,90,11
25,lstm,0.1,0.8,5,34,71,89,90,11
26,lstm,0.1,0.8,5,33,71,89,90,13
27,lstm,0.1,0.8,5,34,71,89,90,11
28,lstm,0.1,0.8,5,34,71,89,90,12
29,lstm,0.1,0.8,5,33,71,89,90,14
30,lstm,0.1,0.8,5,34,71,89,90,11
31,lstm,0.1,0.8,5,35,71,89,90,9
32,lstm,0.1,0.8,5,34,71,89,90,12
33,lstm,0.1,0.8,5,34,71,89,90,13
34,lstm,0.1,0.8,5,33,71,89,90,13
35,lstm,0.1,0.8,5,35,71,89,90,12
