,pop_size,F,CR,mse
0,2,0.0,0.0,[2251.58789062]
1,2,0.0,0.15,[2216.31298828]
2,2,0.0,0.3,[2226.18286133]
3,2,0.0,0.45,[2290.68017578]
4,2,0.0,0.6,[2272.64208984]
5,2,0.0,0.75,[2290.15820312]
6,2,0.0,0.9,[2290.80688477]
7,2,0.0,1.0,[2290.0534668]
8,2,0.15,0.0,[2227.60742188]
9,2,0.15,0.15,[2184.65673828]
10,2,0.15,0.3,[2240.80297852]
11,2,0.15,0.45,[2290.25195312]
12,2,0.15,0.6,[2287.76318359]
13,2,0.15,0.75,[2291.05834961]
14,2,0.15,0.9,[2272.54492188]
15,2,0.15,1.0,[2290.09790039]
16,2,0.3,0.0,[2236.59155273]
17,2,0.3,0.15,[2254.71264648]
18,2,0.3,0.3,[2249.125]
19,2,0.3,0.45,[2291.11669922]
20,2,0.3,0.6,[2290.21142578]
21,2,0.3,0.75,[2289.98828125]
22,2,0.3,0.9,[2289.24487305]
23,2,0.3,1.0,[2286.95361328]
24,2,0.45,0.0,[2260.15405273]
25,2,0.45,0.15,[2278.48950195]
26,2,0.45,0.3,[2290.6484375]
27,2,0.45,0.45,[2290.89526367]
28,2,0.45,0.6,[2286.51000977]
29,2,0.45,0.75,[2289.90869141]
30,2,0.45,0.9,[2250.11181641]
31,2,0.45,1.0,[2291.1328125]
32,2,0.6,0.0,[2227.3815918]
33,2,0.6,0.15,[2289.96582031]
34,2,0.6,0.3,[2228.78540039]
35,2,0.6,0.45,[2290.2097168]
36,2,0.6,0.6,[2290.33300781]
37,2,0.6,0.75,[2272.61572266]
38,2,0.6,0.9,[2290.34326172]
39,2,0.6,1.0,[2290.21459961]
40,2,0.75,0.0,[2240.31298828]
41,2,0.75,0.15,[2189.50756836]
42,2,0.75,0.3,[2288.32275391]
43,2,0.75,0.45,[2290.53759766]
44,2,0.75,0.6,[2236.19506836]
45,2,0.75,0.75,[2256.31274414]
46,2,0.75,0.9,[2291.04711914]
47,2,0.75,1.0,[2237.34057617]
48,2,0.9,0.0,[2220.70947266]
49,2,0.9,0.15,[2291.15551758]
50,2,0.9,0.3,[2290.77270508]
51,2,0.9,0.45,[2217.36328125]
52,2,0.9,0.6,[2287.59326172]
53,2,0.9,0.75,[2290.40576172]
54,2,0.9,0.9,[2290.9050293]
55,2,0.9,1.0,[2290.77124023]
56,2,1.0,0.0,[2270.89453125]
57,2,1.0,0.15,[2224.06689453]
58,2,1.0,0.3,[2226.77368164]
59,2,1.0,0.45,[2290.5168457]
60,2,1.0,0.6,[2198.29760742]
61,2,1.0,0.75,[2290.22509766]
62,2,1.0,0.9,[2290.81860352]
63,2,1.0,1.0,[2290.81445312]
64,5,0.0,0.0,[2224.23339844]
65,5,0.0,0.15,[2271.22973633]
66,5,0.0,0.3,[2265.70507812]
67,5,0.0,0.45,[2271.32373047]
68,5,0.0,0.6,[2271.08984375]
69,5,0.0,0.75,[2271.64379883]
70,5,0.0,0.9,[2270.83959961]
71,5,0.0,1.0,[2271.12768555]
72,5,0.15,0.0,[2271.72680664]
73,5,0.15,0.15,[2270.52441406]
74,5,0.15,0.3,[2251.64306641]
75,5,0.15,0.45,[2269.57373047]
76,5,0.15,0.6,[2271.72924805]
77,5,0.15,0.75,[2271.47387695]
78,5,0.15,0.9,[2271.45385742]
79,5,0.15,1.0,[2271.11889648]
80,5,0.3,0.0,[2271.69897461]
81,5,0.3,0.15,[2258.89111328]
82,5,0.3,0.3,[2271.15185547]
83,5,0.3,0.45,[2271.10571289]
84,5,0.3,0.6,[2271.70556641]
85,5,0.3,0.75,[2271.35595703]
86,5,0.3,0.9,[2269.45800781]
87,5,0.3,1.0,[2269.49023438]
88,5,0.45,0.0,[2250.65332031]
89,5,0.45,0.15,[2264.03613281]
90,5,0.45,0.3,[2258.0703125]
91,5,0.45,0.45,[2271.32592773]
92,5,0.45,0.6,[2269.52587891]
93,5,0.45,0.75,[2271.68383789]
94,5,0.45,0.9,[2267.55395508]
95,5,0.45,1.0,[2270.58984375]
96,5,0.6,0.0,[2241.58544922]
97,5,0.6,0.15,[2269.0480957]
98,5,0.6,0.3,[2257.61938477]
99,5,0.6,0.45,[2271.06274414]
100,5,0.6,0.6,[2269.89453125]
101,5,0.6,0.75,[2269.01171875]
102,5,0.6,0.9,[2269.92114258]
103,5,0.6,1.0,[2269.04882812]
104,5,0.75,0.0,[2267.09228516]
105,5,0.75,0.15,[2262.50854492]
106,5,0.75,0.3,[2267.29882812]
107,5,0.75,0.45,[2271.60620117]
108,5,0.75,0.6,[2271.05078125]
109,5,0.75,0.75,[2271.09765625]
110,5,0.75,0.9,[2270.8581543]
111,5,0.75,1.0,[2271.2175293]
112,5,0.9,0.0,[2249.02563477]
113,5,0.9,0.15,[2269.08056641]
114,5,0.9,0.3,[2239.47558594]
115,5,0.9,0.45,[2271.54833984]
116,5,0.9,0.6,[2269.04833984]
117,5,0.9,0.75,[2241.02612305]
118,5,0.9,0.9,[2270.47729492]
119,5,0.9,1.0,[2271.1730957]
120,5,1.0,0.0,[2271.70654297]
121,5,1.0,0.15,[2271.62182617]
122,5,1.0,0.3,[2271.703125]
123,5,1.0,0.45,[2270.92724609]
124,5,1.0,0.6,[2270.28540039]
125,5,1.0,0.75,[2270.41503906]
126,5,1.0,0.9,[2270.16162109]
127,5,1.0,1.0,[2270.98120117]
128,10,0.0,0.0,[2237.28540039]
129,10,0.0,0.15,[2255.99731445]
130,10,0.0,0.3,[2270.89648438]
131,10,0.0,0.45,[2248.01586914]
132,10,0.0,0.6,[2249.16186523]
133,10,0.0,0.75,[2271.08764648]
